name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:15	reproductive system disease	490	242	1.3	5.37	7.3e-08	6.7e-05	1.65	1.37	1.99
DOID:2942	bronchiolitis	39	30	2.02	5.02	8.1e-07	0.00025	5.48	2.53	13.1
DOID:5295	intestinal disease	350	177	1.33	4.96	6.6e-07	0.00025	1.72	1.37	2.14
DOID:0050589	inflammatory bowel disease	295	151	1.35	4.76	1.8e-06	0.00038	1.75	1.38	2.23
DOID:2320	obstructive lung disease	205	110	1.41	4.68	2.9e-06	0.00038	1.93	1.44	2.57
DOID:3083	chronic obstructive pulmonary disease	205	110	1.41	4.68	2.9e-06	0.00038	1.93	1.44	2.57
DOID:850	lung disease	435	211	1.28	4.65	2.7e-06	0.00038	1.58	1.3	1.93
DOID:2789	parasitic protozoa infectious disease	128	74	1.52	4.65	3.7e-06	0.00042	2.27	1.57	3.3
DOID:5223	infertility	205	109	1.4	4.53	5.6e-06	0.00057	1.89	1.41	2.52
DOID:10763	hypertension	569	265	1.22	4.38	8.7e-06	8e-04	1.47	1.23	1.75
DOID:77	gastrointestinal system disease	1039	457	1.16	4.29	1.2e-05	0.00099	1.34	1.17	1.53
DOID:1398	parasitic infectious disease	150	82	1.44	4.24	2.1e-05	0.0016	2	1.42	2.81
DOID:18	urinary system disease	494	231	1.23	4.15	2.5e-05	0.0017	1.47	1.22	1.78
DOID:12894	Sjogren's syndrome	69	43	1.64	4.18	3.4e-05	0.0018	2.72	1.63	4.63
DOID:8778	Crohn's disease	182	96	1.39	4.15	3.1e-05	0.0018	1.85	1.36	2.52
DOID:0050161	lower respiratory tract disease	656	298	1.19	4.1	2.8e-05	0.0018	1.4	1.19	1.65
DOID:1579	respiratory system disease	691	312	1.19	4.07	3.3e-05	0.0018	1.39	1.18	1.63
DOID:0014667	disease of metabolism	1280	550	1.13	4.03	3.5e-05	0.0018	1.29	1.14	1.46
DOID:5426	premature ovarian failure	40	28	1.84	4.18	3.9e-05	0.0019	3.83	1.88	8.29
DOID:557	kidney disease	476	222	1.23	4.01	4.4e-05	0.002	1.46	1.21	1.77
DOID:229	female reproductive system disease	333	161	1.27	3.98	5.4e-05	0.0023	1.56	1.24	1.96
DOID:12365	malaria	97	56	1.52	4.03	5.8e-05	0.0024	2.25	1.47	3.47
DOID:0060158	acquired metabolic disease	1078	467	1.14	3.9	6.2e-05	0.0025	1.3	1.14	1.48
DOID:225	syndrome	1726	724	1.1	3.87	6.5e-05	0.0025	1.24	1.11	1.39
DOID:1100	ovarian disease	57	36	1.66	3.92	1e-04	0.0037	2.82	1.6	5.09
DOID:1287	cardiovascular system disease	1292	550	1.12	3.73	0.00012	0.0041	1.26	1.11	1.43
DOID:0050828	artery disease	931	405	1.14	3.7	0.00014	0.0047	1.3	1.13	1.5
DOID:7148	rheumatoid arthritis	498	228	1.2	3.7	0.00015	0.0048	1.41	1.17	1.7
DOID:10952	nephritis	200	101	1.33	3.69	0.00018	0.0057	1.69	1.26	2.26
DOID:2799	bronchiolitis obliterans	22	17	2.03	3.8	2e-04	0.0063	5.57	1.97	19.3
DOID:4248	coronary stenosis	17	14	2.17	3.77	0.00024	0.0071	7.64	2.13	41.4
DOID:848	arthritis	649	288	1.17	3.5	3e-04	0.0086	1.34	1.13	1.58
DOID:8398	osteoarthritis	187	94	1.32	3.5	0.00037	0.0097	1.67	1.24	2.26
DOID:0050013	carbohydrate metabolism disease	858	372	1.14	3.44	0.00037	0.0097	1.29	1.11	1.49
DOID:4194	glucose metabolism disease	858	372	1.14	3.44	0.00037	0.0097	1.29	1.11	1.49
DOID:28	endocrine system disease	358	167	1.23	3.45	0.00039	0.0099	1.45	1.17	1.81
DOID:4195	hyperglycemia	131	69	1.39	3.49	0.00041	0.01	1.84	1.28	2.64
DOID:2717	Bloom syndrome	11	10	2.39	3.62	0.00045	0.011	16.4	2.32	708
DOID:2214	inherited blood coagulation disease	23	17	1.94	3.55	0.00051	0.012	4.64	1.74	14.4
DOID:9408	acute myocardial infarction	90	50	1.46	3.45	0.00051	0.012	2.06	1.33	3.21
DOID:299	adenocarcinoma	755	329	1.15	3.33	0.00054	0.012	1.3	1.11	1.51
DOID:841	extrinsic allergic alveolitis	13	11	2.23	3.46	0.00079	0.016	8.99	1.96	83.7
DOID:114	heart disease	517	231	1.18	3.24	0.00077	0.016	1.35	1.12	1.62
DOID:178	vascular disease	1088	461	1.11	3.21	0.00077	0.016	1.24	1.08	1.42
DOID:8689	anorexia nervosa	45	28	1.64	3.35	0.00083	0.017	2.7	1.43	5.27
DOID:10591	pre-eclampsia	268	127	1.25	3.22	9e-04	0.018	1.49	1.16	1.92
DOID:3388	periodontal disease	132	68	1.35	3.22	0.001	0.019	1.75	1.22	2.51
DOID:0050737	autosomal recessive disease	323	150	1.22	3.19	0.00096	0.019	1.44	1.14	1.81
DOID:2841	asthma	355	163	1.21	3.14	0.0011	0.021	1.41	1.13	1.76
DOID:9446	cholangitis	28	19	1.78	3.26	0.0013	0.023	3.46	1.49	8.69
DOID:8670	eating disorder	52	31	1.57	3.22	0.0012	0.023	2.42	1.34	4.45
DOID:11612	polycystic ovary syndrome	163	81	1.31	3.11	0.0014	0.025	1.63	1.18	2.25
DOID:1091	tooth disease	154	77	1.31	3.1	0.0015	0.025	1.65	1.18	2.3
DOID:1176	bronchial disease	364	166	1.2	3.06	0.0014	0.025	1.39	1.12	1.73
DOID:9351	diabetes mellitus	818	350	1.13	2.99	0.0017	0.028	1.25	1.08	1.46
DOID:0050439	Usher syndrome	12	10	2.19	3.24	0.0018	0.029	8.17	1.74	76.7
DOID:17	musculoskeletal system disease	1239	517	1.1	2.96	0.0018	0.029	1.21	1.06	1.37
DOID:0060180	colitis	204	98	1.26	2.99	0.002	0.03	1.53	1.14	2.04
DOID:8577	ulcerative colitis	204	98	1.26	2.99	0.002	0.03	1.53	1.14	2.04
DOID:374	nutrition disease	366	166	1.19	2.97	0.0019	0.03	1.38	1.11	1.71
DOID:2921	glomerulonephritis	142	71	1.31	2.97	0.0022	0.033	1.65	1.16	2.33
DOID:3082	interstitial lung disease	179	87	1.28	2.95	0.0022	0.033	1.56	1.14	2.12
DOID:11077	brucellosis	41	25	1.6	3.04	0.0024	0.034	2.56	1.31	5.14
DOID:9741	biliary tract disease	84	45	1.41	2.95	0.0026	0.036	1.9	1.2	3
DOID:1074	kidney failure	138	69	1.31	2.93	0.0025	0.036	1.65	1.16	2.34
DOID:289	endometriosis	258	120	1.22	2.86	0.0028	0.038	1.44	1.11	1.86
DOID:0080001	bone disease	833	354	1.12	2.83	0.0027	0.038	1.24	1.06	1.43
DOID:65	connective tissue disease	1050	440	1.1	2.81	0.0029	0.039	1.21	1.06	1.39
DOID:9970	obesity	348	157	1.19	2.8	0.0033	0.044	1.36	1.09	1.7
DOID:2018	hyperinsulinism	46	27	1.54	2.9	0.0035	0.045	2.33	1.25	4.44
DOID:0060056	hypersensitivity reaction disease	828	351	1.11	2.76	0.0034	0.045	1.23	1.06	1.43
DOID:8283	peritonitis	20	14	1.84	2.95	0.0037	0.046	3.82	1.38	12.1
DOID:4138	bile duct disease	83	44	1.39	2.83	0.0037	0.046	1.85	1.17	2.94
DOID:3342	bone inflammation disease	686	294	1.13	2.75	0.0036	0.046	1.25	1.06	1.47
DOID:0050825	endocardium disease	11	9	2.15	2.99	0.0039	0.047	7.36	1.52	70.1
DOID:8805	intermediate coronary syndrome	22	15	1.79	2.92	0.004	0.047	3.51	1.34	10.2
DOID:48	male reproductive system disease	126	63	1.31	2.79	0.0038	0.047	1.65	1.14	2.38
DOID:0060058	lymphoma	154	75	1.28	2.76	0.0041	0.048	1.56	1.12	2.18
DOID:2452	thrombophilia	34	21	1.62	2.86	0.0042	0.049	2.65	1.26	5.76
DOID:2914	immune system disease	987	413	1.1	2.67	0.0044	0.05	1.2	1.05	1.38
