query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0324	9	1716	5	0.003	0.556	GO:0030853	BP	64	negative regulation of granulocyte differentiation	1	ADIPOQ,INPP5D,CUL4A,PRDM16,CEACAM1
2	1	TRUE	0.0128	20	1716	8	0.005	0.4	GO:0036475	BP	257	neuron death in response to oxidative stress	1	OXR1,PARK2,FBXW7,PINK1,PARK7,NONO,TLDC1,TBC1D24
3	1	TRUE	0.00796	7	1716	5	0.003	0.714	GO:0036480	BP	257	neuron intrinsic apoptotic signaling pathway in response to oxidative stress	2	PARK2,FBXW7,PINK1,PARK7,NONO
4	1	TRUE	0.0128	20	1716	8	0.005	0.4	GO:1903203	BP	257	regulation of oxidative stress-induced neuron death	2	OXR1,PARK2,FBXW7,PINK1,PARK7,NONO,TLDC1,TBC1D24
5	1	TRUE	0.00796	7	1716	5	0.003	0.714	GO:1903376	BP	257	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	3	PARK2,FBXW7,PINK1,PARK7,NONO
6	1	TRUE	0.0244	17	1716	7	0.004	0.412	GO:1903204	BP	257	negative regulation of oxidative stress-induced neuron death	1	OXR1,PARK2,PINK1,PARK7,NONO,TLDC1,TBC1D24
7	1	TRUE	0.0205	5	1716	4	0.002	0.8	GO:1903377	BP	257	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	2	PARK2,PINK1,PARK7,NONO
8	1	TRUE	0.0215	193	1716	32	0.019	0.166	GO:0005996	BP	309	monosaccharide metabolic process	1	GCG,PDK1,SLC35B4,ESRRB,ADIPOQ,PARK2,TFF3,SIK1,MAN2A1,PTPN2,ADIPOR1,DUSP12,CHST1,SUPT20,RORC,FGGY,DYRK2,AKR1A1,MAN2B2,PDX1,CHST15,INPPL1,MIDN,BPGM,MAN2A2,SERPINA12,PRKCE,POFUT1,PPP1R3G,LEPR,CLK2,UGT1A2
9	1	TRUE	0.0342	166	1716	28	0.016	0.169	GO:0019318	BP	309	hexose metabolic process	2	GCG,PDK1,SLC35B4,ESRRB,ADIPOQ,PARK2,TFF3,SIK1,MAN2A1,PTPN2,ADIPOR1,DUSP12,CHST1,SUPT20,RORC,DYRK2,MAN2B2,PDX1,CHST15,INPPL1,MIDN,BPGM,MAN2A2,SERPINA12,POFUT1,PPP1R3G,LEPR,CLK2
10	1	TRUE	0.0198	1847	1716	202	0.118	0.109	GO:0035556	BP	177	intracellular signal transduction	1	GCG,CALM1,CDK12,IKBKG,ZP3,PRLR,MSH6,PDK1,STAMBP,AKT1S1,PEA15A,CSF1,NCF1,BRCA1,NLK,MED1,CCL4,MAP2K3,DCN,SOCS2,UNC5B,DOCK2,OSBPL8,MKNK2,NPRL3,RFFL,PECAM1,NTN1,MAP3K14,TSHR,PRKCH,GDI2,PPP1R13B,PDCD6,NISCH,FGF9,WNT5A,MYC,HDAC7,SHANK3,PAK2,ADIPOQ,IVNS1ABP,BMP15,PARK2,CDC5L,UBR2,STK38,SIK1,PRKD3,VAPA,PDPK1,MSH2,HBEGF,LARS,GNAL,PTPN2,ZFP91,VEGFB,LGALS12,ARL3,SLK,NFKB2,JPH3,PDE6G,IL6,CCR1,IL18R1,MSTN,ZAP70,PPM1F,INPP5D,HDAC4,ADIPOR1,PRKCQ,TSC1,ZEB2,HIPK3,CHAC1,RASGRP1,SPRED1,BMP2,SRC,TTI1,PEX5L,GUCY1B3,RIT1,FBXW7,NFKB1,CTH,ASPH,3110043O21RIK,TESK1,DYRK2,HTR6,PINK1,AGO3,HGF,PARK7,RINT1,STK32B,EPHA5,BMP3,MAPKAPK5,PXN,PDX1,BMP10,GDF3,RASGEF1A,CD27,LTBR,URI1,PAK4,HPX,PGAP2,CD40LG,NONO,RASA3,WWC2,WDR59,CD3E,PIAS1,TRF,PKD1,RNF125,SZT2,TNXB,TERF2IP,CDK10,BRK1,ACOT11,ARL6IP5,FIGNL1,DOK3,ABCA7,FAM110C,GADD45A,TOPORS,SS18,BC053994,ICAM1,NENF,MAVS,CD81,PPP1R16B,OPA1,SNRK,PAK1IP1,KAT7,PIK3CD,RHOU,MAGI2,DDX58,ULK4,BRCA2,INHBA,SERPINA12,DSTYK,LYN,CTF1,ZC3H12A,ABRA,FEM1A,ACKR3,PRKCE,PIK3R6,AR,LRRC4B,PIRT,PREX2,NDNF,RAPGEF4,LRRC19,GPD1L,RTN4RL2,PLCB1,GPR183,RASAL3,MAGI3,ADAM17,NRK,BRSK2,BCL3,NRGN,PDE5A,MDM4,GSK3A,SLC44A2,LMCD1,GNAI1,USP47,RCAN3,TAOK3,RAPGEF2,SYNGAP1,MAS1,LGALS1,DUSP22,IFI204,CEACAM1,ARFGEF2,UBE2N
11	1	TRUE	0.0449	30	1716	9	0.005	0.3	GO:0017004	BP	40	cytochrome complex assembly	1	UQCC1,CYBA,COA3,COX14,UQCC2,COA5,COX15,COA4,SMIM20
12	1	TRUE	0.0363	2848	1716	294	0.171	0.103	GO:0048583	BP	198	regulation of response to stimulus	1	GCG,CALM1,TBX21,EMD,CDK12,GLG1,BICD1,IKBKG,PGF,ZP3,MSH6,PSMB4,CYBA,USP19,STAMBP,AKT1S1,PEA15A,TNFAIP8L2,RNF168,PAM16,CSF1,FCGR1,NCF1,BRCA1,NLK,MED1,CTDNEP1,IRF1,CCL4,MAP2K3,DCN,SOCS2,RFX4,UNC5B,DOCK2,CNOT2,OSBPL8,WIF1,NCLN,NPRL3,MYO1G,MYOCD,STXBP4,RFFL,PECAM1,MAP3K14,PPP2R3C,PRKCH,ATXN3,NUMB,AOAH,CXCL14,PDCD6,NAIP1,ACOX2,FGF9,WNT5A,OXR1,MYC,FAM49B,HDAC7,NUDT16L1,SHANK3,GCSAM,PAK2,ADIPOQ,TARBP2,IVNS1ABP,BMP15,PARK2,PLA2G7,UBR2,TFEB,STK38,VAPA,PDPK1,MSH2,TMEM204,HBEGF,LARS,PTPN2,ZFP91,VEGFB,ABHD6,JPH3,PDE6G,RNF165,CHID1,IL6,CCR1,EYA1,SLC39A10,IL18R1,MSTN,ZAP70,PPM1F,INPP5D,HDAC4,RGS18,NUCKS1,ADIPOR1,PLXNA2,PRKCQ,TSC1,USP20,ZEB2,TRAF1,NMI,HIPK3,CHAC1,PCNA,RASGRP1,SPRED1,BMP2,SRC,TTI1,PEX5L,FBXW7,NFKB1,WLS,CTH,ASPH,3110043O21RIK,STOML2,HTR6,PINK1,AGO3,HGF,CDK14,PARK7,RINT1,EPHA5,BMP3,CXCL15,MAPKAPK5,PXN,HNF1A,LFNG,RITA1,RNF6,PDX1,BMP10,GDF3,RASGEF1A,RAD52,CD27,LTBR,VASP,URI1,FURIN,PAK4,KLK7,DISP1,STX4A,HPX,PGAP2,CD40LG,GATA1,NONO,CUL4A,RASA3,VEGFC,WWC2,WDR59,UBASH3B,CD3E,FEM1B,TRF,UBA5,CHSY1,HEYL,RNF125,SZT2,RPGRIP1L,TNXB,TERF2IP,ST18,CDK10,FANCD2,TLDC1,RNF43,GPC1,CHST11,SEMA3F,GPSM3,C8A,ARL6IP5,FIGNL1,STAB2,CNOT3,ABCA7,FAM110C,GADD45A,HIF1AN,ELF1,TBC1D24,ICAM1,NENF,MAVS,CD81,PPP1R16B,MBL1,OPA1,PRDM1,CBFA2T2,PAK1IP1,RNF146,IGFBP2,PRDM16,FOXP3,GRIN3A,MAGI2,DDX58,SPNS2,SGMS1,PVR,ULK4,INHBA,ANKRD42,SERPINA12,MVK,DSTYK,BEND6,ZFP451,LYN,TNFRSF14,CTF1,SIN3A,YPEL3,ZC3H12A,NREP,ABRA,TMEM64,ZFP536,FEM1A,ACKR3,PRKCE,FRRS1L,ONECUT2,POFUT1,PIK3R6,AR,KRT1,LRRC4B,DLK2,USP14,PREX2,LRRC19,RASL11B,NETO1,GPD1L,RTN4RL2,PLCB1,GPR183,TMEM198,XRCC1,RASAL3,MAGI3,ADAM17,NRK,BRSK2,MYH7,BCL3,KDM4D,PDE5A,USP46,GSK3A,SLC44A2,LMCD1,GNAI1,USP47,RCAN3,TAOK3,IFNLR1,RAPGEF2,CTNNA2,NLGN1,HMGN3,SYNGAP1,MAS1,LGALS1,DUSP22,RUNX3,IL1RL2,C4B,CEACAM1,UBE2N,VPS25,CLEC7A,SHKBP1,SRPX,TTBK2,TNNC1,TNFSF12
