query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0265	14	322	3	0.009	0.214	GO:1904923	BP	183	regulation of autophagy of mitochondrion in response to mitochondrial depolarization	1	MFN2,HDAC6,ATPIF1
2	1	TRUE	0.0306	15	322	3	0.009	0.2	GO:1903599	BP	183	positive regulation of autophagy of mitochondrion	1	MFN2,HDAC6,ATPIF1
3	1	TRUE	0.0234	13	322	3	0.009	0.231	GO:1904925	BP	183	positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization	2	MFN2,HDAC6,ATPIF1
4	1	TRUE	0.0481	2707	322	62	0.193	0.023	GO:0065008	BP	10	regulation of biological quality	1	DNAJA3,EIF2AK4,LETM1,ATP1A4,BCL2L1,TRPM2,SPTBN4,MAP3K4,ANXA6,YWHAH,GRM1,RTN4,PAFAH1B1,CHGA,SLC6A3,COL4A3BP,HMBOX1,ADCY5,FHL1,ACHE,CAMK2A,ARL2,GNL3L,RPS24,CPLX2,SLC40A1,ACTR3,ATP1B1,ANAPC2,RASSF2,E2F1,PFN2,ATP2A2,STX1B,ATP6AP2,HDAC6,ARL2BP,MBTPS1,THY1,RASGRF1,ATP1B3,ANK2,PFKM,NDN,LRRC24,OGT,UVRAG,ACTA2,RAB3GAP1,CER1,ATP1B2,RIC3,GJA1,ARHGEF15,CAMK2D,ATPIF1,CACNB2,RPL5,CNNM2,HBA-A1,SCN2B,RBM4
5	1	TRUE	0.0109	221	322	12	0.037	0.054	GO:0031647	BP	10	regulation of protein stability	2	DNAJA3,RTN4,GNL3L,ATP1B1,RASSF2,PFN2,HDAC6,ATP1B3,ANK2,RAB3GAP1,ATP1B2,RPL5
6	1	TRUE	0.00478	136	322	10	0.031	0.074	GO:0050821	BP	10	protein stabilization	3	DNAJA3,RTN4,ATP1B1,RASSF2,PFN2,ATP1B3,ANK2,RAB3GAP1,ATP1B2,RPL5
7	1	TRUE	0.00786	308	322	15	0.047	0.049	GO:0042391	BP	10	regulation of membrane potential	2	ATP1A4,BCL2L1,YWHAH,FHL1,ATP1B1,STX1B,ATP1B3,ANK2,RAB3GAP1,ATP1B2,GJA1,CAMK2D,ATPIF1,CACNB2,SCN2B
8	1	TRUE	0.00523	66	322	7	0.022	0.106	GO:0051899	BP	10	membrane depolarization	3	YWHAH,FHL1,GJA1,CAMK2D,ATPIF1,CACNB2,SCN2B
9	1	TRUE	0.0436	36	322	4	0.012	0.111	GO:0003254	BP	10	regulation of membrane depolarization	1	FHL1,GJA1,CAMK2D,SCN2B
10	1	TRUE	0.036	516	322	18	0.056	0.035	GO:0051603	BP	216	proteolysis involved in cellular protein catabolic process	1	UBQLN1,TSG101,HSP90B1,DNAJB12,CTSB,WNT1,UBE3A,ANAPC2,UBE2J1,CUL4B,HDAC6,GABARAPL2,MARCH6,RNF122,UFL1,ATPIF1,RPL5,UBR4
11	1	TRUE	0.0446	3998	322	86	0.267	0.022	GO:0048519	BP	96	negative regulation of biological process	1	NKX2-1,EFNB3,DNAJA3,NDRG2,EIF2AK4,LETM1,UBQLN1,BCL2L1,RPL10,TRPM2,DMAP1,SPTBN4,TSG101,TAOK1,YWHAH,LHX9,HSP90B1,DIP2A,ADARB1,RTN4,PAFAH1B1,PLD2,RPS6KA5,CHGA,CCNK,SLC6A3,PSPC1,HMBOX1,DAD1,AP2M1,SAMSN1,WNT1,FAIM2,FHL1,HES7,IMPACT,ARL2,GNL3L,RPS26,SLC40A1,GPR37L1,AK1,MYEF2,RASSF2,E2F1,PFN2,DCLK2,LMO4,UBE2J1,NFX1,CNTFR,MFN2,ATP2A2,DTX1,ERP29,NR2F2,STX1B,HDAC6,IRAK1,CDH5,KARS,GABARAPL2,THY1,ANK2,OGT,DENND5A,CER1,FKBP6,UFL1,MYBBP1A,ANKRD33,CREBRF,GJA1,JUN,ARHGEF15,TNFAIP6,CHD8,CAMK2D,ATPIF1,RPL5,AP2A1,NACA,SIM2,S1PR3,YWHAQ,RBM4
