name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0000726	Dementia	140	23	2.91	5.65	2.1e-06	0.0017	3.59	2.13	5.82
HP:0001268	Mental deterioration	214	30	2.49	5.48	1.8e-06	0.0017	3.03	1.93	4.64
HP:0002185	Neurofibrillary tangles	11	6	9.67	7.04	1.1e-05	0.0059	20.6	5.19	86.3
HP:0007256	Abnormal pyramidal signs	296	34	2.04	4.55	3.2e-05	0.013	2.41	1.58	3.59
HP:0100314	Cerebral inclusion bodies	19	7	6.53	5.91	4.6e-05	0.015	10.1	3.32	28.1
HP:0000751	Personality changes	49	11	3.98	5.13	6.1e-05	0.017	5.06	2.3	10.3
HP:0000741	Apathy	45	10	3.94	4.85	0.00015	0.021	4.98	2.16	10.5
HP:0000745	Diminished motivation	46	10	3.85	4.76	0.00018	0.021	4.84	2.11	10.1
HP:0010614	Fibroma	47	10	3.77	4.68	0.00021	0.021	4.7	2.05	9.83
HP:0001300	Parkinsonism	73	13	3.16	4.55	0.00017	0.021	3.81	1.88	7.17
HP:0001332	Dystonia	318	34	1.9	4.09	0.00014	0.021	2.21	1.45	3.29
HP:0001337	Tremor	377	38	1.79	3.95	0.00019	0.021	2.08	1.4	3.04
HP:0012443	Abnormality of brain morphology	1687	121	1.27	3.78	1e-04	0.021	1.75	1.29	2.38
HP:0011446	Abnormality of higher mental function	1451	107	1.31	3.74	0.00014	0.021	1.72	1.28	2.32
HP:0002011	Morphological abnormality of the central nervous system	1825	128	1.24	3.67	0.00015	0.021	1.74	1.28	2.38
HP:0011442	Abnormality of central motor function	1241	94	1.34	3.67	2e-04	0.021	1.71	1.26	2.3
HP:0012639	Abnormality of nervous system morphology	2000	137	1.21	3.57	0.00019	0.021	1.75	1.27	2.42
HP:0001031	Subcutaneous lipoma	12	5	7.39	5.42	0.00031	0.022	12.2	3.03	45.1
HP:0012316	Fibrous tissue neoplasm	49	10	3.62	4.51	0.00031	0.022	4.46	1.95	9.28
HP:0000219	Thin upper lip vermilion	164	21	2.27	4.07	0.00027	0.022	2.63	1.54	4.3
HP:0003487	Babinski sign	239	27	2	3.93	3e-04	0.022	2.31	1.44	3.57
HP:0001260	Dysarthria	373	37	1.76	3.79	0.00033	0.022	2.03	1.36	2.98
HP:0100851	Abnormal emotion/affect behavior	484	45	1.65	3.75	3e-04	0.022	1.92	1.33	2.74
HP:0011804	Abnormality of muscle physiology	1558	112	1.27	3.55	0.00027	0.022	1.68	1.25	2.27
HP:0030223	Perseveration	34	8	4.17	4.54	0.00045	0.023	5.32	2.05	12.3
HP:0002529	Neuronal loss in central nervous system	60	11	3.25	4.3	0.00042	0.023	3.91	1.8	7.79
HP:0002360	Sleep disturbance	232	26	1.99	3.8	0.00045	0.023	2.28	1.41	3.55
HP:0001347	Hyperreflexia	560	50	1.58	3.68	0.00035	0.023	1.86	1.3	2.61
HP:0001257	Spasticity	491	45	1.62	3.65	0.00042	0.023	1.89	1.3	2.69
HP:0000708	Behavioral abnormality	997	78	1.39	3.53	0.00039	0.023	1.69	1.24	2.29
HP:0002493	Upper motor neuron dysfunction	918	73	1.41	3.53	0.00041	0.023	1.7	1.25	2.32
HP:0003011	Abnormality of the musculature	1823	126	1.23	3.39	0.00042	0.023	1.67	1.23	2.28
HP:0001004	Lymphedema	52	10	3.41	4.28	0.00051	0.025	4.14	1.82	8.55
HP:0002167	Neurological speech impairment	785	64	1.45	3.46	0.00057	0.028	1.72	1.24	2.36
HP:0100022	Abnormality of movement	1159	86	1.32	3.21	0.0011	0.049	1.6	1.18	2.16
