query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0243	4	205	2	0.01	0.5	GO:0097384	BP	100	cellular lipid biosynthetic process	1	FAR1,GNPAT
2	1	TRUE	0.0154	3	205	2	0.01	0.667	GO:1901503	BP	100	ether biosynthetic process	1	FAR1,GNPAT
3	1	TRUE	0.0451	6	205	2	0.01	0.333	GO:0006662	BP	100	glycerol ether metabolic process	1	FAR1,GNPAT
4	1	TRUE	0.0154	3	205	2	0.01	0.667	GO:0046504	BP	100	glycerol ether biosynthetic process	2	FAR1,GNPAT
5	1	TRUE	0.0451	6	205	2	0.01	0.333	GO:0046485	BP	100	ether lipid metabolic process	1	FAR1,GNPAT
6	1	TRUE	0.0154	3	205	2	0.01	0.667	GO:0008611	BP	100	ether lipid biosynthetic process	2	FAR1,GNPAT
7	1	TRUE	0.015	13	205	3	0.015	0.231	GO:0000463	BP	36	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	PES1,RPF2,RPL7
8	1	TRUE	0.0451	6	205	2	0.01	0.333	GO:0015959	BP	80	diadenosine polyphosphate metabolic process	1	NUDT4,GARS
9	1	TRUE	0.0371	5	205	2	0.01	0.4	GO:0032252	BP	132	secretory granule localization	1	MYO5A,TSSC1
10	1	TRUE	0.0451	6	205	2	0.01	0.333	GO:0006658	BP	149	phosphatidylserine metabolic process	1	SERINC5,PTDSS2
11	1	TRUE	0.00306	8122	205	113	0.551	0.014	GO:0008152	BP	128	metabolic process	1	DLAT,HNRNPD,C1D,ILF2,CYP51,PAF1,TAX1BP1,DDX39,GPRC5B,TFCP2,RBM25,BRMS1L,MPDU1,DDX39B,SEC63,PREP,NUDT4,H2AFY2,MDH1,MAPK9,VDAC1,PES1,CDC27,SDHA,NSUN2,GFM2,SERINC5,DNAJC15,EIF3H,JOSD1,CSNK1E,MAPK8IP2,RIPPLY3,KDM4B,CSNK2B,OTUB1,MUS81,P4HB,SCD2,ATP5B,PTDSS2,MARCH8,CENPF,SLC25A12,COPS2,RAD51,PKIA,MRPS15,PRKAG2,ADD1,SLC30A9,EP400,N4BP2L2,GARS,MTPN,FAR1,AMFR,GNPAT,FEZ1,ILF3,SLTM,NEDD4,GCLC,MYO5A,DHX57,SKP1A,CTBP1,CPE,H2AFZ,TRPC4AP,RPF2,PICALM,HIP1,PNRC1,DGKZ,NUP88,SNRPD2,ZFP598,MAP6D1,DLX1,CSDC2,BEX2,GPRASP1,RPL7,ZRSR1,SWI5,CSRNP2,PAIP2B,ENTPD1,GAS1,MRPS21,SET,UPF1,TXNDC9,FBXO18,RPL11,HSPA2,RPS7,RPL34,QK,CYCS,RPS28,SSBP4,TBPL1,SMS,PSMB11,CSNK2A1,BNIP3,HIST3H2A,TMLHE,NAP1L2,SCNM1,SNRPN
12	1	TRUE	0.004	7428	205	105	0.512	0.014	GO:0044238	BP	128	primary metabolic process	2	DLAT,HNRNPD,C1D,ILF2,CYP51,PAF1,TAX1BP1,DDX39,GPRC5B,TFCP2,RBM25,BRMS1L,MPDU1,DDX39B,PREP,NUDT4,H2AFY2,MDH1,MAPK9,PES1,CDC27,SDHA,NSUN2,GFM2,SERINC5,DNAJC15,EIF3H,JOSD1,CSNK1E,MAPK8IP2,RIPPLY3,KDM4B,CSNK2B,OTUB1,MUS81,P4HB,SCD2,ATP5B,PTDSS2,MARCH8,CENPF,COPS2,RAD51,PKIA,MRPS15,PRKAG2,ADD1,SLC30A9,EP400,N4BP2L2,GARS,MTPN,FAR1,AMFR,GNPAT,ILF3,SLTM,NEDD4,GCLC,MYO5A,DHX57,SKP1A,CTBP1,CPE,H2AFZ,TRPC4AP,RPF2,PICALM,HIP1,PNRC1,DGKZ,SNRPD2,ZFP598,MAP6D1,DLX1,CSDC2,BEX2,RPL7,ZRSR1,SWI5,CSRNP2,PAIP2B,ENTPD1,GAS1,MRPS21,SET,UPF1,TXNDC9,FBXO18,RPL11,HSPA2,RPS7,RPL34,QK,CYCS,RPS28,SSBP4,TBPL1,PSMB11,CSNK2A1,BNIP3,HIST3H2A,NAP1L2,SCNM1,SNRPN
13	1	TRUE	0.00481	7840	205	109	0.532	0.014	GO:0071704	BP	128	organic substance metabolic process	2	DLAT,HNRNPD,C1D,ILF2,CYP51,PAF1,TAX1BP1,DDX39,GPRC5B,TFCP2,RBM25,BRMS1L,MPDU1,DDX39B,PREP,NUDT4,H2AFY2,MDH1,MAPK9,PES1,CDC27,SDHA,NSUN2,GFM2,SERINC5,DNAJC15,EIF3H,JOSD1,CSNK1E,MAPK8IP2,RIPPLY3,KDM4B,CSNK2B,OTUB1,MUS81,P4HB,SCD2,ATP5B,PTDSS2,MARCH8,CENPF,COPS2,RAD51,PKIA,MRPS15,PRKAG2,ADD1,SLC30A9,EP400,N4BP2L2,GARS,MTPN,FAR1,AMFR,GNPAT,ILF3,SLTM,NEDD4,GCLC,MYO5A,DHX57,SKP1A,CTBP1,CPE,H2AFZ,TRPC4AP,RPF2,PICALM,HIP1,PNRC1,DGKZ,NUP88,SNRPD2,ZFP598,MAP6D1,DLX1,CSDC2,BEX2,GPRASP1,RPL7,ZRSR1,SWI5,CSRNP2,PAIP2B,ENTPD1,GAS1,MRPS21,SET,UPF1,TXNDC9,FBXO18,RPL11,HSPA2,RPS7,RPL34,QK,CYCS,RPS28,SSBP4,TBPL1,SMS,PSMB11,CSNK2A1,BNIP3,HIST3H2A,TMLHE,NAP1L2,SCNM1,SNRPN
14	1	TRUE	0.0088	4179	205	66	0.322	0.016	GO:1901360	BP	128	organic cyclic compound metabolic process	3	DLAT,HNRNPD,C1D,ILF2,CYP51,PAF1,TAX1BP1,DDX39,TFCP2,RBM25,BRMS1L,DDX39B,NUDT4,H2AFY2,MDH1,PES1,SDHA,NSUN2,DNAJC15,RIPPLY3,OTUB1,MUS81,ATP5B,CENPF,COPS2,RAD51,PKIA,PRKAG2,SLC30A9,N4BP2L2,GARS,MTPN,ILF3,SLTM,NEDD4,GCLC,MYO5A,DHX57,CTBP1,H2AFZ,RPF2,PICALM,PNRC1,SNRPD2,DLX1,CSDC2,BEX2,RPL7,ZRSR1,SWI5,CSRNP2,ENTPD1,SET,UPF1,TXNDC9,FBXO18,RPL11,RPS7,QK,CYCS,RPS28,SSBP4,TBPL1,HIST3H2A,SCNM1,SNRPN
15	1	TRUE	0.00386	7052	205	101	0.493	0.014	GO:0006807	BP	128	nitrogen compound metabolic process	2	DLAT,HNRNPD,C1D,ILF2,PAF1,TAX1BP1,DDX39,GPRC5B,TFCP2,RBM25,BRMS1L,DDX39B,SEC63,PREP,NUDT4,H2AFY2,MDH1,MAPK9,PES1,CDC27,SDHA,NSUN2,GFM2,SERINC5,DNAJC15,EIF3H,JOSD1,CSNK1E,MAPK8IP2,RIPPLY3,KDM4B,CSNK2B,OTUB1,MUS81,P4HB,ATP5B,PTDSS2,MARCH8,CENPF,COPS2,RAD51,PKIA,MRPS15,PRKAG2,ADD1,SLC30A9,EP400,N4BP2L2,GARS,MTPN,AMFR,ILF3,SLTM,NEDD4,GCLC,DHX57,SKP1A,CTBP1,CPE,H2AFZ,TRPC4AP,RPF2,PICALM,HIP1,PNRC1,SNRPD2,ZFP598,MAP6D1,DLX1,CSDC2,BEX2,RPL7,ZRSR1,SWI5,CSRNP2,PAIP2B,ENTPD1,GAS1,MRPS21,SET,UPF1,TXNDC9,FBXO18,RPL11,HSPA2,RPS7,RPL34,QK,CYCS,RPS28,SSBP4,TBPL1,SMS,PSMB11,CSNK2A1,BNIP3,HIST3H2A,TMLHE,NAP1L2,SCNM1,SNRPN
16	1	TRUE	0.015	12596	205	154	0.751	0.012	GO:0009987	BP	128	cellular process	1	DLAT,HNRNPD,C1D,ILF2,EPN2,STARD3NL,PAF1,PPFIA3,TAX1BP1,DDX39,PFDN2,GPRC5B,TFCP2,RBM25,BRMS1L,DDX39B,PLSCR3,NUDT4,H2AFY2,MDH1,MAPK9,VDAC1,PES1,BCAP29,CDC27,EXOC7,TIMM22,ATP6V1D,SDHA,NSUN2,GFM2,SERINC5,DNAJC15,NEFL,EIF3H,JOSD1,CSNK1E,SHISA9,MAPK8IP2,RIPPLY3,KDM4B,CSNK2B,OTUB1,MUS81,P4HB,SCD2,TRO,ATP5B,PTDSS2,MARCH8,DNAAF5,HIGD2A,ADAM23,LANCL1,RGS7,KIFAP3,CENPF,SLC25A12,COPS2,RAD51,PKIA,RAB13,NUDT2,HOOK1,MRPS15,PRKAG2,ADD1,SLC30A9,EP400,FSCN1,ARPC1A,N4BP2L2,GARS,MTPN,FAR1,STIM1,GPM6A,AMFR,PLLP,GNPAT,FEZ1,ILF3,SLTM,NEDD4,GCLC,PPP1R9A,INA,MYO5A,SSH3,DHX57,CD99L2,SKP1A,TCAF1,RAB11FIP3,CTBP1,CPE,H2AFZ,TRPC4AP,RPF2,PRRC2B,PICALM,GABBR2,HIP1,PNRC1,DGKZ,SNRPD2,ZFP598,MAP6D1,DLX1,CSDC2,BEX2,GPRASP1,RPL7,ZRSR1,SWI5,CSRNP2,PAIP2B,ENTPD1,GAS1,NUDCD3,MRPS21,SET,CD248,MYH4,UPF1,HIST1H2BG,TXNDC9,FBXO18,RPL11,HSPA2,RPS7,DPP6,RPL34,QK,CYCS,CHD4,RPS28,BLCAP,SSBP4,TBPL1,GNG3,SMS,PSMB11,CSNK2A1,BNIP3,HIST3H2A,TMLHE,NAP1L2,BCL2L2,MYL6,SCNM1,TOMM20,MOAP1,SNRPN
