query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0482	2	116	2	0.017	1	GO:2001045	BP	63	negative regulation of integrin-mediated signaling pathway	1	CTNNA1,PHACTR4
2	1	TRUE	0.0461	4248	116	45	0.388	0.011	GO:0003824	MF	101	catalytic activity	1	SIAE,HMOX2,CTDNEP1,RNF145,AIFM2,MDM2,PXDN,TRIM23,MAPK8,RNF19A,SCRIB,DUSP1,PTPN2,LIPA,MGEA5,PFKFB4,PAM,GALK2,DDAH1,DFFB,RNF4,STK32B,PSPH,NT5C3,FURIN,HCCS,ASPRV1,IDI2,DPH5,TRIM59,PIM3,MGAT4B,STUB1,BCOR,USP45,ADRBK2,ZC3H12A,NMNAT2,SMG7,MBTPS2,FBXO41,SUCLG1,UGT1A6A,DOT1L,PDE11A
3	1	TRUE	0.0484	2	8	1	0.125	0.5	CORUM:395	cor	20	Succinyl-CoA synthetase, ADP-forming	1	SUCLG1
4	1	TRUE	0.0484	2	8	1	0.125	0.5	CORUM:3715	cor	98	Pericentrin-GCP complex	1	TUBGCP2
5	1	TRUE	0.0484	2	8	1	0.125	0.5	CORUM:396	cor	90	Succinyl-CoA synthetase, GDP-forming	1	SUCLG1
6	1	TRUE	0.0484	2	8	1	0.125	0.5	CORUM:510	cor	71	TFIID subcomplex, testis-specific	1	TBP
7	1	TRUE	0.0484	2	8	1	0.125	0.5	CORUM:935	cor	10	Scrib-APC-beta-catenin complex	1	SCRIB
8	1	TRUE	0.000341	8476	132	81	0.614	0.01	TF:M03807_0	tf	95	Factor: SP2; motif: GNNGGGGGCGGGGSN; match class: 0	1	SIAE,SH3GL1,HMOX2,ZFP287,SYN2,TBP,TROVE2,CEP95,CTDNEP1,RNF145,AIFM2,MDM2,HMG20B,PXDN,SLC13A5,NSD1,JMY,MAPK8,RNF19A,CREBBP,SCRIB,RGS11,PTPN2,MGEA5,TUBGCP2,PFKFB4,WDR12,PAM,GALK2,NECAB3,CTNNBL1,STX2,NT5C3,FAM189A1,WWC2,TNPO2,ASPRV1,DPH5,VPS8,TRIM59,CNOT3,PIM3,MGAT4B,WDR44,MXD4,MATR3,CTNNA1,SNN,SUSD4,STUB1,DOCK3,SLC45A1,RAB11FIP2,BCOR,FAM208A,ERF,MSANTD2,ADRBK2,ZC3H12A,NMNAT2,SMG7,FAM160A2,DBX2,TMEM104,VWA5B2,RBM12B1,FBXO41,PHF13,ZFP710,ARL4C,DOT1L,CTTNBP2NL,CCNI,CTNNA2,CCDC102A,LGI1,INSM1,ROM1,PDE11A,TMSB10,SHKBP1
9	1	TRUE	0.0143	11723	132	94	0.712	0.008	TF:M00257_1	tf	67	Factor: RREB-1; motif: CCCCAAACMMCCCC; match class: 1	1	SIAE,SH3GL1,SYN2,RNF145,MDM2,HMG20B,PXDN,SLC13A5,NSD1,JMY,EDNRB,RNF19A,CREBBP,SCRIB,TCTE1,RGS11,DUSP1,PTPN2,LIPA,DNMBP,MGEA5,TUBGCP2,PFKFB4,WDR12,PAM,TNNI1,APBB1IP,GALK2,NECAB3,CTNNBL1,DDAH1,DFFB,PROM1,RNF4,STX2,CLEC12B,FURIN,HCCS,WWC2,TNPO2,CGNL1,ATG9A,ASPRV1,IDI2,DPH5,VPS8,DOK3,PIM3,WDR44,MATR3,CTNNA1,SNN,SUSD4,STUB1,DOCK3,SLC45A1,TM7SF3,BCOR,USP45,FAM208A,ERF,WRAP53,MSANTD2,ADRBK2,ZC3H12A,NMNAT2,SMG7,TNP2,FAM160A2,DBX2,WDR89,TMEM104,VWA5B2,RBM12B1,FBXO41,ZFP710,ARL4C,UGT1A6A,ZFP869,NAALADL1,DOT1L,CTTNBP2NL,CTNNA2,CCDC102A,PRPF38A,PHACTR4,LGI1,INSM1,ROM1,BHLHB9,PDE11A,TMSB10,SHKBP1,EIF4EBP3
10	1	TRUE	0.0368	9952	132	81	0.614	0.008	TF:M00189_0	tf	87	Factor: AP-2; motif: MKCCCSCNGGCG; match class: 0	1	SH3GL1,PRKCSH,HMOX2,TROVE2,CTDNEP1,WWC1,RNF145,AIFM2,MDM2,PXDN,SLC13A5,GPATCH2L,NSD1,JMY,MAPK8,RNF19A,CREBBP,SCRIB,TCTE1,RGS11,DUSP1,DNMBP,TUBGCP2,PFKFB4,WDR12,PAM,TNNI1,APBB1IP,CTNNBL1,DDAH1,DFFB,PROM1,STX2,NT5C3,FAM189A1,FURIN,WWC2,ATG9A,VPS8,DOK3,PIM3,MGAT4B,SNN,SUSD4,FOXK2,STUB1,DOCK3,SLC45A1,TM7SF3,BCOR,ERF,WRAP53,MSANTD2,ADRBK2,SMG7,FAM160A2,DBX2,WDR89,HDGFL1,VWA5B2,RBM12B1,MBTPS2,FBXO41,PHF13,ZFP710,ARL4C,PITPNB,NAALADL1,EIF3B,DOT1L,CTTNBP2NL,CCNI,PRPF38A,PHACTR4,ANKS6,INSM1,ROM1,PDE11A,TMSB10,SHKBP1,EIF4EBP3
