query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0308	17	197	3	0.015	0.176	GO:1902895	BP	50	positive regulation of pri-miRNA transcription from RNA polymerase II promoter	1	RELA,JUN,TRP53
2	1	TRUE	0.0393	2035	197	35	0.178	0.017	GO:0070887	BP	182	cellular response to chemical stimulus	1	KEAP1,PAF1,PHB2,UBQLN1,BCL2L1,ZFYVE27,PPP1R12A,HSP90B1,PABPN1,PDE1B,ANXA1,RELA,E2F1,HP1BP3,HPCA,ADD1,PPARGC1A,PAGR1A,AMFR,MYD88,CISH,NDN,GABRB3,OGT,INA,ADAMTSL2,PRKCI,SLC25A23,HNRNPA1,CREBRF,JUN,NTRK2,TRP53,LSM14A,CDKN2B
3	1	TRUE	0.0187	3	197	2	0.01	0.667	GO:0035973	BP	138	aggrephagy	1	UBQLN1,WDFY3
4	1	TRUE	0.0112	27	197	4	0.02	0.148	GO:0043276	BP	156	anoikis	1	BCL2L1,E2F1,MYBBP1A,NTRK2
5	1	TRUE	0.0371	19	197	3	0.015	0.158	GO:2000209	BP	156	regulation of anoikis	1	BCL2L1,MYBBP1A,NTRK2
6	1	TRUE	0.035	195	197	8	0.041	0.041	GO:0034976	BP	11	response to endoplasmic reticulum stress	1	UBQLN1,HSP90B1,ANKS4B,AMFR,MARCH6,CREBRF,JUN,TRP53
7	1	TRUE	0.0466	2145	197	36	0.183	0.017	GO:0009653	BP	35	anatomical structure morphogenesis	1	PAF1,PHB2,BCL2L1,SPTBN4,WNT8A,PTPRS,STRIP1,GATA2,ZFYVE27,LHX9,VASH1,ANXA1,RELA,ATP5B,MKLN1,PRKAR1B,KLF7,GNAS,LMO4,ADD1,MKI67,ZMYM3,EDNRA,CFDP1,NDN,NKX6-1,FZD8,PRKCI,JUN,NTRK2,CD248,TRP53,IRX1,BTBD3,ACTG1,NTF5
8	1	TRUE	0.0423	862	197	19	0.096	0.022	GO:0002520	BP	103	immune system development	1	CLPTM1,PAF1,GATA2,SFXN1,SATB1,GLO1,ANXA1,GNAS,LMO4,ADD1,PAGR1A,EEF2,FZD8,SETD1A,JUN,CD248,TRP53,PSMB11,CDKN2B
9	1	TRUE	0.0356	42	197	4	0.02	0.095	GO:0000380	BP	192	alternative mRNA splicing, via spliceosome	1	SF3A1,MBNL2,SRSF2,HNRNPA1
10	1	TRUE	0.0313	189	197	8	0.041	0.042	GO:0051402	BP	43	neuron apoptotic process	1	BCL2L1,PPARGC1A,GABRB3,PRKCI,JUN,NTRK2,TRP53,NTF5
11	1	TRUE	0.0475	211	197	8	0.041	0.038	GO:1901214	BP	43	regulation of neuron death	1	BCL2L1,PPARGC1A,GABRB3,PRKCI,JUN,NTRK2,TRP53,NTF5
12	1	TRUE	0.0345	149	197	7	0.036	0.047	GO:1901215	BP	43	negative regulation of neuron death	1	BCL2L1,PPARGC1A,GABRB3,PRKCI,JUN,NTRK2,NTF5
13	1	TRUE	0.0158	162	197	8	0.041	0.049	GO:0043523	BP	43	regulation of neuron apoptotic process	1	BCL2L1,PPARGC1A,GABRB3,PRKCI,JUN,NTRK2,TRP53,NTF5
14	1	TRUE	0.0162	123	197	7	0.036	0.057	GO:0043524	BP	43	negative regulation of neuron apoptotic process	2	BCL2L1,PPARGC1A,GABRB3,PRKCI,JUN,NTRK2,NTF5
15	1	TRUE	0.0498	6	197	2	0.01	0.333	GO:0070345	BP	175	negative regulation of fat cell proliferation	1	GATA2,E2F1
16	1	TRUE	0.0333	18	197	3	0.015	0.167	GO:0021514	BP	158	ventral spinal cord interneuron differentiation	1	GATA2,LMO4,NKX6-1
17	1	TRUE	0.0187	3	197	2	0.01	0.667	GO:0046069	BP	66	cGMP catabolic process	1	PDE1B,PDE9A
18	1	TRUE	0.0475	1380	197	26	0.132	0.019	GO:0012501	BP	79	programmed cell death	1	PHB2,UBQLN1,BCL2L1,GABARAP,HSP90B1,RNF130,DDX42,GLO1,ANXA1,RELA,E2F1,PPARGC1A,CFDP1,MYD88,GABRB3,OGT,PRKCI,MYBBP1A,JUN,NTRK2,CD248,FBXO18,RPL11,TRP53,SP110,NTF5
19	1	TRUE	0.0466	3216	197	49	0.249	0.015	GO:0006810	BP	106	transport	1	CAR4,KEAP1,PPFIA3,PHB2,STXBP2,UBQLN1,BCL2L1,SPTBN4,TMEM175,SLC25A11,GATA2,ZFYVE27,ATP6V1E1,PPP1R12A,HSP90B1,SFXN1,PABPN1,SLC17A9,SLC39A7,ANXA1,KCNIP2,ATP5B,COPA,CENPF,GNAS,HPCA,VPS29,OPHN1,EDNRA,SLC12A3,DNAJC13,GABRB3,PRKCI,SLC32A1,MYBBP1A,MDFIC,GPRASP1,SLC25A23,HNRNPA1,CREBRF,JUN,NTRK2,RPL11,SLC27A4,TRP53,DPP6,AP3B2,UBL5,TOMM20
20	1	TRUE	0.0475	4896	197	68	0.345	0.014	GO:0071840	BP	169	cellular component organization or biogenesis	1	SF3A1,PAF1,PHB2,UBQLN1,BCL2L1,SPTBN4,WNT8A,PTPRS,TMEM175,STRIP1,GATA2,GABARAP,ZFYVE27,LHX9,PPP1R12A,HSP90B1,CDC27,SLC17A9,SATB1,KDM4B,ANXA1,ARL2,TCTN3,KCNIP2,MKLN1,KLF7,LMO4,HP1BP3,PRKAG2,MTHFR,ADD1,PPARGC1A,EP400,PAGR1A,ANKS4B,MKI67,OPHN1,ZMYM3,AMFR,CFDP1,SNX14,DNAJC13,ZNRF1,NDN,OGT,INA,NKX6-1,ADAMTSL2,PRKCI,SNRPD2,UTP15,SETD1A,ISCA1,GJB2,JUN,NUDCD3,NTRK2,RPL23A,RPL11,TRP53,RRP1,BTBD3,ACTG1,LSM14A,ADAM1A,NTF5,UBL5,TOMM20
21	1	TRUE	0.0177	526	197	15	0.076	0.029	GO:0010243	BP	174	response to organonitrogen compound	1	UBQLN1,BCL2L1,HSP90B1,PDE1B,RELA,AMFR,MYD88,CISH,GABRB3,OGT,PRKCI,MARCH6,JUN,NTRK2,TRP53
22	1	TRUE	0.0415	536	197	14	0.071	0.026	GO:0032446	BP	37	protein modification by small protein conjugation	1	KEAP1,PAF1,UBQLN1,ANAPC16,CDC27,RELA,AMFR,ZNRF1,OGT,MARCH6,UBA2,FBXO18,RPL11,BTBD3
23	1	TRUE	0.00368	8122	197	109	0.553	0.013	GO:0008152	BP	42	metabolic process	1	SND1,SF3A1,KEAP1,PAF1,PHB2,UBQLN1,SPTBN4,PTPRS,GATA2,RPL19,GABARAP,LHX9,PPP1R12A,TMPO,HSP90B1,ANAPC16,MDH1,CDC27,DDX42,VASH1,MED10,TKT,ITM2B,MBNL2,PABPN1,PDE1B,RIPPLY3,CERS5,SLC17A9,SATB1,GLO1,KDM4B,PPP2R2B,ANXA1,RELA,ATP5B,RHBDL1,PRKAR1B,KLF7,CLK1,CENPF,PHYH,AK1,E2F1,GNAS,LMO4,HP1BP3,PRKAG2,MTHFR,ABLIM2,ADD1,PPARGC1A,EP400,PAGR1A,OPHN1,CSTF2,EDNRA,AMFR,INTS10,ILF3,SNX14,MYD88,CISH,ZNRF1,NDN,SRSF2,OGT,EEF2,NKX6-1,FZD8,PRKCI,PHF12,MARCH6,FKBP6,MYBBP1A,SNRPD2,PDE9A,MDFIC,UTP15,SETD1A,PLA2G6,BEX2,GPRASP1,MGAT5B,WDFY3,ISCA1,PAIP2B,SLC25A23,HNRNPA1,GNG7,CREBRF,JUN,UBA2,CPSF3,NTRK2,RPL23A,FBXO18,RPL11,SLC27A4,TRP53,RRP1,BTBD3,ZFP938,PSMB11,ADAM1A,CDKN2B,NTF5,UBL5,SNRPN
24	1	TRUE	0.00344	7428	197	102	0.518	0.014	GO:0044238	BP	42	primary metabolic process	2	SND1,SF3A1,KEAP1,PAF1,PHB2,UBQLN1,SPTBN4,PTPRS,GATA2,RPL19,LHX9,PPP1R12A,TMPO,HSP90B1,ANAPC16,MDH1,CDC27,DDX42,MED10,ITM2B,MBNL2,PABPN1,PDE1B,RIPPLY3,CERS5,SATB1,GLO1,KDM4B,PPP2R2B,ANXA1,RELA,ATP5B,RHBDL1,PRKAR1B,KLF7,CLK1,CENPF,PHYH,AK1,E2F1,GNAS,LMO4,HP1BP3,PRKAG2,MTHFR,ABLIM2,ADD1,PPARGC1A,EP400,PAGR1A,OPHN1,CSTF2,EDNRA,AMFR,INTS10,ILF3,MYD88,CISH,ZNRF1,NDN,SRSF2,OGT,EEF2,NKX6-1,FZD8,PRKCI,PHF12,MARCH6,FKBP6,MYBBP1A,SNRPD2,PDE9A,MDFIC,UTP15,SETD1A,PLA2G6,BEX2,MGAT5B,ISCA1,PAIP2B,SLC25A23,HNRNPA1,GNG7,CREBRF,JUN,UBA2,CPSF3,NTRK2,RPL23A,FBXO18,RPL11,SLC27A4,TRP53,RRP1,BTBD3,ZFP938,PSMB11,ADAM1A,CDKN2B,NTF5,UBL5,SNRPN
