query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00706	1388	247	37	0.15	0.027	GO:0044281	BP	10	small molecule metabolic process	1	GNMT,MTHFD2,PDC,GGT1,APRT,MPO,ALOX12E,PDK4,GFPT2,FARS2,DHFR,TDH,MIOX,RBP4,HDC,CYP7A1,SCP2,SDS,CLN3,ADM,EARS2,PTS,MTMR9,MACROD1,GCH1,AKR1D1,DCXR,CYP7B1,MUP4,ACOT6,RBP1,ENO4,ADH7,PLA2G4A,CYP2C66,FBP1,VKORC1
2	1	TRUE	0.00706	370	247	17	0.069	0.046	GO:0044283	BP	10	small molecule biosynthetic process	2	GNMT,GGT1,MPO,PDK4,DHFR,RBP4,CYP7A1,SCP2,SDS,PTS,GCH1,AKR1D1,CYP7B1,MUP4,PLA2G4A,FBP1,VKORC1
3	1	TRUE	0.0118	185	247	11	0.045	0.059	GO:0006066	BP	10	alcohol metabolic process	2	DHFR,MIOX,RBP4,CYP7A1,SCP2,PTS,MTMR9,GCH1,AKR1D1,RBP1,ADH7
4	1	TRUE	0.00758	718	247	24	0.097	0.033	GO:0006082	BP	10	organic acid metabolic process	2	GNMT,MTHFD2,GGT1,MPO,ALOX12E,PDK4,GFPT2,FARS2,DHFR,TDH,HDC,CYP7A1,SDS,CLN3,EARS2,AKR1D1,CYP7B1,ACOT6,RBP1,ENO4,ADH7,PLA2G4A,CYP2C66,FBP1
5	1	TRUE	0.00706	708	247	24	0.097	0.034	GO:0043436	BP	10	oxoacid metabolic process	3	GNMT,MTHFD2,GGT1,MPO,ALOX12E,PDK4,GFPT2,FARS2,DHFR,TDH,HDC,CYP7A1,SDS,CLN3,EARS2,AKR1D1,CYP7B1,ACOT6,RBP1,ENO4,ADH7,PLA2G4A,CYP2C66,FBP1
6	1	TRUE	0.00706	655	247	23	0.093	0.035	GO:0019752	BP	10	carboxylic acid metabolic process	4	GNMT,MTHFD2,GGT1,ALOX12E,PDK4,GFPT2,FARS2,DHFR,TDH,HDC,CYP7A1,SDS,CLN3,EARS2,AKR1D1,CYP7B1,ACOT6,RBP1,ENO4,ADH7,PLA2G4A,CYP2C66,FBP1
7	1	TRUE	0.0469	9	247	3	0.012	0.333	GO:0001867	BP	11	complement activation, lectin pathway	1	SERPING1,MBL2,MASP2
8	1	TRUE	0.0469	265	247	12	0.049	0.045	GO:0051186	BP	3	cofactor metabolic process	1	NARFL,GNMT,MTHFD2,PDK4,DHFR,SCP2,PTS,GCH1,DCXR,ACOT6,ENO4,FBP1
9	1	TRUE	0.0324	214	247	11	0.045	0.051	GO:0006732	BP	3	coenzyme metabolic process	2	GNMT,MTHFD2,PDK4,DHFR,SCP2,PTS,GCH1,DCXR,ACOT6,ENO4,FBP1
10	1	TRUE	0.0272	18	247	4	0.016	0.222	GO:0042558	BP	3	pteridine-containing compound metabolic process	1	MTHFD2,DHFR,PTS,GCH1
11	1	TRUE	0.00706	4	247	3	0.012	0.75	GO:0046146	BP	3	tetrahydrobiopterin metabolic process	2	DHFR,PTS,GCH1
12	1	TRUE	0.0469	9	247	3	0.012	0.333	GO:0042559	BP	3	pteridine-containing compound biosynthetic process	2	DHFR,PTS,GCH1
13	1	TRUE	0.00706	4	247	3	0.012	0.75	GO:0006729	BP	3	tetrahydrobiopterin biosynthetic process	3	DHFR,PTS,GCH1
14	1	TRUE	0.0196	4248	247	80	0.324	0.019	GO:0003824	MF	2	catalytic activity	1	MMP11,ACP2,NARFL,GNMT,DNASE2A,MTHFD2,PDC,GGT1,APRT,MPO,TSR3,MMP9,PDK4,PELI1,ALDH1L2,MPG,GFPT2,FARS2,CDK20,ERCC8,DHFR,TDH,SLA,MAPK12,MIOX,MCM4,TOP3B,RFC4,DNASE1L3,GSTA3,KDELC1,NMT2,HDC,AADAC,CYP7A1,GPX7,SCP2,MASP2,SDS,MKRN1,ATG7,KDM8,EARS2,RBMX2,OTUD5,BTK,HSD17B2,PTS,DAPK2,DHX30,MACROD1,TAP1,GCH1,RNF144B,AKR1D1,METTL22,DCXR,CYP7B1,LAP3,MUP4,GRAP2,C1GALT1,DPM3,ACOT6,RNASE2A,ENO4,NAT2,CPA1,ADH7,CYP3A11,PLA2G4A,DPH6,CTS8,CHPT1,PPIH,CYP2C66,FBP1,RNF121,AARSD1,VKORC1
15	1	TRUE	0.00383	4	11	2	0.182	0.5	CORUM:5703	cor	4	Bash-Bnas2/Cmtm3-Btk-Erk2 complex	1	BTK,CMTM3
16	1	TRUE	0.00383	4	11	2	0.182	0.5	CORUM:1371	cor	1	Gata1-Tal1-Tcf3-Lmo2 complex	1	TAL1,LMO2
17	1	TRUE	0.00475	5	11	2	0.182	0.4	CORUM:1373	cor	5	Ldb1-Lmo2-Gata-1-Tal1-E47 complex	1	TAL1,LMO2
18	1	TRUE	0.00383	4	11	2	0.182	0.5	CORUM:2742	cor	6	Gata2-Tal1-Tcf3-Lmo2 complex	1	TAL1,LMO2
19	1	TRUE	0.018	16	121	4	0.033	0.25	KEGG:00120	keg	7	Primary bile acid biosynthesis	1	CYP7A1,SCP2,AKR1D1,CYP7B1
20	1	TRUE	0.0389	87	121	7	0.058	0.08	KEGG:00140	keg	9	Steroid hormone biosynthesis	1	CYP7A1,HSD17B2,HSD3B5,AKR1D1,CYP7B1,CYP3A11,CYP2C66
