query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0433	8	94	2	0.021	0.25	GO:0044387	BP	11	negative regulation of protein kinase activity by regulation of protein phosphorylation	1	PPM1F,ADAR
2	1	TRUE	0.036	7	94	2	0.021	0.286	GO:0000243	CC	5	commitment complex	1	SNRPC,UHMK1
3	1	TRUE	0.0114	4072	94	37	0.394	0.009	GO:0032991	CC	29	macromolecular complex	1	SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,CLPX,ATP5G3,SRP68,MTA1,HDAC7,SNRPC,SMARCC2,KLHL4,PPM1F,UHMK1,KIF5C,RALY,ADAR,TMOD1,CDK8,ITPR1,HCFC1,ASH2L,KATNB1,USP28,CACUL1,MBD3,PRKAB2,SESN1,NFE2L1,EIF4H,RPL27A,RNASEH2A,ATP5SL,EXOC8,KLHL17
4	1	TRUE	0.0227	2605	94	26	0.277	0.01	GO:0043234	CC	29	protein complex	2	SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,CLPX,ATP5G3,SMARCC2,PPM1F,UHMK1,KIF5C,TMOD1,CDK8,ITPR1,HCFC1,KATNB1,USP28,MBD3,PRKAB2,SESN1,NFE2L1,EIF4H,RNASEH2A,ATP5SL,EXOC8
5	1	TRUE	0.036	1181	94	15	0.16	0.013	GO:1902494	CC	29	catalytic complex	2	SMARCB1,PSMC3,MTA1,HDAC7,SMARCC2,KLHL4,RALY,ITPR1,HCFC1,ASH2L,CACUL1,MBD3,PRKAB2,ATP5SL,KLHL17
6	1	TRUE	0.036	74	94	4	0.043	0.054	GO:1904949	CC	29	ATPase complex	3	SMARCB1,MTA1,SMARCC2,MBD3
7	1	TRUE	0.0291	65	94	4	0.043	0.062	GO:0070603	CC	29	SWI/SNF superfamily-type complex	1	SMARCB1,MTA1,SMARCC2,MBD3
8	1	TRUE	0.036	32	94	3	0.032	0.094	GO:0000791	CC	14	euchromatin	1	NSMF,ASH2L,H1F0
9	1	TRUE	0.0291	26	94	3	0.032	0.115	GO:0005719	CC	14	nuclear euchromatin	1	NSMF,ASH2L,H1F0
10	1	TRUE	0.036	7	94	2	0.021	0.286	GO:0032839	CC	56	dendrite cytoplasm	1	UHMK1,KLHL17
11	1	TRUE	0.0291	10288	94	66	0.702	0.006	GO:0043226	CC	31	organelle	1	SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,NSMF,SOD2,DNAJC7,CLPX,ATP5G3,UQCR11,SRP68,PPP2R3C,AHSA1,MTA1,HDAC7,FGF12,SNRPC,RCE1,FASN,SMARCC2,PIP4K2C,KLHL4,ST8SIA2,UHMK1,KIF5C,RALY,ADAR,TMOD1,TMEM59,ZFP12,CDK8,ITPR1,CCDC91,GRIPAP1,HCFC1,ASH2L,SLC25A4,KATNB1,USP28,FBXO22,MGLL,MBD3,PRKAB2,SESN1,NFE2L1,RNF146,CCDC81,WHAMM,RPL27A,IRGM1,NGRN,FAM110B,2310061I04RIK,TCEAL8,PCDH15,RNASEH2A,CADM4,ATP5SL,USF2,IPO7,EXOC8,SMCP,KLHL17,H1F0
12	1	TRUE	0.0358	9543	94	62	0.66	0.006	GO:0043227	CC	31	membrane-bounded organelle	2	SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,NSMF,SOD2,DNAJC7,CLPX,ATP5G3,UQCR11,SRP68,PPP2R3C,AHSA1,MTA1,HDAC7,FGF12,SNRPC,RCE1,FASN,SMARCC2,PIP4K2C,ST8SIA2,UHMK1,RALY,ADAR,TMOD1,TMEM59,ZFP12,CDK8,ITPR1,CCDC91,GRIPAP1,HCFC1,ASH2L,SLC25A4,KATNB1,USP28,FBXO22,MGLL,MBD3,PRKAB2,SESN1,NFE2L1,RNF146,WHAMM,RPL27A,IRGM1,NGRN,FAM110B,2310061I04RIK,TCEAL8,PCDH15,RNASEH2A,CADM4,ATP5SL,USF2,IPO7,EXOC8,SMCP,H1F0
13	1	TRUE	0.0183	12601	94	77	0.819	0.006	GO:0005623	CC	31	cell	1	DRP2,SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,NSMF,SOD2,DNAJC7,CLPX,ATP5G3,SLC6A15,UQCR11,SRP68,PPP2R3C,AHSA1,MTA1,PDZD2,HDAC7,FGF12,SNRPC,RCE1,FASN,FN3K,SMARCC2,PIP4K2C,KLHL4,ST8SIA2,PPM1F,LPGAT1,UHMK1,KIF5C,RALY,ADAR,TMOD1,TMEM59,ZFP12,CDK8,ITPR1,CCDC91,GRIPAP1,HCFC1,ASH2L,SLC25A4,KATNB1,USP28,FBXO22,MGLL,CACUL1,CASKIN1,MBD3,LRFN5,PRKAB2,SESN1,NFE2L1,RNF146,CCDC81,EIF4H,RAP1GAP,WHAMM,RPL27A,IRGM1,NGRN,FAM110B,2310061I04RIK,TCEAL8,PCDH15,RNASEH2A,CADM4,ATP5SL,USF2,IPO7,EXOC8,SMCP,KLHL17,H1F0
14	1	TRUE	0.0183	12601	94	77	0.819	0.006	GO:0044464	CC	31	cell part	2	DRP2,SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,NSMF,SOD2,DNAJC7,CLPX,ATP5G3,SLC6A15,UQCR11,SRP68,PPP2R3C,AHSA1,MTA1,PDZD2,HDAC7,FGF12,SNRPC,RCE1,FASN,FN3K,SMARCC2,PIP4K2C,KLHL4,ST8SIA2,PPM1F,LPGAT1,UHMK1,KIF5C,RALY,ADAR,TMOD1,TMEM59,ZFP12,CDK8,ITPR1,CCDC91,GRIPAP1,HCFC1,ASH2L,SLC25A4,KATNB1,USP28,FBXO22,MGLL,CACUL1,CASKIN1,MBD3,LRFN5,PRKAB2,SESN1,NFE2L1,RNF146,CCDC81,EIF4H,RAP1GAP,WHAMM,RPL27A,IRGM1,NGRN,FAM110B,2310061I04RIK,TCEAL8,PCDH15,RNASEH2A,CADM4,ATP5SL,USF2,IPO7,EXOC8,SMCP,KLHL17,H1F0
15	1	TRUE	0.0358	797	94	12	0.128	0.015	GO:0031975	CC	31	envelope	3	KPNA6,NSMF,SOD2,CLPX,ATP5G3,UQCR11,MTA1,ITPR1,SLC25A4,ATP5SL,IPO7,SMCP
16	1	TRUE	0.00155	10776	94	73	0.777	0.007	GO:0005622	CC	31	intracellular	3	SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,NSMF,SOD2,DNAJC7,CLPX,ATP5G3,UQCR11,SRP68,PPP2R3C,AHSA1,MTA1,PDZD2,HDAC7,FGF12,SNRPC,RCE1,FASN,FN3K,SMARCC2,PIP4K2C,KLHL4,ST8SIA2,PPM1F,LPGAT1,UHMK1,KIF5C,RALY,ADAR,TMOD1,TMEM59,ZFP12,CDK8,ITPR1,CCDC91,GRIPAP1,HCFC1,ASH2L,SLC25A4,KATNB1,USP28,FBXO22,MGLL,CACUL1,CASKIN1,MBD3,PRKAB2,SESN1,NFE2L1,RNF146,CCDC81,EIF4H,RAP1GAP,WHAMM,RPL27A,IRGM1,NGRN,FAM110B,2310061I04RIK,TCEAL8,PCDH15,RNASEH2A,ATP5SL,USF2,IPO7,EXOC8,SMCP,KLHL17,H1F0
17	1	TRUE	0.00129	10674	94	73	0.777	0.007	GO:0044424	CC	31	intracellular part	4	SMARCB1,SEC24B,PSMC3,KPNA6,CALR,TFAM,NSMF,SOD2,DNAJC7,CLPX,ATP5G3,UQCR11,SRP68,PPP2R3C,AHSA1,MTA1,PDZD2,HDAC7,FGF12,SNRPC,RCE1,FASN,FN3K,SMARCC2,PIP4K2C,KLHL4,ST8SIA2,PPM1F,LPGAT1,UHMK1,KIF5C,RALY,ADAR,TMOD1,TMEM59,ZFP12,CDK8,ITPR1,CCDC91,GRIPAP1,HCFC1,ASH2L,SLC25A4,KATNB1,USP28,FBXO22,MGLL,CACUL1,CASKIN1,MBD3,PRKAB2,SESN1,NFE2L1,RNF146,CCDC81,EIF4H,RAP1GAP,WHAMM,RPL27A,IRGM1,NGRN,FAM110B,2310061I04RIK,TCEAL8,PCDH15,RNASEH2A,ATP5SL,USF2,IPO7,EXOC8,SMCP,KLHL17,H1F0
