query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0298	1	52	1	0.019	1	GO:0019309	BP	42	mannose catabolic process	1	MPI
2	1	TRUE	0.0298	1	52	1	0.019	1	GO:0061619	BP	42	glycolytic process from mannose through fructose-6-phosphate	1	MPI
3	1	TRUE	0.0298	1	52	1	0.019	1	GO:0036179	BP	84	osteoclast maturation	1	FAM20C
4	1	TRUE	0.014	16	52	2	0.038	0.125	GO:0090685	BP	62	RNA localization to nucleus	1	CCT3,CCT5
5	1	TRUE	0.014	16	52	2	0.038	0.125	GO:0090670	BP	62	RNA localization to Cajal body	2	CCT3,CCT5
6	1	TRUE	0.014	16	52	2	0.038	0.125	GO:0090672	BP	62	telomerase RNA localization	1	CCT3,CCT5
7	1	TRUE	0.014	16	52	2	0.038	0.125	GO:0090671	BP	62	telomerase RNA localization to Cajal body	2	CCT3,CCT5
8	1	TRUE	0.0133	15	52	2	0.038	0.133	GO:1904872	BP	62	regulation of telomerase RNA localization to Cajal body	1	CCT3,CCT5
9	1	TRUE	0.0104	13	52	2	0.038	0.154	GO:1904874	BP	62	positive regulation of telomerase RNA localization to Cajal body	2	CCT3,CCT5
10	1	TRUE	0.0378	34	52	2	0.038	0.059	GO:0036465	BP	19	synaptic vesicle recycling	1	SH3GL2,PACSIN1
11	1	TRUE	0.0298	26	52	2	0.038	0.077	GO:0048488	BP	19	synaptic vesicle endocytosis	1	SH3GL2,PACSIN1
12	1	TRUE	0.0298	12596	52	43	0.827	0.003	GO:0009987	BP	28	cellular process	1	COX5A,SDHD,NDUFA9,CCT3,SRPK1,NEU1,KANSL3,NDUFA2,DSTN,SRSF6,PGS1,DDX27,PPP1R13B,CCT5,ASAP1,CYC1,EHD3,0610009O20RIK,CHKA,RHOT2,FAM20C,TRAK2,NDUFA10,PPM1L,GLRB,SH3GL2,NCOR2,TPK1,SYTL2,EIF3F,MPI,SPATA6,ZFYVE9,PACSIN1,PITPNC1,AES,NFIC,CPSF6,NDUFS8,TAOK3,ZFP706,UQCRH,NUMA1
13	1	TRUE	0.0155	8122	52	33	0.635	0.004	GO:0008152	BP	28	metabolic process	1	COX5A,SDHD,NDUFA9,CCT3,SRPK1,NEU1,KANSL3,SRSF6,PGS1,DDX27,GLT8D1,CCT5,CYC1,EHD3,0610009O20RIK,CHKA,FAM20C,NDUFA10,PPM1L,SH3GL2,NCOR2,TPK1,SYTL2,EIF3F,MPI,PITPNC1,AES,NFIC,CPSF6,TAOK3,ZFP706,UQCRH,NUMA1
14	1	TRUE	0.0186	7840	52	32	0.615	0.004	GO:0071704	BP	28	organic substance metabolic process	2	COX5A,SDHD,NDUFA9,CCT3,SRPK1,NEU1,KANSL3,SRSF6,PGS1,DDX27,GLT8D1,CCT5,CYC1,EHD3,0610009O20RIK,CHKA,FAM20C,NDUFA10,PPM1L,SH3GL2,NCOR2,TPK1,EIF3F,MPI,PITPNC1,AES,NFIC,CPSF6,TAOK3,ZFP706,UQCRH,NUMA1
15	1	TRUE	0.034	380	52	5	0.096	0.013	GO:0055114	BP	28	oxidation-reduction process	2	COX5A,SDHD,CYC1,NDUFA10,UQCRH
16	1	TRUE	0.0198	7508	52	31	0.596	0.004	GO:0044237	BP	28	cellular metabolic process	2	COX5A,SDHD,NDUFA9,CCT3,SRPK1,NEU1,KANSL3,SRSF6,PGS1,DDX27,CCT5,CYC1,EHD3,CHKA,FAM20C,NDUFA10,PPM1L,SH3GL2,NCOR2,TPK1,SYTL2,EIF3F,MPI,PITPNC1,AES,NFIC,CPSF6,TAOK3,ZFP706,UQCRH,NUMA1
17	1	TRUE	0.012	2298	52	15	0.288	0.007	GO:0006793	BP	28	phosphorus metabolic process	3	COX5A,SDHD,SRPK1,PGS1,CYC1,CHKA,FAM20C,NDUFA10,PPM1L,TPK1,SYTL2,MPI,PITPNC1,TAOK3,UQCRH
18	1	TRUE	0.00998	2244	52	15	0.288	0.007	GO:0006796	BP	28	phosphate-containing compound metabolic process	4	COX5A,SDHD,SRPK1,PGS1,CYC1,CHKA,FAM20C,NDUFA10,PPM1L,TPK1,SYTL2,MPI,PITPNC1,TAOK3,UQCRH
19	1	TRUE	0.000545	704	52	10	0.192	0.014	GO:0019637	BP	28	organophosphate metabolic process	4	COX5A,SDHD,PGS1,CYC1,CHKA,NDUFA10,TPK1,MPI,PITPNC1,UQCRH
20	1	TRUE	0.0082	363	52	6	0.115	0.017	GO:0019693	BP	28	ribose phosphate metabolic process	5	COX5A,SDHD,CYC1,NDUFA10,MPI,UQCRH
21	1	TRUE	0.00228	268	52	6	0.115	0.022	GO:0006091	BP	28	generation of precursor metabolites and energy	3	COX5A,SDHD,CYC1,NDUFA10,MPI,UQCRH
22	1	TRUE	0.00526	205	52	5	0.096	0.024	GO:0015980	BP	28	energy derivation by oxidation of organic compounds	4	COX5A,SDHD,CYC1,NDUFA10,UQCRH
23	1	TRUE	0.000988	134	52	5	0.096	0.037	GO:0045333	BP	28	cellular respiration	5	COX5A,SDHD,CYC1,NDUFA10,UQCRH
24	1	TRUE	9.72e-05	68	52	5	0.096	0.074	GO:0022900	BP	28	electron transport chain	4	COX5A,SDHD,CYC1,NDUFA10,UQCRH
25	1	TRUE	9.72e-05	68	52	5	0.096	0.074	GO:0022904	BP	28	respiratory electron transport chain	5	COX5A,SDHD,CYC1,NDUFA10,UQCRH
26	1	TRUE	0.0259	485	52	6	0.115	0.012	GO:0055086	BP	28	nucleobase-containing small molecule metabolic process	1	COX5A,SDHD,CYC1,NDUFA10,MPI,UQCRH
27	1	TRUE	0.0177	445	52	6	0.115	0.013	GO:0006753	BP	28	nucleoside phosphate metabolic process	2	COX5A,SDHD,CYC1,NDUFA10,MPI,UQCRH
28	1	TRUE	0.000627	205	52	6	0.115	0.029	GO:0009141	BP	28	nucleoside triphosphate metabolic process	3	COX5A,SDHD,CYC1,NDUFA10,MPI,UQCRH
29	1	TRUE	0.000443	185	52	6	0.115	0.032	GO:0009199	BP	28	ribonucleoside triphosphate metabolic process	4	COX5A,SDHD,CYC1,NDUFA10,MPI,UQCRH
