query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0416	10288	165	110	0.667	0.011	GO:0043226	CC	37	organelle	1	TMPRSS2,TSSK3,NSUN5,SLC39A13,NOSIP,INSIG2,PRDX2,ADAMTS4,CDT1,CABP7,PDHX,SURF2,QDPR,MED24,DDIT4,MICU1,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,EAF1,CAB39L,NEFL,MTDH,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,TRAF2,ZFP385B,CAR2,MCCC1,MME,SEC22B,DNAJB4,TRNAU1AP,DFFA,SPP1,POLR1D,PLXNA1,MARK4,PRMT3,MPHOSPH10,LIPT2,CTBP2,SYAP1,BRD7,PLLP,GNB5,IREB2,DIS3L,IP6K1,SGPP2,MRPS17,MRPL34,NEIL2,FRMPD1,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,OSBPL5,CCDC92,ENPP6,FCHSD1,ABCF1,CCR6,WWP1,UBLCP1,COQ5,ASXL1,PLD6,NIPA1,ATMIN,SLC38A9,SCRT1,NHLH2,MYOF,NELL1,EPM2A,DACH1,FOXK1,FKBP2,FGF18,VWA8,NAP1L4,NSMCE2,CALN1,STX17,TMEM65,NRG1,STK24,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5,EID3
2	1	TRUE	0.0416	9543	165	104	0.63	0.011	GO:0043227	CC	37	membrane-bounded organelle	2	TMPRSS2,TSSK3,NSUN5,SLC39A13,NOSIP,INSIG2,PRDX2,ADAMTS4,CDT1,CABP7,PDHX,SURF2,QDPR,MED24,DDIT4,MICU1,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,EAF1,CAB39L,MTDH,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,TRAF2,ZFP385B,CAR2,MCCC1,MME,SEC22B,DNAJB4,TRNAU1AP,DFFA,SPP1,POLR1D,PLXNA1,MPHOSPH10,LIPT2,CTBP2,SYAP1,BRD7,PLLP,GNB5,IREB2,IP6K1,SGPP2,MRPS17,MRPL34,NEIL2,FRMPD1,RNF126,PRSS56,EEA1,PNPLA7,OSBPL5,CCDC92,ENPP6,FCHSD1,ABCF1,WWP1,UBLCP1,COQ5,ASXL1,PLD6,NIPA1,ATMIN,SLC38A9,SCRT1,NHLH2,MYOF,NELL1,EPM2A,DACH1,FOXK1,FKBP2,FGF18,VWA8,NAP1L4,NSMCE2,CALN1,STX17,TMEM65,NRG1,STK24,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5,EID3
3	1	TRUE	0.00636	12601	165	131	0.794	0.01	GO:0005623	CC	12	cell	1	TMPRSS2,TSSK3,NSUN5,SLC39A13,NOSIP,INSIG2,PRDX2,ADAMTS4,CDT1,CABP7,PDHX,SURF2,QDPR,WNT11,MED24,DDIT4,MICU1,FRS2,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,EAF1,NEFL,MTDH,ENPP2,EEF2KMT,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,PSMD5,TRAF2,ZFP385B,CAR2,HPS3,MCCC1,MME,SEC22B,DNAJB4,GCLM,SEMA3A,TRNAU1AP,DFFA,SPP1,POLR1D,PLXNA1,MARK4,PRMT3,MPHOSPH10,LIPT2,CTBP2,SYAP1,BRD7,GNB5,NEDD4,IREB2,DIS3L,IP6K1,SGPP2,TTC7B,MRPS17,INPP5J,MRPL34,NEIL2,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,INHBB,OSBPL5,CCDC92,SLC24A2,ENPP6,PLCL1,FCHSD1,ABCF1,WDR45,CCR6,MILL2,WWP1,UBLCP1,COQ5,ASXL1,D17H6S53E,PLD6,S1PR2,SCN4B,NIPA1,ATMIN,FBXO40,SLC38A9,SCRT1,NHLH2,MYOF,BMPR1B,NELL1,EPM2A,DACH1,FOXK1,FKBP2,FGF18,PANX2,VWA8,NAP1L4,USP47,NSMCE2,CALN1,STX17,TMEM65,NRG1,STK24,PCDHB5,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5,EID3
4	1	TRUE	0.00636	12601	165	131	0.794	0.01	GO:0044464	CC	12	cell part	2	TMPRSS2,TSSK3,NSUN5,SLC39A13,NOSIP,INSIG2,PRDX2,ADAMTS4,CDT1,CABP7,PDHX,SURF2,QDPR,WNT11,MED24,DDIT4,MICU1,FRS2,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,EAF1,NEFL,MTDH,ENPP2,EEF2KMT,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,PSMD5,TRAF2,ZFP385B,CAR2,HPS3,MCCC1,MME,SEC22B,DNAJB4,GCLM,SEMA3A,TRNAU1AP,DFFA,SPP1,POLR1D,PLXNA1,MARK4,PRMT3,MPHOSPH10,LIPT2,CTBP2,SYAP1,BRD7,GNB5,NEDD4,IREB2,DIS3L,IP6K1,SGPP2,TTC7B,MRPS17,INPP5J,MRPL34,NEIL2,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,INHBB,OSBPL5,CCDC92,SLC24A2,ENPP6,PLCL1,FCHSD1,ABCF1,WDR45,CCR6,MILL2,WWP1,UBLCP1,COQ5,ASXL1,D17H6S53E,PLD6,S1PR2,SCN4B,NIPA1,ATMIN,FBXO40,SLC38A9,SCRT1,NHLH2,MYOF,BMPR1B,NELL1,EPM2A,DACH1,FOXK1,FKBP2,FGF18,PANX2,VWA8,NAP1L4,USP47,NSMCE2,CALN1,STX17,TMEM65,NRG1,STK24,PCDHB5,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5,EID3
5	1	TRUE	0.00606	10776	165	118	0.715	0.011	GO:0005622	CC	12	intracellular	3	TSSK3,NSUN5,SLC39A13,NOSIP,INSIG2,PRDX2,ADAMTS4,CDT1,CABP7,PDHX,SURF2,QDPR,WNT11,MED24,DDIT4,MICU1,FRS2,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,EAF1,NEFL,MTDH,EEF2KMT,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,PSMD5,TRAF2,ZFP385B,CAR2,HPS3,MCCC1,MME,SEC22B,DNAJB4,GCLM,TRNAU1AP,DFFA,SPP1,POLR1D,MARK4,PRMT3,MPHOSPH10,LIPT2,CTBP2,SYAP1,BRD7,GNB5,NEDD4,IREB2,DIS3L,IP6K1,SGPP2,TTC7B,MRPS17,INPP5J,MRPL34,NEIL2,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,INHBB,OSBPL5,CCDC92,FCHSD1,ABCF1,WDR45,WWP1,UBLCP1,COQ5,ASXL1,D17H6S53E,PLD6,NIPA1,ATMIN,FBXO40,SLC38A9,SCRT1,NHLH2,MYOF,NELL1,EPM2A,DACH1,FOXK1,FKBP2,FGF18,PANX2,VWA8,NAP1L4,USP47,NSMCE2,CALN1,STX17,TMEM65,NRG1,STK24,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5,EID3
6	1	TRUE	0.00492	10674	165	118	0.715	0.011	GO:0044424	CC	12	intracellular part	4	TSSK3,NSUN5,SLC39A13,NOSIP,INSIG2,PRDX2,ADAMTS4,CDT1,CABP7,PDHX,SURF2,QDPR,WNT11,MED24,DDIT4,MICU1,FRS2,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,EAF1,NEFL,MTDH,EEF2KMT,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,PSMD5,TRAF2,ZFP385B,CAR2,HPS3,MCCC1,MME,SEC22B,DNAJB4,GCLM,TRNAU1AP,DFFA,SPP1,POLR1D,MARK4,PRMT3,MPHOSPH10,LIPT2,CTBP2,SYAP1,BRD7,GNB5,NEDD4,IREB2,DIS3L,IP6K1,SGPP2,TTC7B,MRPS17,INPP5J,MRPL34,NEIL2,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,INHBB,OSBPL5,CCDC92,FCHSD1,ABCF1,WDR45,WWP1,UBLCP1,COQ5,ASXL1,D17H6S53E,PLD6,NIPA1,ATMIN,FBXO40,SLC38A9,SCRT1,NHLH2,MYOF,NELL1,EPM2A,DACH1,FOXK1,FKBP2,FGF18,PANX2,VWA8,NAP1L4,USP47,NSMCE2,CALN1,STX17,TMEM65,NRG1,STK24,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5,EID3
7	1	TRUE	0.00275	8024	165	98	0.594	0.012	GO:0005737	CC	12	cytoplasm	5	TSSK3,SLC39A13,NOSIP,INSIG2,PRDX2,CDT1,CABP7,PDHX,QDPR,WNT11,DDIT4,MICU1,FRS2,SYPL,NFKBIA,COQ6,ESRRB,SLC34A1,HMGCR,NEFL,MTDH,EEF2KMT,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,TRAF2,CAR2,HPS3,MCCC1,MME,SEC22B,DNAJB4,GCLM,DFFA,SPP1,MARK4,PRMT3,LIPT2,CTBP2,SYAP1,BRD7,GNB5,NEDD4,IREB2,DIS3L,IP6K1,SGPP2,TTC7B,MRPS17,INPP5J,MRPL34,NEIL2,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,INHBB,CCDC92,FCHSD1,ABCF1,WDR45,WWP1,COQ5,D17H6S53E,PLD6,NIPA1,FBXO40,SLC38A9,MYOF,NELL1,EPM2A,DACH1,FKBP2,PANX2,VWA8,NAP1L4,USP47,CALN1,STX17,TMEM65,NRG1,STK24,SCN1A,HDAC8,PRKAG1,NDUFAF2,HTRA2,SORT1,CAMKMT,CAPN3,CCR5
8	1	TRUE	0.0182	6445	165	79	0.479	0.012	GO:0044444	CC	12	cytoplasmic part	6	SLC39A13,INSIG2,PRDX2,CABP7,PDHX,QDPR,DDIT4,MICU1,SYPL,NFKBIA,COQ6,SLC34A1,HMGCR,NEFL,MTDH,ATP9B,ASAH2,MMS19,RABGEF1,ESYT1,PGM2,CYP27A1,OPTN,DPM2,TRAF2,CAR2,HPS3,MCCC1,MME,SEC22B,DNAJB4,GCLM,DFFA,SPP1,MARK4,PRMT3,LIPT2,CTBP2,SYAP1,BRD7,GNB5,NEDD4,IREB2,DIS3L,IP6K1,SGPP2,TTC7B,MRPS17,MRPL34,RNF126,PRSS56,EEA1,CCDC113,PNPLA7,INHBB,CCDC92,FCHSD1,ABCF1,WDR45,COQ5,D17H6S53E,PLD6,NIPA1,SLC38A9,MYOF,NELL1,EPM2A,VWA8,CALN1,STX17,TMEM65,STK24,SCN1A,PRKAG1,NDUFAF2,HTRA2,SORT1,CAPN3,CCR5
9	1	TRUE	0.0413	2	8	1	0.125	0.5	CORUM:50	cor	39	Rab5 GDP/GTP exchange factor complex	1	RABGEF1
10	1	TRUE	0.0413	3	8	1	0.125	0.333	CORUM:6279	cor	33	p65-IkappaBalpha-beta-arrestin-iNOS complex	1	NFKBIA
