query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0487	267	174	10	0.057	0.037	GO:0006397	BP	67	mRNA processing	1	PRPF31,CDK9,METTL16,PAPOLG,SUPT4A,KHDRBS2,LSM3,CPSF2,CPSF6,HNRNPM
2	1	TRUE	0.0487	2006	174	35	0.201	0.017	GO:0032879	BP	23	regulation of localization	1	ACVR1B,ALKBH7,TBC1D8,NPHS1,BCR,PHLDA2,TMEM27,GOPC,OSBPL8,FLT4,CHGA,ARAP3,GALR1,IL23A,SNCA,ARHGAP1,EDN3,NKAIN4,PPP3CA,IRAK1,CX3CL1,MBTPS1,TMEM231,KANK1,CTSS,CEP131,MAGI2,ULK4,PM20D1,SESTD1,PREB,AGTR1A,CYP2J5,PTK2B,AKAP6
3	1	TRUE	0.0487	1399	174	26	0.149	0.019	GO:0051049	BP	23	regulation of transport	2	TBC1D8,NPHS1,BCR,TMEM27,GOPC,OSBPL8,CHGA,GALR1,SNCA,ARHGAP1,EDN3,NKAIN4,PPP3CA,IRAK1,MBTPS1,KANK1,CTSS,CEP131,MAGI2,PM20D1,SESTD1,PREB,AGTR1A,CYP2J5,PTK2B,AKAP6
4	1	TRUE	0.049	15	174	3	0.017	0.2	GO:2000831	BP	52	regulation of steroid hormone secretion	1	GALR1,AGTR1A,CYP2J5
5	1	TRUE	0.0487	2298	174	39	0.224	0.017	GO:0006793	BP	27	phosphorus metabolic process	1	ACVR1B,KAT2B,GTF2H4,PLD3,NPHS1,CDK4,CDK9,NPRL2,CTDNEP1,WWC1,OSBPL8,FLT4,CCDC88C,CHGA,CAP2,CSNK1D,PI4K2A,IL23A,SNCA,ADCY10,HIPK3,EDN3,PPP3CA,PPP2R2C,TRIM24,ETNK1,IRAK1,CASP3,SMAD1,CX3CL1,DGKB,MRAP,MAGI2,RPRD1A,ULK4,PYURF,SHB,PTK2B,PAK6
6	1	TRUE	0.0487	2244	174	39	0.224	0.017	GO:0006796	BP	27	phosphate-containing compound metabolic process	2	ACVR1B,KAT2B,GTF2H4,PLD3,NPHS1,CDK4,CDK9,NPRL2,CTDNEP1,WWC1,OSBPL8,FLT4,CCDC88C,CHGA,CAP2,CSNK1D,PI4K2A,IL23A,SNCA,ADCY10,HIPK3,EDN3,PPP3CA,PPP2R2C,TRIM24,ETNK1,IRAK1,CASP3,SMAD1,CX3CL1,DGKB,MRAP,MAGI2,RPRD1A,ULK4,PYURF,SHB,PTK2B,PAK6
7	1	TRUE	0.0487	2035	174	35	0.201	0.017	GO:0070887	BP	50	cellular response to chemical stimulus	1	KAT2B,DNMT1,CDK4,CDK9,BCR,TMEM27,OSBPL8,FLT4,CHGA,MTDH,EFHC2,IL23A,SNCA,ADCY10,USF1,EDN3,PPP3CA,TRIM24,IRAK1,CASP3,SMAD1,CX3CL1,MBTPS1,KANK1,EGR3,CALM4,STUB1,PLEKHG5,NCOA5,MAGI2,P2RY4,AGTR1A,PTK2B,AKAP6,CNR2
8	1	TRUE	0.049	663	174	16	0.092	0.024	GO:1901701	BP	50	cellular response to oxygen-containing compound	1	KAT2B,DNMT1,CDK4,BCR,TMEM27,OSBPL8,MTDH,USF1,TRIM24,IRAK1,KANK1,NCOA5,P2RY4,AGTR1A,PTK2B,AKAP6
9	1	TRUE	0.0487	1644	174	29	0.167	0.018	GO:0071310	BP	50	cellular response to organic substance	1	KAT2B,DNMT1,CDK4,CDK9,BCR,TMEM27,OSBPL8,FLT4,MTDH,EFHC2,IL23A,USF1,PPP3CA,TRIM24,IRAK1,CASP3,SMAD1,CX3CL1,MBTPS1,KANK1,EGR3,CALM4,STUB1,NCOA5,MAGI2,P2RY4,AGTR1A,PTK2B,AKAP6
10	1	TRUE	0.0487	228	174	9	0.052	0.039	GO:0060326	BP	50	cell chemotaxis	1	CHGA,IL23A,EDN3,CX3CL1,EGR3,PLEKHG5,AGTR1A,PTK2B,CNR2
11	1	TRUE	0.0487	12601	174	133	0.764	0.011	GO:0005623	CC	13	cell	1	ACVR1B,KAT2B,RMND5B,GTF2H4,ALKBH7,PLEKHA3,MED25,HMGN2,TBC1D8,PLD3,DNMT1,SUSD2,NPHS1,CDK4,TSPAN31,PRPF31,CDK9,BCR,NPRL2,NEDD8,METTL16,PHLDA2,TMEM27,ATXN10,AKAP1,CTDNEP1,GABARAP,WWC1,PERP,GOPC,OSBPL8,PAPOLG,FLT4,SUPT4A,CCDC88C,CHGA,CAP2,MTDH,SLC38A1,CRELD2,VPS52,ARAP3,GALR1,CSNK1D,PI4K2A,NAB2,SNCA,ADHFE1,KHDRBS2,ADCY10,USF1,HIPK3,ARHGAP1,PCSK2,PHACTR3,PRPF38B,PPP3CA,ABCF2,PPP2R2C,AGBL5,UBE3B,TRIM24,NFU1,MRPL19,CNBP,TMCC1,ETNK1,IRAK1,GTF2E2,CASP3,SMAD1,ZFP330,IRX3,CX3CL1,MBTPS1,TMEM231,ABCB10,PAQR5,TPM1,KANK1,CD226,LSM3,SLC24A1,RIC8B,CDHR3,DGKB,UBE2R2,BTG1,CCDC113,CLCN7,ZFP365,CNBD2,CTSS,STUB1,PLEKHG5,CEP131,NCOA5,MRAP,MAGI2,TRIM41,RPRD1A,CAMTA2,S100PBP,CPSF2,HIRIP3,PYURF,SHB,SYT16,LRFN4,PREB,SPRN,GJB1,RTBDN,AGTR1A,DTX3L,PCDHB11,SENP7,CHD8,ADH7,CPSF6,MTA3,SYNPR,VMN1R80,HNRNPM,PTK2B,CASC4,STX17,AKAP6,ABCA14,SIM2,MSL2,BPIFB3,PAK6
12	1	TRUE	0.0487	12601	174	133	0.764	0.011	GO:0044464	CC	13	cell part	2	ACVR1B,KAT2B,RMND5B,GTF2H4,ALKBH7,PLEKHA3,MED25,HMGN2,TBC1D8,PLD3,DNMT1,SUSD2,NPHS1,CDK4,TSPAN31,PRPF31,CDK9,BCR,NPRL2,NEDD8,METTL16,PHLDA2,TMEM27,ATXN10,AKAP1,CTDNEP1,GABARAP,WWC1,PERP,GOPC,OSBPL8,PAPOLG,FLT4,SUPT4A,CCDC88C,CHGA,CAP2,MTDH,SLC38A1,CRELD2,VPS52,ARAP3,GALR1,CSNK1D,PI4K2A,NAB2,SNCA,ADHFE1,KHDRBS2,ADCY10,USF1,HIPK3,ARHGAP1,PCSK2,PHACTR3,PRPF38B,PPP3CA,ABCF2,PPP2R2C,AGBL5,UBE3B,TRIM24,NFU1,MRPL19,CNBP,TMCC1,ETNK1,IRAK1,GTF2E2,CASP3,SMAD1,ZFP330,IRX3,CX3CL1,MBTPS1,TMEM231,ABCB10,PAQR5,TPM1,KANK1,CD226,LSM3,SLC24A1,RIC8B,CDHR3,DGKB,UBE2R2,BTG1,CCDC113,CLCN7,ZFP365,CNBD2,CTSS,STUB1,PLEKHG5,CEP131,NCOA5,MRAP,MAGI2,TRIM41,RPRD1A,CAMTA2,S100PBP,CPSF2,HIRIP3,PYURF,SHB,SYT16,LRFN4,PREB,SPRN,GJB1,RTBDN,AGTR1A,DTX3L,PCDHB11,SENP7,CHD8,ADH7,CPSF6,MTA3,SYNPR,VMN1R80,HNRNPM,PTK2B,CASC4,STX17,AKAP6,ABCA14,SIM2,MSL2,BPIFB3,PAK6
13	1	TRUE	0.0487	869	174	19	0.109	0.022	GO:0044451	CC	11	nucleoplasm part	1	KAT2B,GTF2H4,PRPF31,CDK9,PAPOLG,SUPT4A,MTDH,USF1,HIPK3,GTF2E2,TRIM41,RPRD1A,S100PBP,CPSF2,CHD8,CPSF6,HNRNPM,SIM2,MSL2
14	1	TRUE	0.0487	10288	174	114	0.655	0.011	GO:0043226	CC	33	organelle	1	ACVR1B,KAT2B,RMND5B,GTF2H4,ALKBH7,PLEKHA3,MED25,HMGN2,PLD3,DNMT1,MAN2B1,SUSD2,NPHS1,CDK4,PRPF31,CDK9,BCR,NPRL2,NEDD8,METTL16,TMEM27,AKAP1,CTDNEP1,GABARAP,WWC1,PERP,GOPC,OSBPL8,PAPOLG,SUPT4A,CCDC88C,CHGA,CAP2,MTDH,SLC38A1,CRELD2,VPS52,CSNK1D,PI4K2A,NAB2,SNCA,ADHFE1,KHDRBS2,ADCY10,USF1,HIPK3,ARHGAP1,PCSK2,PHACTR3,PRPF38B,PPP3CA,ABCF2,AGBL5,ENOPH1,TRIM24,NFU1,MRPL19,CNBP,TMCC1,ETNK1,IRAK1,GTF2E2,CASP3,SMAD1,ZFP330,IRX3,MBTPS1,TMEM231,ABCB10,OAF,TPM1,KANK1,CALM4,LSM3,RIC8B,BTG1,CCDC113,CLCN7,ZFP365,CTSS,STUB1,PLEKHG5,CEP131,NCOA5,MRAP,MAGI2,TRIM41,RPRD1A,CAMTA2,S100PBP,CPSF2,PM20D1,HIRIP3,PYURF,SHB,PREB,SPRN,AGTR1A,DTX3L,PITPNB,SENP7,CHD8,CPSF6,MTA3,SYNPR,HNRNPM,PTK2B,CASC4,STX17,AKAP6,ABCA14,SIM2,MSL2,PAK6
15	1	TRUE	0.0487	9543	174	109	0.626	0.011	GO:0043227	CC	33	membrane-bounded organelle	2	ACVR1B,KAT2B,RMND5B,GTF2H4,ALKBH7,PLEKHA3,MED25,HMGN2,PLD3,DNMT1,MAN2B1,SUSD2,NPHS1,CDK4,PRPF31,CDK9,BCR,NPRL2,NEDD8,METTL16,TMEM27,AKAP1,CTDNEP1,GABARAP,WWC1,PERP,GOPC,OSBPL8,PAPOLG,SUPT4A,CHGA,MTDH,SLC38A1,CRELD2,VPS52,CSNK1D,PI4K2A,NAB2,SNCA,ADHFE1,KHDRBS2,ADCY10,USF1,HIPK3,ARHGAP1,PCSK2,PHACTR3,PRPF38B,PPP3CA,ABCF2,AGBL5,ENOPH1,TRIM24,NFU1,MRPL19,CNBP,TMCC1,ETNK1,IRAK1,GTF2E2,CASP3,SMAD1,ZFP330,IRX3,MBTPS1,TMEM231,ABCB10,OAF,KANK1,CALM4,LSM3,BTG1,CLCN7,ZFP365,CTSS,STUB1,PLEKHG5,CEP131,NCOA5,MRAP,MAGI2,TRIM41,RPRD1A,CAMTA2,S100PBP,CPSF2,PM20D1,HIRIP3,PYURF,SHB,PREB,SPRN,AGTR1A,DTX3L,PITPNB,SENP7,CHD8,CPSF6,MTA3,SYNPR,HNRNPM,PTK2B,CASC4,STX17,AKAP6,ABCA14,SIM2,MSL2,PAK6
16	1	TRUE	0.0487	385	174	12	0.069	0.031	GO:0048471	CC	30	perinuclear region of cytoplasm	1	ATXN10,WWC1,CHGA,MTDH,VPS52,CSNK1D,SNCA,ADCY10,ARHGAP1,MAGI2,PTK2B,AKAP6
17	1	TRUE	0.049	36	174	4	0.023	0.111	GO:0017069	MF	42	snRNA binding	1	PRPF31,CDK9,METTL16,LSM3
18	1	TRUE	0.0487	174	174	8	0.046	0.046	GO:0030695	MF	1	GTPase regulator activity	1	TBC1D8,BCR,NPRL2,GOPC,ARAP3,ARHGAP1,RIC8B,PREB
