query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0155	1544	409	55	0.134	0.036	GO:0008283	BP	25	cell proliferation	1	EFNB2,EMD,DNAJA3,KIT,FGFRL1,NF2,TNFRSF13B,TSG101,HNF4A,PELI1,MYH10,CLU,NCKAP1L,BCL6,BYSL,MZB1,GLI1,TNFRSF11A,FAM98B,CHRNB2,SH2D2A,CYR61,ASPH,SLC35F6,PPBP,GPNMB,PTN,BMP10,NR2F2,SMARCA1,ELF4,IL34,CDH5,APOA1,FOLR2,INPPL1,FOXJ1,DBN1,CCR3,PLK5,KDM1A,TRPM4,TFDP1,FBRS,FZD5,IFNE,PID1,KCTD11,SSTR2,NELL1,DACH1,CXCL2,CALCRL,H3F3A,ARIH2
2	1	TRUE	0.0272	3998	409	113	0.276	0.028	GO:0048519	BP	25	negative regulation of biological process	1	BCL11A,EFNB2,EMD,DNAJA3,ATN1,KIT,TNFSF14,FGFRL1,DYNLL1,NF2,TNFRSF13B,MERTK,TSG101,ACTN1,TOP2B,CRLF3,HNF4A,YWHAH,PELI1,MDM2,FSTL3,CBLL1,RFFL,PLD2,PER1,RPS6KA5,YY1,PITX1,HMGCR,CLU,PABPC1,NCKAP1L,LITAF,BCL6,TARBP2,IVNS1ABP,NRXN1,MZB1,SDHAF2,CST6,GLI1,TYMS,XIAP,CREB1,MEIS2,RTF1,RBCK1,CHRNB2,CYR61,ASPH,SEMA3A,PADI2,SLC35F6,LFNG,GPNMB,BMP10,NR2F2,OTUD5,MSL3,ARHGAP4,PROZ,TNPO2,HP,CDH5,APOA1,GNB5,DYNC1LI1,INPPL1,PPARGC1B,FOXJ1,CCL2,PLK5,DOCK4,CALM2,CYLD,KDM1A,OPA1,TRPM4,TFDP1,HERC1,CNST,DGKZ,RFX3,TRIM62,PAPD4,GPR149,CTLA2A,FZD5,PID1,KCTD11,DLK2,SSTR2,SERPINB13,NEUROG1,TMC8,HBB-BH1,EZR,TNFAIP6,NELL1,DACH1,HOXB8,NFIL3,MARF1,H3F3A,GLRP1,TANK,CRY2,ELL,CCL28,KCNIP3,CCR5,2210013O21RIK,KLKB1
3	1	TRUE	0.0416	3655	409	103	0.252	0.028	GO:0048523	BP	25	negative regulation of cellular process	1	BCL11A,EFNB2,EMD,DNAJA3,ATN1,KIT,TNFSF14,FGFRL1,DYNLL1,NF2,TNFRSF13B,MERTK,TSG101,ACTN1,TOP2B,CRLF3,HNF4A,YWHAH,PELI1,MDM2,FSTL3,CBLL1,RFFL,PLD2,PER1,RPS6KA5,YY1,PITX1,HMGCR,CLU,PABPC1,NCKAP1L,LITAF,BCL6,TARBP2,IVNS1ABP,NRXN1,MZB1,SDHAF2,CST6,GLI1,TYMS,XIAP,CREB1,MEIS2,RTF1,RBCK1,CYR61,ASPH,SEMA3A,PADI2,SLC35F6,LFNG,GPNMB,BMP10,NR2F2,OTUD5,MSL3,ARHGAP4,TNPO2,HP,CDH5,APOA1,DYNC1LI1,INPPL1,PPARGC1B,FOXJ1,PLK5,CALM2,CYLD,KDM1A,OPA1,TRPM4,TFDP1,HERC1,CNST,DGKZ,RFX3,TRIM62,CTLA2A,FZD5,PID1,KCTD11,DLK2,SSTR2,SERPINB13,TMC8,HBB-BH1,EZR,NELL1,DACH1,HOXB8,NFIL3,MARF1,H3F3A,GLRP1,TANK,CRY2,ELL,CCL28,KCNIP3,CCR5,2210013O21RIK
4	1	TRUE	0.0261	1234	409	45	0.11	0.036	GO:0042127	BP	25	regulation of cell proliferation	1	EFNB2,EMD,DNAJA3,KIT,FGFRL1,NF2,TNFRSF13B,TSG101,HNF4A,PELI1,NCKAP1L,BCL6,MZB1,GLI1,TNFRSF11A,FAM98B,CHRNB2,CYR61,ASPH,SLC35F6,PPBP,GPNMB,PTN,BMP10,NR2F2,SMARCA1,IL34,CDH5,FOLR2,INPPL1,FOXJ1,CCR3,PLK5,KDM1A,TRPM4,TFDP1,FBRS,FZD5,PID1,KCTD11,SSTR2,NELL1,DACH1,CXCL2,CALCRL
5	1	TRUE	0.0416	509	409	23	0.056	0.045	GO:0008285	BP	25	negative regulation of cell proliferation	2	EFNB2,EMD,DNAJA3,FGFRL1,NF2,TNFRSF13B,TSG101,HNF4A,PELI1,BCL6,ASPH,GPNMB,NR2F2,CDH5,INPPL1,FOXJ1,PLK5,TFDP1,FZD5,KCTD11,SSTR2,NELL1,DACH1
6	1	TRUE	0.032	2314	409	72	0.176	0.031	GO:0051239	BP	28	regulation of multicellular organismal process	1	TH,BCL11A,EFNB2,KIT,NR2C2,NF2,MERTK,HNF4A,YWHAH,PELI1,MDM2,FSTL3,P2RX1,PER1,YY1,SMN1,CLU,DPYSL2,NCKAP1L,LITAF,BCL6,FGF12,NRXN1,AFG3L2,SDHAF2,GLI1,CREB1,TNFRSF11A,ANAPC2,MEIS2,ITPKA,CHRNB2,CYR61,MYCL,SEMA3A,LFNG,GPNMB,BMP10,NR2F2,PAGR1A,OTUD5,PROZ,IL34,CDH5,APOA1,TMEM30A,PPARGC1B,SCN11A,FOXJ1,LCAT,CCL2,CCR3,PLK5,DOCK4,NPY1R,CYLD,KDM1A,SSH2,TRPM4,RFX3,TRIM62,GPR149,CTLA2A,FZD5,KCTD11,MC4R,NEUROG1,EZR,NELL1,HOXB8,CRY2,KLKB1
7	1	TRUE	0.0434	3027	409	88	0.215	0.029	GO:0009889	BP	8	regulation of biosynthetic process	1	BCL11A,PRPF6,DNAJA3,ATN1,CLCN3,KIT,NR2C2,PKNOX1,DYNLL1,NF2,TSG101,CRLF3,HNF4A,YWHAH,PLAGL1,PELI1,MDM2,FSTL3,PER1,RPS6KA5,YY1,PITX1,EAF1,CLU,ENY2,LITAF,BCL6,TARBP2,MZB1,IWS1,GLI1,TYMS,CREB1,TNFRSF11A,AHCTF1,MEIS2,RTF1,RBCK1,CYR61,ASPH,PADI2,BMP10,NR2F2,PAGR1A,SMARCA1,ELF4,MSL3,APOA1,IREB2,PPARGC1B,GPBP1L1,FOXJ1,CCL2,CYLD,KDM1A,TFDP1,TCFL5,DHX33,RFX3,TRIM62,FZD5,PID1,MC4R,SP8,NEUROG1,ZFP52,ZFP46,HBB-BH1,EZR,TEAD1,DACH1,EIF3B,HOXB8,NFIL3,DDN,ZFP933,CALCRL,ZFP422,H3F3A,GLRP1,CRY2,ELL,MAP3K5,RHOG,KCNIP3,ZFP131,A830010M20RIK,GALR3
8	1	TRUE	0.0272	2816	409	85	0.208	0.03	GO:0018130	BP	8	heterocycle biosynthetic process	1	BCL11A,PRPF6,DNAJA3,ATN1,KIT,NR2C2,PKNOX1,POLE,TSG101,CRLF3,HNF4A,YWHAH,PLAGL1,GTF3C6,PELI1,MDM2,FSTL3,PER1,RPS6KA5,YY1,PITX1,SMN1,EAF1,CLU,ENY2,LITAF,BCL6,IWS1,GLI1,TYMS,CREB1,TNFRSF11A,AHCTF1,MEIS2,RTF1,RBCK1,CYR61,ASPH,MMACHC,PADI2,BMP10,NR2F2,PAGR1A,SMARCA1,ELF4,MSL3,HMBS,IREB2,PPARGC1B,GPBP1L1,FOXJ1,CYLD,KDM1A,TFDP1,TCFL5,DHX33,RFX3,TRIM62,FZD5,PID1,MC4R,SP8,NEUROG1,ZFP52,ZFP46,HBB-BH1,EZR,TEAD1,DACH1,HOXB8,NFIL3,DDN,ZFP933,CALCRL,ZFP422,H3F3A,GLRP1,CRY2,ELL,MAP3K5,RHOG,KCNIP3,ZFP131,A830010M20RIK,GALR3
9	1	TRUE	0.0447	1529	409	51	0.125	0.033	GO:0009891	BP	8	positive regulation of biosynthetic process	1	PRPF6,CLCN3,NR2C2,PKNOX1,CRLF3,HNF4A,YWHAH,PLAGL1,FSTL3,PER1,RPS6KA5,PITX1,EAF1,CLU,ENY2,LITAF,TARBP2,MZB1,GLI1,CREB1,MEIS2,RTF1,CYR61,ASPH,PADI2,BMP10,NR2F2,PAGR1A,SMARCA1,ELF4,APOA1,PPARGC1B,FOXJ1,CCL2,KDM1A,TFDP1,DHX33,RFX3,FZD5,PID1,MC4R,NEUROG1,TEAD1,DDN,CALCRL,ELL,MAP3K5,RHOG,ZFP131,A830010M20RIK,GALR3
10	1	TRUE	0.0335	4179	409	116	0.284	0.028	GO:1901360	BP	8	organic cyclic compound metabolic process	1	TH,BCL11A,GMPR2,PRPF6,DNAJA3,ATN1,KIT,NR2C2,PKNOX1,POLE,DIO2,NF2,TSG101,TOP2B,CRLF3,HNF4A,YWHAH,PLAGL1,GTF3C6,PELI1,MDM2,FSTL3,DDX42,PER1,PAPOLA,RPS6KA5,YY1,NOL8,PITX1,SMN1,HMGCR,EAF1,CLU,PABPC1,ENY2,PDE1B,LITAF,BCL6,TARBP2,BYSL,IWS1,SDHAF2,GLI1,URAH,TYMS,CREB1,TNFRSF11A,AHCTF1,MEIS2,RTF1,RBCK1,CHRNB2,CYR61,ASPH,MMACHC,PADI2,BMP10,NR2F2,PAGR1A,SMARCA1,ELF4,MSL3,APOA1,HMBS,IREB2,EXD2,PPARGC1B,GPBP1L1,FOXJ1,LCAT,UVRAG,YTHDC1,CYLD,KDM1A,RBM17,OPA1,TFDP1,TCFL5,DHX33,TBL3,PSME4,RFX3,TRIM62,PAPD4,FZD5,PID1,MC4R,ENTPD1,SP8,NEUROG1,ZFP52,ZFP46,HBB-BH1,EZR,TEAD1,DACH1,HOXB8,NFIL3,DDN,ZFP933,CALCRL,ZFP422,MARF1,NSA2,H3F3A,GLRP1,SRRM4,CRY2,ELL,MAP3K5,RHOG,KCNIP3,2210013O21RIK,ZFP131,A830010M20RIK,GALR3
