name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-195253	Degradation of beta-catenin by the destruction complex	81	5	8.03	5.59	0.00038	0.016	9	2.76	22.9
R-HSA-5663202	Diseases of signal transduction	359	10	3.62	4.45	4e-04	0.016	4.1	1.86	8.1
R-HSA-8953854	Metabolism of RNA	646	14	2.82	4.21	0.00036	0.016	3.27	1.68	5.94
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	93	5	6.99	5.11	0.00072	0.022	7.77	2.39	19.7
R-HSA-1643685	Disease	984	17	2.25	3.62	0.0011	0.026	2.63	1.43	4.59
R-HSA-927802	Nonsense-Mediated Decay (NMD)	115	5	5.65	4.42	0.0019	0.032	6.2	1.92	15.6
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	115	5	5.65	4.42	0.0019	0.032	6.2	1.92	15.6
R-HSA-4791275	Signaling by WNT in cancer	34	3	11.5	5.39	0.0022	0.033	12.9	2.48	42.9
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	39	3	10	4.96	0.0033	0.035	11.1	2.15	36.5
R-HSA-948021	Transport to the Golgi and subsequent modification	186	6	4.19	3.87	0.003	0.035	4.58	1.6	10.7
R-HSA-69275	G2/M Transition	195	6	4	3.73	0.0038	0.035	4.36	1.53	10.1
R-HSA-453274	Mitotic G2-G2/M phases	197	6	3.96	3.69	0.004	0.035	4.31	1.51	10
R-HSA-72766	Translation	258	7	3.53	3.62	0.0036	0.035	3.86	1.48	8.49
R-HSA-5663205	Infectious disease	326	8	3.19	3.54	0.0035	0.035	3.51	1.44	7.38
R-HSA-192823	Viral mRNA Translation	89	4	5.84	4.04	0.0048	0.036	6.35	1.65	17.5
R-HSA-168255	Influenza Life Cycle	143	5	4.55	3.76	0.0048	0.036	4.93	1.53	12.3
R-HSA-9020591	Interleukin-12 signaling	48	3	8.13	4.36	0.0059	0.039	8.9	1.73	28.7
R-HSA-112310	Neurotransmitter release cycle	51	3	7.65	4.19	0.007	0.039	8.34	1.63	26.9
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	95	4	5.48	3.86	0.0061	0.039	5.93	1.54	16.3
R-HSA-72689	Formation of a pool of free 40S subunits	101	4	5.15	3.69	0.0075	0.039	5.56	1.45	15.3
R-HSA-6807878	COPI-mediated anterograde transport	102	4	5.1	3.66	0.0078	0.039	5.5	1.43	15.1
R-HSA-168254	Influenza Infection	154	5	4.22	3.55	0.0066	0.039	4.56	1.42	11.4
R-HSA-199977	ER to Golgi Anterograde Transport	155	5	4.19	3.53	0.0067	0.039	4.53	1.41	11.3
R-HSA-446203	Asparagine N-linked glycosylation	299	7	3.04	3.16	0.008	0.039	3.3	1.27	7.25
R-HSA-382551	Transport of small molecules	705	12	2.21	2.94	0.0072	0.039	2.46	1.2	4.63
R-HSA-447115	Interleukin-12 family signaling	58	3	6.73	3.85	0.01	0.046	7.28	1.42	23.3
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	60	3	6.5	3.76	0.011	0.046	7.02	1.38	22.4
R-HSA-5678895	Defective CFTR causes cystic fibrosis	61	3	6.4	3.72	0.011	0.046	6.9	1.35	22
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	111	4	4.69	3.44	0.01	0.046	5.03	1.31	13.8
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	112	4	4.64	3.41	0.011	0.046	4.98	1.3	13.7
R-HSA-72613	Eukaryotic Translation Initiation	119	4	4.37	3.26	0.013	0.048	4.68	1.22	12.8
R-HSA-72737	Cap-dependent Translation Initiation	119	4	4.37	3.26	0.013	0.048	4.68	1.22	12.8
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	182	5	3.57	3.08	0.013	0.048	3.83	1.19	9.52
R-HSA-1280215	Cytokine Signaling in Immune system	678	11	2.11	2.63	0.014	0.05	2.32	1.1	4.45
R-HSA-392499	Metabolism of proteins	1907	23	1.57	2.43	0.014	0.05	1.82	1.06	3.03
