name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0011338	Abnormality of mouth shape	235	53	1.96	5.51	4.1e-07	0.001	2.43	1.72	3.39
HP:0002714	Downturned corners of mouth	106	27	2.22	4.59	3.7e-05	0.031	2.75	1.69	4.37
HP:0001344	Absent speech	148	34	2	4.48	3.8e-05	0.031	2.42	1.57	3.64
HP:0010864	Intellectual disability, severe	198	40	1.76	3.96	0.00018	0.048	2.06	1.39	2.98
HP:0000664	Synophrys	137	30	1.91	3.9	0.00028	0.048	2.25	1.43	3.46
HP:0001249	Intellectual disability	1135	164	1.26	3.81	0.00011	0.048	1.51	1.21	1.88
HP:0000178	Abnormality of lower lip	242	46	1.66	3.81	0.00026	0.048	1.91	1.33	2.71
HP:0000750	Delayed speech and language development	460	77	1.46	3.79	0.00019	0.048	1.68	1.26	2.21
HP:0000159	Abnormality of the lip	748	115	1.34	3.76	0.00016	0.048	1.56	1.22	1.98
HP:0000534	Abnormality of the eyebrow	406	69	1.48	3.71	0.00027	0.048	1.7	1.26	2.26
HP:0001252	Muscular hypotonia	1058	153	1.26	3.64	0.00022	0.048	1.49	1.19	1.86
HP:0007364	Aplasia/Hypoplasia of the cerebrum	897	133	1.29	3.64	0.00023	0.048	1.51	1.2	1.9
HP:0003808	Abnormal muscle tone	1269	178	1.22	3.56	0.00026	0.048	1.46	1.18	1.81
HP:0011804	Abnormality of muscle physiology	1558	212	1.19	3.53	0.00026	0.048	1.45	1.17	1.8
