query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0018	24	127	4	0.031	0.167	GO:0035640	BP	16	exploration behavior	1	BRINP1,SHANK2,PRKCE,NLGN2
2	1	TRUE	0.0125	4	127	2	0.016	0.5	GO:0006450	BP	33	regulation of translational fidelity	1	RPS9,CDK5RAP1
3	1	TRUE	0.00399	2	127	2	0.016	1	GO:0045903	BP	33	positive regulation of translational fidelity	2	RPS9,CDK5RAP1
4	1	TRUE	0.0123	86	127	5	0.039	0.058	GO:0051225	BP	52	spindle assembly	1	KPNB1,TPR,ZFP207,HAUS2,SENP6
5	1	TRUE	0.0296	7	127	2	0.016	0.286	GO:0036480	BP	26	neuron intrinsic apoptotic signaling pathway in response to oxidative stress	1	FBXW7,PARK7
6	1	TRUE	0.0296	7	127	2	0.016	0.286	GO:1903376	BP	26	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	1	FBXW7,PARK7
7	1	TRUE	0.0431	495	127	10	0.079	0.02	GO:0016567	BP	50	protein ubiquitination	1	RNF114,FBXW5,TRIP12,FBXW7,PARK7,RNF34,USP22,PRKCE,GAN,UBE2D3
8	1	TRUE	0.0457	36	127	3	0.024	0.083	GO:0051703	BP	18	intraspecies interaction between organisms	1	BRINP1,SHANK2,NLGN2
9	1	TRUE	0.0457	36	127	3	0.024	0.083	GO:0035176	BP	18	social behavior	1	BRINP1,SHANK2,NLGN2
10	1	TRUE	0.000258	4896	127	58	0.457	0.012	GO:0071840	BP	30	cellular component organization or biogenesis	1	KPNB1,NPEPPS,TPR,NSMF,STX5A,FBXW5,ZFP207,RRP7A,PIP4K2B,NDUFS7,ASIC2,UTP23,PRKDC,MAPK8IP3,MIB1,ETF1,AFG3L2,CXXC1,TRIP12,SSNA1,HAUS2,DHX36,FBXW7,SH3BGRL3,MAP7D1,PARK7,USP30,STRAP,NPHP3,ARHGAP44,HDAC11,SENP6,CPSF7,ATCAY,L3MBTL1,SHANK2,RPS16,PDE4DIP,SGSM2,UBN1,TET2,LONP1,GATAD2B,USP22,SNAI1,PRKCE,NYAP1,FLRT2,FRMPD4,LRRC4,NLGN2,GAN,SEZ6L,RRP1B,XLR4B,MTA2,PDZD8,UBE2D3
