name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0003128	Lactic acidosis	168	9	7.83	7.53	7.5e-07	0.00027	12.5	4.76	31.1
HP:0002151	Increased serum lactate	131	7	7.81	6.6	1.7e-05	0.001	11.1	3.83	28.9
HP:0001941	Acidosis	277	10	5.28	6.16	5.8e-06	0.001	8.6	3.38	21
HP:0004360	Abnormality of acid-base homeostasis	296	10	4.94	5.88	1.1e-05	0.001	7.98	3.14	19.5
HP:0001251	Ataxia	546	13	3.48	5.24	1.3e-05	0.001	6.54	2.69	16.2
HP:0001317	Abnormality of the cerebellum	874	16	2.68	4.75	1.8e-05	0.001	6.12	2.46	16.6
HP:0011282	Abnormality of hindbrain morphology	889	16	2.63	4.67	2.2e-05	0.001	5.98	2.41	16.2
HP:0011283	Abnormality of the metencephalon	889	16	2.63	4.67	2.2e-05	0.001	5.98	2.41	16.2
HP:0030085	Abnormal CSF lactate level	69	5	10.6	6.68	8.1e-05	0.0029	14	3.97	40.5
HP:0002490	Increased CSF lactate	69	5	10.6	6.68	8.1e-05	0.0029	14	3.97	40.5
HP:0011443	Abnormality of coordination	663	13	2.87	4.43	0.00011	0.0036	5.15	2.12	12.8
HP:0012240	Increased intramyocellular lipid droplets	20	3	21.9	7.79	3e-04	0.0089	29	5.07	112
HP:0009058	Increased muscle lipid content	24	3	18.3	7.05	0.00052	0.014	23.4	4.17	88.3
HP:0001250	Seizures	1138	16	2.06	3.6	0.00058	0.015	4.21	1.69	11.4
HP:0030680	Abnormality of cardiovascular system morphology	1052	15	2.09	3.49	0.00094	0.022	3.93	1.61	10.2
HP:0001263	Global developmental delay	946	14	2.16	3.48	0.0011	0.024	3.83	1.58	9.69
HP:0012758	Neurodevelopmental delay	1201	16	1.95	3.36	0.0011	0.024	3.88	1.56	10.5
HP:0001627	Abnormal heart morphology	955	14	2.14	3.44	0.0013	0.025	3.78	1.56	9.56
HP:0000602	Ophthalmoplegia	132	5	5.54	4.41	0.0017	0.031	6.95	2	19.6
HP:0002269	Abnormality of neuronal migration	279	7	3.67	3.86	0.002	0.031	4.86	1.69	12.5
HP:0001639	Hypertrophic cardiomyopathy	279	7	3.67	3.86	0.002	0.031	4.86	1.69	12.5
HP:0000508	Ptosis	446	9	2.95	3.66	0.0018	0.031	4.18	1.6	10.3
HP:0011442	Abnormality of central motor function	1241	16	1.89	3.22	0.0017	0.031	3.69	1.48	9.99
HP:0002921	Abnormality of the cerebrospinal fluid	381	8	3.07	3.55	0.0027	0.041	4.17	1.53	10.4
HP:0001404	Hepatocellular necrosis	43	3	10.2	5.04	0.0029	0.042	12.3	2.25	43.6
HP:0002605	Hepatic necrosis	47	3	9.34	4.77	0.0037	0.05	11.1	2.06	39.5
HP:0003355	Aminoaciduria	159	5	4.6	3.85	0.0038	0.05	5.69	1.64	16
