name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-5358351	Signaling by Hedgehog	148	9	7.71	7.33	2.3e-06	0.00024	9.05	3.9	18.7
R-HSA-8953854	Metabolism of RNA	646	18	3.53	5.93	2e-06	0.00024	4.37	2.42	7.55
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	56	6	13.6	8.42	4.7e-06	3e-04	16.2	5.51	39.5
R-HSA-2132295	MHC class II antigen presentation	124	8	8.18	7.17	5.5e-06	3e-04	9.53	3.87	20.4
R-HSA-6807878	COPI-mediated anterograde transport	102	7	8.7	6.97	1.5e-05	0.00063	10.1	3.81	22.6
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	78	6	9.75	6.92	3.3e-05	0.00099	11.2	3.87	26.9
R-HSA-5610787	Hedgehog 'off' state	113	7	7.85	6.53	2.9e-05	0.00099	9.01	3.42	20.2
R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	52	5	12.2	7.21	5.2e-05	0.0014	14.2	4.29	37
R-HSA-199991	Membrane Trafficking	599	15	3.17	4.89	5.7e-05	0.0014	3.75	1.97	6.71
R-HSA-8856688	Golgi-to-ER retrograde transport	134	7	6.62	5.84	8.5e-05	0.0018	7.5	2.86	16.7
R-HSA-446203	Asparagine N-linked glycosylation	299	10	4.24	5.07	0.00011	0.0019	4.84	2.2	9.57
R-HSA-2262752	Cellular responses to stress	425	12	3.58	4.84	0.00011	0.0019	4.13	2.02	7.77
R-HSA-5653656	Vesicle-mediated transport	631	15	3.01	4.66	1e-04	0.0019	3.54	1.86	6.34
R-HSA-5358346	Hedgehog ligand biogenesis	64	5	9.9	6.37	0.00014	0.002	11.3	3.44	29.1
R-HSA-69275	G2/M Transition	195	8	5.2	5.28	0.00014	0.002	5.87	2.41	12.4
R-HSA-453274	Mitotic G2-G2/M phases	197	8	5.15	5.24	0.00015	0.0021	5.81	2.38	12.3
R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	200	8	5.07	5.18	0.00017	0.0021	5.71	2.34	12.1
R-HSA-1280218	Adaptive Immune System	746	16	2.72	4.35	0.00019	0.0023	3.2	1.72	5.64
R-HSA-199977	ER to Golgi Anterograde Transport	155	7	5.72	5.29	0.00021	0.0024	6.43	2.45	14.3
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	51	4	9.94	5.71	0.00068	0.0046	11.2	2.86	31.8
R-HSA-69229	Ubiquitin-dependent degradation of Cyclin D1	51	4	9.94	5.71	0.00068	0.0046	11.2	2.86	31.8
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	51	4	9.94	5.71	0.00068	0.0046	11.2	2.86	31.8
R-HSA-180534	Vpu mediated degradation of CD4	52	4	9.75	5.64	0.00073	0.0046	11	2.8	31.1
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	52	4	9.75	5.64	0.00073	0.0046	11	2.8	31.1
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	52	4	9.75	5.64	0.00073	0.0046	11	2.8	31.1
R-HSA-69610	p53-Independent DNA Damage Response	52	4	9.75	5.64	0.00073	0.0046	11	2.8	31.1
R-HSA-69613	p53-Independent G1/S DNA damage checkpoint	52	4	9.75	5.64	0.00073	0.0046	11	2.8	31.1
