name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:61	mitral valve disease	15	13	3.54	5.61	6.9e-07	0.00013	20.2	4.56	184
DOID:1579	respiratory system disease	691	225	1.33	5.2	2.6e-07	0.00013	1.56	1.31	1.86
DOID:77	gastrointestinal system disease	1039	319	1.25	5.05	4.4e-07	0.00013	1.45	1.25	1.68
DOID:0050161	lower respiratory tract disease	656	213	1.33	5	7.2e-07	0.00013	1.55	1.3	1.85
DOID:0014667	disease of metabolism	1280	382	1.22	4.93	7.2e-07	0.00013	1.4	1.22	1.61
DOID:0060158	acquired metabolic disease	1078	324	1.23	4.63	3.3e-06	0.00048	1.4	1.21	1.62
DOID:114	heart disease	517	170	1.34	4.62	4.6e-06	0.00058	1.57	1.29	1.91
DOID:850	lung disease	435	145	1.36	4.43	1.1e-05	0.0012	1.59	1.28	1.97
DOID:374	nutrition disease	366	124	1.38	4.29	2.1e-05	0.002	1.63	1.29	2.04
DOID:4079	heart valve disease	48	25	2.13	4.46	3.3e-05	0.0025	3.39	1.84	6.26
DOID:2723	dermatitis	222	81	1.49	4.23	3.4e-05	0.0025	1.81	1.35	2.41
DOID:557	kidney disease	476	154	1.32	4.14	3.5e-05	0.0025	1.52	1.24	1.87
DOID:654	overnutrition	354	119	1.37	4.1	4.5e-05	0.0025	1.6	1.27	2.02
DOID:0050013	carbohydrate metabolism disease	858	258	1.23	4.06	3.9e-05	0.0025	1.38	1.18	1.62
DOID:4194	glucose metabolism disease	858	258	1.23	4.06	3.9e-05	0.0025	1.38	1.18	1.62
DOID:9351	diabetes mellitus	818	247	1.23	4.04	4.3e-05	0.0025	1.39	1.18	1.64
DOID:18	urinary system disease	494	158	1.31	4.02	5.5e-05	0.0028	1.5	1.22	1.83
DOID:9408	acute myocardial infarction	90	39	1.77	4.19	6.2e-05	0.003	2.39	1.53	3.71
DOID:1398	parasitic infectious disease	150	58	1.58	4.08	6.9e-05	0.0032	1.98	1.39	2.79
DOID:2320	obstructive lung disease	205	74	1.47	3.93	0.00011	0.0039	1.78	1.31	2.39
DOID:3083	chronic obstructive pulmonary disease	205	74	1.47	3.93	0.00011	0.0039	1.78	1.31	2.39
DOID:3118	hepatobiliary disease	637	196	1.26	3.87	9.1e-05	0.0039	1.42	1.18	1.7
DOID:5295	intestinal disease	350	116	1.35	3.87	0.00011	0.0039	1.57	1.23	1.98
DOID:1176	bronchial disease	364	120	1.35	3.87	0.00011	0.0039	1.56	1.23	1.96
DOID:1287	cardiovascular system disease	1292	369	1.17	3.77	0.00011	0.0039	1.3	1.13	1.49
DOID:9970	obesity	348	115	1.35	3.81	0.00014	0.0046	1.56	1.23	1.97
DOID:1091	tooth disease	154	58	1.54	3.85	0.00016	0.0052	1.89	1.34	2.66
DOID:11077	brucellosis	41	21	2.09	3.99	0.00019	0.0056	3.27	1.68	6.37
DOID:229	female reproductive system disease	333	110	1.35	3.72	0.00019	0.0056	1.56	1.22	1.98
DOID:3119	gastrointestinal system cancer	1536	430	1.14	3.62	0.00019	0.0056	1.27	1.11	1.44
DOID:0050589	inflammatory bowel disease	295	99	1.37	3.7	0.00021	0.0057	1.59	1.23	2.05
DOID:2841	asthma	355	116	1.33	3.68	0.00021	0.0057	1.53	1.21	1.94
DOID:409	liver disease	609	186	1.25	3.64	0.00022	0.0057	1.4	1.16	1.68
DOID:9452	fatty liver disease	92	38	1.69	3.78	0.00026	0.0066	2.2	1.41	3.4
DOID:865	vasculitis	118	46	1.59	3.69	0.00031	0.0075	2	1.34	2.94
DOID:2789	parasitic protozoa infectious disease	128	49	1.56	3.66	0.00033	0.0075	1.94	1.32	2.82
DOID:3393	coronary artery disease	351	114	1.33	3.57	0.00032	0.0075	1.52	1.19	1.92
DOID:65	connective tissue disease	1050	302	1.17	3.5	0.00032	0.0075	1.3	1.12	1.51
DOID:9455	lipid storage disease	122	47	1.57	3.64	0.00036	0.0081	1.96	1.32	2.87
DOID:3388	periodontal disease	132	50	1.55	3.61	0.00038	0.0081	1.91	1.31	2.76
DOID:655	inherited metabolic disorder	363	117	1.32	3.53	0.00037	0.0081	1.5	1.19	1.89
DOID:15	reproductive system disease	490	152	1.27	3.49	0.00039	0.0081	1.42	1.16	1.75
DOID:0050828	artery disease	931	270	1.18	3.44	4e-04	0.0081	1.31	1.12	1.53
DOID:5082	liver cirrhosis	207	72	1.42	3.5	0.00048	0.0091	1.67	1.23	2.26
DOID:16	integumentary system disease	595	180	1.24	3.42	0.00047	0.0091	1.38	1.14	1.66
DOID:0050155	sensory system disease	606	183	1.23	3.42	0.00047	0.0091	1.37	1.14	1.65
DOID:37	skin disease	571	173	1.24	3.37	0.00056	0.01	1.38	1.14	1.67
DOID:7148	rheumatoid arthritis	498	153	1.25	3.36	6e-04	0.011	1.4	1.14	1.72
DOID:8778	Crohn's disease	182	64	1.44	3.4	7e-04	0.012	1.7	1.23	2.34
DOID:0080001	bone disease	833	242	1.19	3.27	0.00074	0.013	1.31	1.11	1.54
DOID:5614	eye disease	531	161	1.24	3.25	0.00084	0.014	1.38	1.13	1.68
DOID:12365	malaria	97	38	1.6	3.39	0.00089	0.015	2.01	1.29	3.08
DOID:178	vascular disease	1088	308	1.16	3.19	0.00091	0.015	1.27	1.09	1.47
DOID:520	aortic disease	51	23	1.84	3.44	0.001	0.016	2.55	1.4	4.61
DOID:438	autoimmune disease of the nervous system	54	24	1.82	3.42	0.001	0.016	2.49	1.39	4.42
DOID:824	periodontitis	117	44	1.54	3.33	0.001	0.016	1.88	1.26	2.78
DOID:5844	myocardial infarction	279	91	1.33	3.22	0.0011	0.016	1.52	1.16	1.98
DOID:9182	pemphigus	37	18	1.99	3.43	0.0012	0.017	2.94	1.45	5.94
DOID:289	endometriosis	258	85	1.35	3.22	0.0011	0.017	1.54	1.17	2.02
DOID:0060056	hypersensitivity reaction disease	828	239	1.18	3.12	0.0012	0.017	1.29	1.09	1.52
DOID:13133	HELLP syndrome	21	12	2.33	3.49	0.0014	0.018	4.13	1.6	11.1
DOID:7693	abdominal aortic aneurysm	43	20	1.9	3.37	0.0013	0.018	2.7	1.4	5.16
DOID:8502	bullous skin disease	46	21	1.86	3.35	0.0014	0.018	2.61	1.39	4.87
DOID:9252	amino acid metabolic disorder	52	23	1.81	3.32	0.0014	0.018	2.47	1.36	4.43
DOID:3211	lysosomal storage disease	142	51	1.47	3.2	0.0014	0.018	1.75	1.21	2.51
DOID:10952	nephritis	200	68	1.39	3.18	0.0014	0.018	1.61	1.18	2.19
DOID:417	hypersensitivity reaction type II disease	730	213	1.19	3.12	0.0012	0.018	1.31	1.1	1.56
DOID:1492	eye and adnexa disease	537	161	1.22	3.08	0.0015	0.018	1.35	1.11	1.65
DOID:9256	colorectal cancer	811	234	1.18	3.08	0.0014	0.018	1.29	1.09	1.52
DOID:5672	large intestine cancer	812	234	1.18	3.06	0.0015	0.018	1.29	1.09	1.52
DOID:104	bacterial infectious disease	250	82	1.34	3.11	0.0016	0.019	1.53	1.15	2.02
DOID:10591	pre-eclampsia	268	87	1.33	3.1	0.0016	0.019	1.51	1.15	1.97
DOID:2987	familial Mediterranean fever	27	14	2.12	3.31	0.0019	0.021	3.34	1.45	7.73
DOID:13129	severe pre-eclampsia	27	14	2.12	3.31	0.0019	0.021	3.34	1.45	7.73
DOID:2473	opportunistic mycosis	38	18	1.93	3.29	0.0018	0.021	2.79	1.39	5.58
DOID:0050136	systemic mycosis	41	19	1.89	3.26	0.0018	0.021	2.68	1.37	5.21
DOID:10603	glucose intolerance	44	20	1.86	3.25	0.0019	0.021	2.59	1.35	4.9
DOID:3627	aortic aneurysm	50	22	1.8	3.22	0.0019	0.021	2.44	1.33	4.44
DOID:848	arthritis	649	190	1.2	2.98	0.0019	0.021	1.31	1.09	1.57
DOID:403	mouth disease	182	62	1.39	3.05	0.0021	0.022	1.62	1.16	2.23
DOID:10155	intestinal cancer	820	235	1.17	2.96	0.002	0.022	1.28	1.08	1.51
DOID:11981	morbid obesity	30	15	2.04	3.26	0.0022	0.023	3.1	1.41	6.83
DOID:4195	hyperglycemia	131	47	1.47	3.06	0.0022	0.023	1.75	1.19	2.54
DOID:3310	atopic dermatitis	145	51	1.44	3.03	0.0023	0.024	1.69	1.17	2.42
DOID:0060001	withdrawal disorder	17	10	2.4	3.3	0.0026	0.026	4.43	1.52	13.7
DOID:440	neuromuscular disease	76	30	1.61	3.06	0.0026	0.026	2.03	1.23	3.3
DOID:219	colon cancer	153	53	1.41	2.95	0.0028	0.028	1.65	1.16	2.34
DOID:1520	colon carcinoma	153	53	1.41	2.95	0.0028	0.028	1.65	1.16	2.34
DOID:2825	nose disease	106	39	1.5	2.97	0.003	0.029	1.81	1.19	2.74
DOID:974	upper respiratory tract disease	123	44	1.46	2.94	0.0031	0.03	1.74	1.17	2.55
DOID:3342	bone inflammation disease	686	198	1.18	2.81	0.0032	0.031	1.28	1.07	1.53
DOID:437	myasthenia gravis	40	18	1.84	3.03	0.0036	0.034	2.54	1.28	4.97
DOID:2871	endometrial carcinoma	134	47	1.43	2.88	0.0036	0.034	1.69	1.15	2.44
DOID:2914	immune system disease	987	276	1.14	2.74	0.0037	0.035	1.24	1.06	1.44
DOID:1074	kidney failure	138	48	1.42	2.84	0.004	0.036	1.66	1.14	2.4
DOID:2349	arteriosclerosis	352	108	1.25	2.78	0.0039	0.036	1.39	1.09	1.76
DOID:26	pancreas disease	173	58	1.37	2.8	0.0042	0.038	1.58	1.12	2.19
DOID:439	neuromuscular junction disease	41	18	1.79	2.9	0.0049	0.044	2.43	1.23	4.72
DOID:1936	atherosclerosis	340	104	1.25	2.68	0.0051	0.045	1.38	1.08	1.76
DOID:4451	renal carcinoma	366	111	1.24	2.67	0.0052	0.045	1.37	1.08	1.73
DOID:225	syndrome	1726	463	1.1	2.61	0.0052	0.045	1.18	1.04	1.34
DOID:2348	arteriosclerotic cardiovascular disease	341	104	1.25	2.65	0.0056	0.048	1.38	1.07	1.75
DOID:10763	hypertension	569	165	1.18	2.61	0.0058	0.049	1.29	1.06	1.56
