name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0001845	abnormal inflammatory response	1235	409	1.26	5.94	3.6e-09	1.7e-05	1.47	1.29	1.68
MP:0001846	increased inflammatory response	1058	351	1.27	5.48	4.8e-08	0.00011	1.47	1.27	1.68
MP:0002406	increased susceptibility to infection	443	164	1.41	5.31	1.9e-07	0.00029	1.7	1.39	2.09
MP:0001793	altered susceptibility to infection	534	191	1.37	5.18	3.2e-07	0.00037	1.62	1.34	1.95
MP:0005025	abnormal response to infection	572	202	1.35	5.12	4.1e-07	0.00038	1.59	1.32	1.9
MP:0020184	altered susceptibility to parasitic infection	127	58	1.74	5.02	1.5e-06	0.0012	2.4	1.66	3.47
MP:0002723	abnormal immune serum protein physiology	1067	343	1.23	4.7	2.4e-06	0.0016	1.39	1.21	1.6
MP:0008588	abnormal circulating interleukin level	245	95	1.48	4.54	8.6e-06	0.005	1.82	1.38	2.37
MP:0010210	abnormal circulating cytokine level	317	117	1.41	4.41	1.3e-05	0.0066	1.68	1.32	2.13
MP:0008835	abnormal intercellular signaling peptide or protein level	426	150	1.34	4.33	1.6e-05	0.0074	1.57	1.27	1.93
MP:0008713	abnormal cytokine level	415	146	1.34	4.26	2.2e-05	0.0092	1.56	1.26	1.93
MP:0008595	abnormal circulating interleukin-6 level	143	60	1.6	4.32	2.7e-05	0.01	2.06	1.45	2.92
MP:0005027	increased susceptibility to parasitic infection	100	45	1.72	4.3	3.5e-05	0.012	2.33	1.53	3.53
MP:0002490	abnormal immunoglobulin level	519	176	1.29	4.11	3.7e-05	0.012	1.48	1.22	1.79
MP:0020186	altered susceptibility to bacterial infection	331	119	1.37	4.11	4.3e-05	0.012	1.61	1.27	2.04
MP:0002459	abnormal B cell physiology	638	211	1.26	4.09	3.8e-05	0.012	1.43	1.2	1.7
MP:0001800	abnormal humoral immune response	561	188	1.28	4.06	4.4e-05	0.012	1.45	1.21	1.75
MP:0010766	abnormal NK cell physiology	99	44	1.7	4.15	6.1e-05	0.016	2.28	1.49	3.46
MP:0003991	arteriosclerosis	108	47	1.66	4.12	6.7e-05	0.016	2.19	1.46	3.27
MP:0008438	abnormal cutaneous collagen fibril morphology	25	16	2.44	4.3	7.8e-05	0.017	5.03	2.09	12.9
MP:0005338	atherosclerotic lesions	103	45	1.67	4.06	8.4e-05	0.017	2.21	1.46	3.33
MP:0013802	abnormal IgG2 level	194	75	1.48	3.99	8.3e-05	0.017	1.8	1.32	2.43
MP:0008751	abnormal interleukin level	286	104	1.39	3.97	7.7e-05	0.017	1.64	1.27	2.1
MP:0020174	abnormal IgG level	407	140	1.31	3.85	0.00011	0.021	1.51	1.21	1.87
MP:0002933	joint inflammation	147	59	1.53	3.87	0.00014	0.025	1.91	1.35	2.7
MP:0008559	abnormal interferon-gamma secretion	280	101	1.38	3.81	0.00014	0.025	1.61	1.25	2.08
MP:0002452	abnormal professional antigen presenting cell physiology	967	301	1.19	3.68	0.00017	0.028	1.31	1.13	1.52
MP:0008891	decreased hepatocyte apoptosis	13	10	2.94	4.16	0.00019	0.03	9.42	2.42	53.3
MP:0002993	arthritis	136	55	1.54	3.81	0.00019	0.03	1.93	1.34	2.77
MP:0005332	abnormal amino acid level	299	106	1.35	3.7	0.00021	0.032	1.57	1.22	2.01
MP:0002412	increased susceptibility to bacterial infection	261	94	1.37	3.66	0.00025	0.037	1.61	1.23	2.09
MP:0008567	decreased interferon-gamma secretion	175	67	1.46	3.67	0.00027	0.039	1.77	1.28	2.43
MP:0001985	abnormal gustatory system physiology	20	13	2.48	3.95	3e-04	0.04	5.25	1.95	15.6
MP:0008496	decreased IgG2a level	90	39	1.65	3.71	3e-04	0.04	2.17	1.39	3.37
MP:0008469	abnormal protein level	1092	334	1.17	3.51	3e-04	0.04	1.28	1.11	1.47
MP:0005502	abnormal renal/urinary system physiology	708	225	1.21	3.51	0.00032	0.042	1.34	1.13	1.59
MP:0002650	abnormal ameloblast morphology	25	15	2.29	3.85	0.00037	0.046	4.24	1.78	10.6
MP:0020176	abnormal IgG2a level	155	60	1.48	3.57	0.00039	0.046	1.8	1.28	2.52
MP:0002461	increased immunoglobulin level	310	108	1.33	3.52	0.00038	0.046	1.53	1.19	1.95
MP:0001844	autoimmune response	404	136	1.28	3.49	4e-04	0.046	1.45	1.17	1.81
