query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0331	1	45	1	0.022	1	GO:1904141	BP	5	positive regulation of microglial cell migration	1	CSF1
2	1	TRUE	0.0258	84	45	3	0.067	0.036	GO:0009636	BP	62	response to toxic substance	1	CNP,PRDX1,MBP
3	1	TRUE	0.0233	18	45	2	0.044	0.111	GO:0042558	BP	15	pteridine-containing compound metabolic process	1	QDPR,MTRR
4	1	TRUE	0.0331	1	45	1	0.022	1	GO:1904207	BP	6	regulation of chemokine (C-C motif) ligand 2 secretion	1	MBP
5	1	TRUE	0.0331	1	45	1	0.022	1	GO:1904209	BP	6	positive regulation of chemokine (C-C motif) ligand 2 secretion	1	MBP
6	1	TRUE	0.031	23	45	2	0.044	0.087	GO:1903319	BP	38	positive regulation of protein maturation	1	GSN,CNTN2
7	1	TRUE	0.0273	21	45	2	0.044	0.095	GO:0010954	BP	38	positive regulation of protein processing	1	GSN,CNTN2
8	1	TRUE	0.0187	71	45	3	0.067	0.042	GO:0001952	BP	42	regulation of cell-matrix adhesion	1	DDR1,CSF1,APOD
9	1	TRUE	0.0361	33	45	2	0.044	0.061	GO:0060603	BP	50	mammary gland duct morphogenesis	1	DDR1,CSF1
10	1	TRUE	0.0331	25	45	2	0.044	0.08	GO:0060444	BP	50	branching involved in mammary gland duct morphogenesis	2	DDR1,CSF1
11	1	TRUE	0.000464	4747	45	25	0.556	0.005	GO:0032502	BP	13	developmental process	1	DDR1,NDRG1,CNP,CSF1,UNC5B,MAP2K6,APOD,NDE1,GSN,CAR2,TSPAN2,GAB1,MCAM,UGT8A,MICALL1,MYRF,MAG,ANLN,CLIC4,CLDN11,CPEB3,CMTM5,MBP,CNTN2,ARHGEF10
12	1	TRUE	0.000238	4436	45	25	0.556	0.006	GO:0048856	BP	13	anatomical structure development	2	DDR1,NDRG1,CNP,CSF1,UNC5B,MAP2K6,APOD,NDE1,GSN,CAR2,TSPAN2,GAB1,MCAM,UGT8A,MICALL1,MYRF,MAG,ANLN,CLIC4,CLDN11,CPEB3,CMTM5,MBP,CNTN2,ARHGEF10
13	1	TRUE	0.00314	3998	45	21	0.467	0.005	GO:0007275	BP	13	multicellular organism development	3	DDR1,NDRG1,CNP,CSF1,UNC5B,APOD,NDE1,TSPAN2,GAB1,MCAM,UGT8A,MICALL1,MYRF,MAG,ANLN,CLIC4,CLDN11,CPEB3,MBP,CNTN2,ARHGEF10
14	1	TRUE	0.0014	3725	45	21	0.467	0.006	GO:0048731	BP	13	system development	3	DDR1,NDRG1,CNP,CSF1,UNC5B,APOD,NDE1,TSPAN2,GAB1,MCAM,UGT8A,MICALL1,MYRF,MAG,ANLN,CLIC4,CLDN11,CPEB3,MBP,CNTN2,ARHGEF10
15	1	TRUE	2.12e-05	1739	45	17	0.378	0.01	GO:0007399	BP	13	nervous system development	4	DDR1,NDRG1,CNP,CSF1,UNC5B,APOD,NDE1,TSPAN2,UGT8A,MICALL1,MYRF,MAG,CLDN11,CPEB3,MBP,CNTN2,ARHGEF10
16	1	TRUE	0.00623	674	45	8	0.178	0.012	GO:0007417	BP	13	central nervous system development	4	CNP,APOD,NDE1,TSPAN2,MYRF,MAG,MBP,CNTN2
17	1	TRUE	0.035	2145	45	12	0.267	0.006	GO:0009653	BP	13	anatomical structure morphogenesis	2	DDR1,CNP,CSF1,UNC5B,GSN,CAR2,MCAM,UGT8A,MAG,CLIC4,MBP,CNTN2
18	1	TRUE	0.00277	3311	45	19	0.422	0.006	GO:0048869	BP	13	cellular developmental process	1	DDR1,NDRG1,CNP,CSF1,UNC5B,MAP2K6,APOD,NDE1,TSPAN2,UGT8A,MICALL1,MYRF,MAG,ANLN,CLIC4,CPEB3,CMTM5,CNTN2,ARHGEF10
19	1	TRUE	0.00155	3143	45	19	0.422	0.006	GO:0030154	BP	13	cell differentiation	2	DDR1,NDRG1,CNP,CSF1,UNC5B,MAP2K6,APOD,NDE1,TSPAN2,UGT8A,MICALL1,MYRF,MAG,ANLN,CLIC4,CPEB3,CMTM5,CNTN2,ARHGEF10
20	1	TRUE	1.57e-05	1261	45	15	0.333	0.012	GO:0022008	BP	13	neurogenesis	3	DDR1,NDRG1,CNP,CSF1,UNC5B,APOD,NDE1,TSPAN2,UGT8A,MICALL1,MYRF,MAG,CPEB3,CNTN2,ARHGEF10
