name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-112316	Neuronal System	356	23	5.01	8.81	1.2e-10	1.7e-08	6.22	3.73	9.99
R-HSA-112315	Transmission across Chemical Synapses	224	18	6.24	9.06	4.9e-10	3.4e-08	7.62	4.27	12.9
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	154	14	7.06	8.65	9.7e-09	4.5e-07	8.47	4.38	15.3
R-HSA-112043	PLC beta mediated events	41	8	15.1	10.4	4.1e-08	1.4e-06	19.7	7.7	44.7
R-HSA-112040	G-protein mediated events	42	8	14.8	10.2	5e-08	1.4e-06	19.1	7.49	43.2
R-HSA-111885	Opioid Signalling	74	9	9.44	8.33	4e-07	9.3e-06	11.3	4.84	23.5
R-HSA-111933	Calmodulin induced events	27	6	17.2	9.66	9.6e-07	1.7e-05	22.9	7.42	59.9
R-HSA-111997	CaM pathway	27	6	17.2	9.66	9.6e-07	1.7e-05	22.9	7.42	59.9
R-HSA-1489509	DAG and IP3 signaling	28	6	16.6	9.46	1.2e-06	1.9e-05	21.8	7.12	56.8
R-HSA-111996	Ca-dependent events	29	6	16.1	9.28	1.5e-06	2.1e-05	20.9	6.83	54
R-HSA-2682334	EPH-Ephrin signaling	81	8	7.67	6.88	8.9e-06	0.00011	8.88	3.61	19
R-HSA-399719	Trafficking of AMPA receptors	31	5	12.5	7.34	4.3e-05	0.00046	15.3	4.5	41.3
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	31	5	12.5	7.34	4.3e-05	0.00046	15.3	4.5	41.3
R-HSA-3928662	EPHB-mediated forward signaling	39	5	9.95	6.4	0.00013	0.0013	11.7	3.5	30.7
R-HSA-422475	Axon guidance	295	12	3.16	4.3	0.00041	0.0038	3.48	1.73	6.4
R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	81	6	5.75	4.9	6e-04	0.0052	6.38	2.23	14.9
R-HSA-5218921	VEGFR2 mediated cell proliferation	14	3	16.6	6.69	0.00069	0.0053	21.3	3.78	82.1
R-HSA-5682910	LGI-ADAM interactions	14	3	16.6	6.69	0.00069	0.0053	21.3	3.78	82.1
R-HSA-5099900	WNT5A-dependent internalization of FZD4	15	3	15.5	6.43	0.00085	0.0062	19.6	3.5	73.6
