name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa04550	Signaling pathways regulating pluripotency of stem cells	139	77	1.85	6.6	2.7e-10	7.4e-08	2.97	2.09	4.24
path:hsa05200	Pathways in cancer	395	166	1.4	5.38	1.1e-07	1.5e-05	1.75	1.42	2.17
path:hsa05224	Breast cancer	144	70	1.62	4.93	1.6e-06	0.00015	2.25	1.59	3.18
path:hsa05217	Basal cell carcinoma	55	32	1.94	4.58	1.2e-05	0.00066	3.28	1.86	5.89
path:hsa04390	Hippo signaling pathway	153	71	1.55	4.48	1.1e-05	0.00066	2.06	1.47	2.88
path:hsa04150	mTOR signaling pathway	150	67	1.49	3.97	8.7e-05	0.0037	1.91	1.36	2.69
path:hsa04360	Axon guidance	175	76	1.45	3.93	9.4e-05	0.0037	1.82	1.33	2.5
path:hsa05205	Proteoglycans in cancer	203	85	1.4	3.75	0.00017	0.0053	1.71	1.27	2.29
path:hsa04151	PI3K-Akt signaling pathway	341	133	1.3	3.73	0.00017	0.0053	1.53	1.21	1.92
path:hsa05166	HTLV-I infection	256	103	1.34	3.65	0.00024	0.0065	1.6	1.23	2.08
path:hsa04080	Neuroactive ligand-receptor interaction	277	110	1.32	3.6	0.00027	0.0067	1.57	1.21	2.02
path:hsa04916	Melanogenesis	101	45	1.49	3.22	0.0013	0.029	1.9	1.25	2.87
path:hsa04662	B cell receptor signaling pathway	70	33	1.57	3.15	0.0018	0.037	2.1	1.27	3.46
