name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:2825	nose disease	106	23	2.38	4.54	6e-05	0.0075	2.83	1.69	4.58
DOID:0060119	pharynx cancer	201	36	1.97	4.41	5.1e-05	0.0075	2.25	1.51	3.28
DOID:9261	nasopharynx carcinoma	195	35	1.97	4.36	6.2e-05	0.0075	2.25	1.5	3.3
DOID:65	connective tissue disease	1050	131	1.37	4.13	4.4e-05	0.0075	1.53	1.24	1.89
DOID:1579	respiratory system disease	691	92	1.46	4.06	7.2e-05	0.0075	1.62	1.27	2.06
DOID:77	gastrointestinal system disease	1039	129	1.36	4.03	6.4e-05	0.0075	1.52	1.23	1.87
DOID:12894	Sjogren's syndrome	69	17	2.71	4.51	0.00011	0.0095	3.33	1.79	5.89
DOID:2018	hyperinsulinism	46	13	3.11	4.53	0.00016	0.011	4	1.92	7.85
DOID:0060056	hypersensitivity reaction disease	828	105	1.39	3.82	0.00016	0.011	1.54	1.22	1.93
DOID:2163	nasal cavity disease	100	21	2.31	4.17	2e-04	0.012	2.71	1.58	4.47
DOID:4483	rhinitis	100	21	2.31	4.17	2e-04	0.012	2.71	1.58	4.47
DOID:974	upper respiratory tract disease	123	24	2.14	4.05	0.00024	0.013	2.48	1.5	3.94
DOID:5614	eye disease	531	72	1.49	3.72	0.00027	0.013	1.64	1.24	2.14
DOID:0050155	sensory system disease	606	80	1.45	3.67	3e-04	0.013	1.59	1.22	2.06
DOID:0050161	lower respiratory tract disease	656	85	1.42	3.61	0.00036	0.013	1.56	1.21	2
DOID:1492	eye and adnexa disease	537	72	1.47	3.61	0.00038	0.013	1.62	1.22	2.11
DOID:417	hypersensitivity reaction type II disease	730	93	1.4	3.61	0.00033	0.013	1.54	1.2	1.95
DOID:17	musculoskeletal system disease	1239	145	1.29	3.51	0.00038	0.013	1.42	1.16	1.73
DOID:4481	allergic rhinitis	98	20	2.24	3.92	0.00043	0.014	2.61	1.5	4.35
DOID:2914	immune system disease	987	119	1.33	3.49	0.00045	0.014	1.45	1.17	1.8
DOID:850	lung disease	435	60	1.52	3.52	0.00058	0.015	1.66	1.23	2.22
DOID:1749	squamous cell carcinoma	720	91	1.39	3.49	0.00051	0.015	1.52	1.19	1.93
DOID:0060158	acquired metabolic disease	1078	128	1.31	3.44	0.00051	0.015	1.43	1.16	1.77
DOID:0014667	disease of metabolism	1280	148	1.27	3.39	0.00057	0.015	1.4	1.14	1.7
DOID:0080001	bone disease	833	102	1.35	3.36	0.00072	0.018	1.47	1.16	1.85
DOID:1428	endocrine pancreas disease	68	15	2.42	3.73	0.00095	0.023	2.87	1.49	5.21
DOID:10591	pre-eclampsia	268	40	1.64	3.38	0.0011	0.025	1.8	1.24	2.56
DOID:1205	allergic hypersensitivity disease	122	22	1.98	3.46	0.0013	0.028	2.24	1.33	3.61
DOID:0050013	carbohydrate metabolism disease	858	103	1.32	3.16	0.0014	0.028	1.43	1.13	1.8
DOID:4194	glucose metabolism disease	858	103	1.32	3.16	0.0014	0.028	1.43	1.13	1.8
DOID:2723	dermatitis	222	34	1.68	3.27	0.0016	0.033	1.85	1.23	2.71
DOID:12306	vitiligo	65	14	2.37	3.5	0.0018	0.034	2.78	1.41	5.14
DOID:9351	diabetes mellitus	818	98	1.32	3.05	0.0019	0.036	1.43	1.12	1.8
DOID:557	kidney disease	476	62	1.43	3.09	0.002	0.037	1.55	1.15	2.06
DOID:9500	leukocyte disease	96	18	2.06	3.31	0.0023	0.04	2.34	1.31	3.98
DOID:3310	atopic dermatitis	145	24	1.82	3.15	0.0027	0.046	2.02	1.24	3.18
DOID:9074	systemic lupus erythematosus	299	42	1.54	3.04	0.0027	0.046	1.68	1.17	2.36
DOID:1176	bronchial disease	364	49	1.48	2.97	0.0031	0.048	1.6	1.15	2.2
DOID:2841	asthma	355	48	1.49	2.97	0.0031	0.048	1.61	1.15	2.21
DOID:10763	hypertension	569	71	1.37	2.92	0.0031	0.048	1.48	1.12	1.93
