name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0008762	embryonic lethality	1763	725	1.23	7.57	4.5e-14	2.2e-10	1.51	1.35	1.68
MP:0013293	embryonic lethality prior to tooth bud stage	788	359	1.36	7.52	1.2e-13	2.8e-10	1.75	1.51	2.03
MP:0013292	embryonic lethality prior to organogenesis	717	329	1.37	7.34	4.5e-13	7.4e-10	1.77	1.51	2.07
MP:0002152	abnormal brain morphology	1633	660	1.21	6.56	5.3e-11	6.5e-08	1.44	1.29	1.61
MP:0011100	preweaning lethality, complete penetrance	799	344	1.29	6.01	2.2e-09	2.1e-06	1.57	1.35	1.82
MP:0009850	embryonic lethality between implantation and placentation	440	200	1.36	5.46	5.9e-08	4.8e-05	1.7	1.4	2.07
MP:0003635	abnormal synaptic transmission	740	313	1.26	5.31	1.1e-07	7.5e-05	1.51	1.29	1.76
MP:0002882	abnormal neuron morphology	1515	593	1.17	5.12	2.3e-07	0.00014	1.34	1.2	1.51
MP:0000771	abnormal brain size	343	159	1.39	5.16	3.1e-07	0.00016	1.76	1.41	2.19
MP:0003492	abnormal involuntary movement	942	385	1.22	5.08	3.2e-07	0.00016	1.43	1.24	1.64
MP:0003633	abnormal nervous system physiology	1903	729	1.14	5.02	3.5e-07	0.00016	1.31	1.18	1.45
MP:0002206	abnormal CNS synaptic transmission	653	277	1.27	5.03	4.6e-07	0.00019	1.51	1.28	1.78
MP:0002067	abnormal sensory capabilities/reflexes/nociception	936	380	1.21	4.88	8.7e-07	0.00033	1.41	1.22	1.62
MP:0001405	impaired coordination	454	199	1.31	4.8	1.6e-06	0.00054	1.59	1.31	1.93
MP:0001672	abnormal embryo development	1018	408	1.2	4.74	1.7e-06	0.00054	1.38	1.2	1.58
MP:0003313	abnormal locomotor activation	1152	456	1.18	4.7	1.9e-06	0.00058	1.35	1.19	1.54
MP:0000774	decreased brain size	281	131	1.39	4.75	2.4e-06	0.00067	1.77	1.38	2.26
MP:0002063	abnormal learning/memory/conditioning	664	277	1.25	4.68	2.5e-06	0.00067	1.46	1.24	1.72
MP:0000783	abnormal forebrain morphology	1011	404	1.19	4.64	2.7e-06	0.00069	1.37	1.2	1.57
MP:0014114	abnormal cognition	665	277	1.24	4.65	2.9e-06	7e-04	1.46	1.24	1.72
MP:0003491	abnormal voluntary movement	1648	631	1.14	4.58	3.2e-06	0.00074	1.29	1.16	1.45
MP:0001961	abnormal reflex	767	313	1.22	4.5	5.4e-06	0.0012	1.41	1.21	1.65
MP:0002064	seizures	383	169	1.32	4.52	6e-06	0.0013	1.6	1.3	1.98
