query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0273	20	548	5	0.009	0.25	GO:0061082	BP	5	myeloid leukocyte cytokine production	1	GPRC5B,TGFB3,CD74,MIF,SPON2
2	1	TRUE	0.0425	14	548	4	0.007	0.286	GO:0010934	BP	5	macrophage cytokine production	2	GPRC5B,TGFB3,CD74,SPON2
3	1	TRUE	0.0312	12	548	4	0.007	0.333	GO:0010935	BP	5	regulation of macrophage cytokine production	3	GPRC5B,TGFB3,CD74,SPON2
4	1	TRUE	0.0203	10	548	4	0.007	0.4	GO:0061081	BP	5	positive regulation of myeloid leukocyte cytokine production involved in immune response	2	GPRC5B,CD74,MIF,SPON2
5	1	TRUE	0.0419	36	548	6	0.011	0.167	GO:0046128	BP	148	purine ribonucleoside metabolic process	1	AMPD3,ENPP4,AHCY,MFN1,AHCYL2,GPHN
6	1	TRUE	0.0277	2707	548	105	0.192	0.039	GO:0065008	BP	34	regulation of biological quality	1	RAF1,OPRM1,RND2,PPARD,GSTM7,RAB11A,SH2B2,AMPD3,FBLN1,GPRC5B,TRPM2,WNT9B,ATOX1,QRSL1,MYB,CTC1,SAV1,GCNT2,CATSPER3,NR1D2,MYO10,WNT7B,SCRIB,ECE2,SLC4A8,ACHE,TNFRSF12A,ENPP4,GLP1R,NPC1,SLC4A9,CD74,GAL,FIBP,PLCB3,PRDX3,GSTO1,SPTA1,COPA,ERMN,HNMT,RASSF2,OPRL1,HAX1,HCN3,MTOR,SLC35F6,APBB2,CLOCK,NOS1,TSC22D4,WNT7A,ATG7,GLRX3,NOX1,PAK3,G6PDX,RNF128,TNFSF13B,ETS1,CRYAB,RASGRF1,ATP1B3,EPHB1,MIF,SPG11,PDK3,LPAR3,CLIC4,SLC9A7,LETMD1,SCARB1,SMG6,ATP6V1G1,NDST2,OS9,RPS19,MUL1,HTR2C,MBP,DPM3,MRAP2,KCNK13,HCAR2,PID1,SFN,GPR68,GPHN,F2R,BMPR1B,CNTN2,TXK,VMN2R81,RIT2,DHCR7,PLG,NR1H2,QK,MYL9,CSNK1G3,NTF5,DNLZ,AARSD1,SLC8A3,TTBK2
7	1	TRUE	0.027	11	548	4	0.007	0.364	GO:0050746	BP	93	regulation of lipoprotein metabolic process	1	APOD,APOM,HHATL,SVIP
8	1	TRUE	0.0401	6	548	3	0.005	0.5	GO:0050748	BP	93	negative regulation of lipoprotein metabolic process	1	APOD,APOM,HHATL
9	1	TRUE	0.0422	3998	548	143	0.261	0.036	GO:0048519	BP	81	negative regulation of biological process	1	BCL6B,RAF1,C1D,OPRM1,KCTD10,PPARD,MIEN1,GSTM7,CNN2,CSTB,SH2B2,FBLN1,ACTN3,ARID1A,TRPM2,NUAK2,GLIS2,GADD45B,RXRA,WNT9B,IRF1,MYB,SRGAP1,FSTL3,PLD2,CTC1,SAV1,VSX2,TGFB3,GCNT2,CAST,GTF2H2,VDAC2,NR1D2,SH3BP5,RNASEH2B,DNAJC15,DAD1,WNT7B,APOD,SCRIB,ZBTB20,CELA1,TMEM176A,E4F1,APOM,NPC1,CD74,GAL,PRDX3,LCOR,GSTO1,CBX8,MARCH8,LYPLA1,CXCR2,MASTL,LRSAM1,AK1,CAPRIN1,CAT,SEMA6D,RASSF2,PAG1,PTPN22,HAX1,SFRP2,FKTN,DFFA,MTOR,SLC35F6,APBB2,CLOCK,NOS1,MAD1L1,TSC22D4,MEPCE,WNT7A,LAG3,ATG7,GLRX3,FGF15,G6PDX,RNF128,NECAB2,VPS4A,GABARAPL2,ETS1,CRYAB,DNAJA4,HHATL,EPHB1,QARS,SZT2,MIF,CCP110,PTGDR2,RHBDD3,FIGNL1,NME5,FZD8,ELF2,CLIC4,RARA,NOTCH3,SMG6,CAMK1D,OS9,RPS19,WWP1,MUL1,HTR2C,MMRN2,MBP,PHLDA3,NKRF,PALB2,HCAR2,PID1,CRADD,HMGA1,ANKRD33,SFN,GPR68,RNF152,F2R,SCRT1,HTR1B,ZFP438,LRRC3,BMPR1B,CNTN2,YAP1,RIT2,NKX2-9,PLG,NR1H2,QK,ERBB2,CST7,SVIP,NTF5,TTBK2
10	1	TRUE	0.027	3655	548	135	0.246	0.037	GO:0048523	BP	81	negative regulation of cellular process	2	BCL6B,RAF1,C1D,OPRM1,KCTD10,PPARD,MIEN1,GSTM7,CNN2,CSTB,FBLN1,ACTN3,ARID1A,TRPM2,NUAK2,GLIS2,GADD45B,RXRA,IRF1,MYB,SRGAP1,FSTL3,PLD2,CTC1,SAV1,VSX2,TGFB3,GCNT2,CAST,GTF2H2,VDAC2,NR1D2,SH3BP5,RNASEH2B,DNAJC15,DAD1,WNT7B,APOD,SCRIB,ZBTB20,CELA1,TMEM176A,E4F1,APOM,NPC1,CD74,GAL,PRDX3,LCOR,GSTO1,CBX8,LYPLA1,CXCR2,MASTL,LRSAM1,AK1,CAPRIN1,CAT,SEMA6D,RASSF2,PAG1,PTPN22,HAX1,SFRP2,FKTN,DFFA,MTOR,SLC35F6,APBB2,CLOCK,MAD1L1,TSC22D4,MEPCE,WNT7A,LAG3,ATG7,FGF15,G6PDX,RNF128,NECAB2,VPS4A,GABARAPL2,ETS1,CRYAB,DNAJA4,HHATL,EPHB1,QARS,SZT2,MIF,CCP110,PTGDR2,RHBDD3,FIGNL1,NME5,FZD8,ELF2,CLIC4,RARA,NOTCH3,SMG6,CAMK1D,OS9,WWP1,MUL1,HTR2C,MMRN2,MBP,PHLDA3,NKRF,PALB2,PID1,CRADD,HMGA1,ANKRD33,SFN,GPR68,RNF152,F2R,SCRT1,HTR1B,ZFP438,LRRC3,BMPR1B,CNTN2,YAP1,RIT2,NKX2-9,PLG,NR1H2,QK,ERBB2,CST7,SVIP,NTF5
