query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00649	2	50	2	0.04	1	GO:0003360	BP	6	brainstem development	1	SMAD4,CNTFR
2	1	TRUE	0.0466	211	50	5	0.1	0.024	GO:0007548	BP	21	sex differentiation	1	ATN1,SMAD4,CNTFR,TSX,TIFAB
3	1	TRUE	0.0355	12601	50	44	0.88	0.003	GO:0005623	CC	7	cell	1	DLAT,ATN1,PPP2R1A,RPLP1,PACSIN2,ACSL1,VTA1,ACSL6,SDHA,NSUN2,GFM2,MBNL2,EIF3H,AP3S1,SMAD4,OTUB1,ENTPD7,GLUL,GOLGA1,SLC25A12,RBCK1,RAB22A,CNTFR,ZCCHC8,GARS,FAM98C,FUS,TSX,GNB5,SNAPC4,WDTC1,CCDC92,CNOT4,RHBDD2,RNF208,GAS1,ARNTL,MRPS36,NCS1,PRKAG1,GNG3,PSMB11,RBM15B,MOAP1
4	1	TRUE	0.0355	12601	50	44	0.88	0.003	GO:0044464	CC	7	cell part	1	DLAT,ATN1,PPP2R1A,RPLP1,PACSIN2,ACSL1,VTA1,ACSL6,SDHA,NSUN2,GFM2,MBNL2,EIF3H,AP3S1,SMAD4,OTUB1,ENTPD7,GLUL,GOLGA1,SLC25A12,RBCK1,RAB22A,CNTFR,ZCCHC8,GARS,FAM98C,FUS,TSX,GNB5,SNAPC4,WDTC1,CCDC92,CNOT4,RHBDD2,RNF208,GAS1,ARNTL,MRPS36,NCS1,PRKAG1,GNG3,PSMB11,RBM15B,MOAP1
5	1	TRUE	0.00649	10776	50	42	0.84	0.004	GO:0005622	CC	7	intracellular	2	DLAT,ATN1,PPP2R1A,RPLP1,PACSIN2,ACSL1,VTA1,ACSL6,SDHA,NSUN2,GFM2,MBNL2,EIF3H,AP3S1,SMAD4,OTUB1,ENTPD7,GLUL,GOLGA1,SLC25A12,RBCK1,RAB22A,ZCCHC8,GARS,FAM98C,FUS,TSX,GNB5,SNAPC4,WDTC1,CCDC92,CNOT4,RHBDD2,RNF208,ARNTL,MRPS36,NCS1,PRKAG1,GNG3,PSMB11,RBM15B,MOAP1
6	1	TRUE	0.00649	10674	50	42	0.84	0.004	GO:0044424	CC	7	intracellular part	3	DLAT,ATN1,PPP2R1A,RPLP1,PACSIN2,ACSL1,VTA1,ACSL6,SDHA,NSUN2,GFM2,MBNL2,EIF3H,AP3S1,SMAD4,OTUB1,ENTPD7,GLUL,GOLGA1,SLC25A12,RBCK1,RAB22A,ZCCHC8,GARS,FAM98C,FUS,TSX,GNB5,SNAPC4,WDTC1,CCDC92,CNOT4,RHBDD2,RNF208,ARNTL,MRPS36,NCS1,PRKAG1,GNG3,PSMB11,RBM15B,MOAP1
7	1	TRUE	0.0466	9191	50	36	0.72	0.004	GO:0043229	CC	7	intracellular organelle	4	DLAT,ATN1,PPP2R1A,RPLP1,PACSIN2,ACSL1,VTA1,ACSL6,SDHA,NSUN2,GFM2,MBNL2,AP3S1,SMAD4,OTUB1,ENTPD7,GLUL,GOLGA1,SLC25A12,RAB22A,ZCCHC8,GARS,FUS,TSX,GNB5,SNAPC4,WDTC1,CCDC92,RHBDD2,RNF208,ARNTL,MRPS36,NCS1,PRKAG1,RBM15B,MOAP1
8	1	TRUE	0.0355	189	50	5	0.1	0.026	GO:0043209	CC	7	myelin sheath	2	DLAT,SDHA,GLUL,SLC25A12,GNB5
9	1	TRUE	0.0466	7972	50	33	0.66	0.004	GO:0043231	CC	7	intracellular membrane-bounded organelle	1	DLAT,ATN1,PACSIN2,ACSL1,VTA1,ACSL6,SDHA,NSUN2,GFM2,MBNL2,AP3S1,SMAD4,OTUB1,ENTPD7,GLUL,GOLGA1,SLC25A12,ZCCHC8,GARS,FUS,TSX,GNB5,SNAPC4,WDTC1,CCDC92,RHBDD2,RNF208,ARNTL,MRPS36,NCS1,PRKAG1,RBM15B,MOAP1
10	1	TRUE	0.0466	121	50	4	0.08	0.033	GO:0016874	MF	4	ligase activity	1	ACSL1,ACSL6,GLUL,GARS
