name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0011804	Abnormality of muscle physiology	1558	144	1.38	5.39	5.4e-08	9.6e-05	2.08	1.58	2.76
HP:0003487	Babinski sign	239	35	2.19	5.09	4.9e-06	0.0012	2.63	1.74	3.91
HP:0003202	Skeletal muscle atrophy	444	54	1.82	4.93	4e-06	0.0012	2.21	1.57	3.07
HP:0100022	Abnormality of movement	1159	111	1.43	4.8	2e-06	0.0012	1.9	1.44	2.5
HP:0001276	Hypertonia	626	69	1.65	4.78	4.8e-06	0.0012	2.03	1.49	2.74
HP:0011442	Abnormality of central motor function	1241	116	1.4	4.65	3.5e-06	0.0012	1.86	1.41	2.45
HP:0003011	Abnormality of the musculature	1823	156	1.28	4.59	2.5e-06	0.0012	1.9	1.43	2.55
HP:0002936	Distal sensory impairment	119	22	2.76	5.24	8.2e-06	0.0018	3.38	1.98	5.55
HP:0001257	Spasticity	491	57	1.73	4.7	8.9e-06	0.0018	2.1	1.5	2.89
HP:0200134	Epileptic encephalopathy	64	15	3.5	5.41	1.3e-05	0.0021	4.49	2.3	8.29
HP:0002071	Abnormality of extrapyramidal motor function	178	28	2.35	4.95	1.2e-05	0.0021	2.82	1.77	4.36
HP:0001347	Hyperreflexia	560	62	1.65	4.52	1.5e-05	0.0023	2	1.45	2.73
HP:0001332	Dystonia	318	41	1.93	4.64	1.8e-05	0.0024	2.29	1.56	3.3
HP:0001288	Gait disturbance	663	70	1.58	4.42	1.9e-05	0.0024	1.92	1.41	2.59
HP:0100851	Abnormal emotion/affect behavior	484	55	1.7	4.43	2.6e-05	0.003	2.03	1.45	2.81
HP:0001265	Hyporeflexia	280	37	1.97	4.55	2.9e-05	0.0032	2.33	1.56	3.42
HP:0003808	Abnormal muscle tone	1269	114	1.34	4.08	3.9e-05	0.0041	1.73	1.31	2.28
HP:0001300	Parkinsonism	73	15	3.07	4.78	6.8e-05	0.0052	3.78	1.96	6.89
HP:0003474	Sensory impairment	183	27	2.2	4.48	5.8e-05	0.0052	2.59	1.62	4.03
HP:0001268	Mental deterioration	214	30	2.09	4.42	5.9e-05	0.0052	2.46	1.57	3.74
HP:0009127	Abnormality of the musculature of the limbs	266	35	1.97	4.39	5.4e-05	0.0052	2.31	1.52	3.41
HP:0001324	Muscle weakness	662	68	1.53	4.09	6.8e-05	0.0052	1.84	1.35	2.49
HP:0012639	Abnormality of nervous system morphology	2000	162	1.21	3.83	6.7e-05	0.0052	1.73	1.3	2.34
HP:0045010	Abnormality of peripheral nerves	136	22	2.42	4.51	7.2e-05	0.0053	2.86	1.69	4.66
HP:0004305	Involuntary movements	664	68	1.53	4.06	7.5e-05	0.0053	1.83	1.34	2.48
HP:0010551	Paraplegia/paraparesis	129	21	2.43	4.44	9.7e-05	0.0066	2.88	1.68	4.73
HP:0040290	Abnormality of skeletal muscles	534	57	1.59	3.99	0.00011	0.0074	1.88	1.35	2.59
HP:0001151	Impaired horizontal smooth pursuit	31	9	4.34	5	0.00013	0.008	5.88	2.36	13.5
HP:0025270	Abnormality of esophagus physiology	301	37	1.84	4.06	0.00014	0.0083	2.13	1.43	3.12
HP:0009830	Peripheral neuropathy	405	46	1.7	3.99	0.00014	0.0083	1.98	1.37	2.8
HP:0002492	Abnormality of the corticospinal tract	39	10	3.83	4.76	0.00017	0.0091	4.97	2.13	10.7
HP:0002015	Dysphagia	227	30	1.97	4.06	0.00018	0.0091	2.29	1.46	3.47
HP:0001260	Dysarthria	373	43	1.72	3.95	0.00017	0.0091	2	1.37	2.85
HP:0030236	Abnormality of muscle size	543	57	1.57	3.85	0.00018	0.0091	1.84	1.32	2.53
