name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-1430728	Metabolism	1899	1107	1.1	5.17	1.2e-07	0.00016	1.31	1.18	1.45
R-HSA-216083	Integrin cell surface interactions	81	62	1.45	4.27	9.6e-06	0.0061	2.92	1.72	5.18
R-HSA-196854	Metabolism of vitamins and cofactors	184	125	1.28	4.11	2.2e-05	0.0061	1.9	1.38	2.65
R-HSA-180786	Extension of Telomeres	30	27	1.7	4.07	1.6e-05	0.0061	8.03	2.47	41.4
R-HSA-556833	Metabolism of lipids	696	420	1.14	4.05	2.9e-05	0.0061	1.38	1.18	1.62
R-HSA-73884	Base Excision Repair	39	33	1.6	3.97	3.3e-05	0.0061	4.91	2.03	14.3
R-HSA-73933	Resolution of Abasic Sites (AP sites)	39	33	1.6	3.97	3.3e-05	0.0061	4.91	2.03	14.3
R-HSA-1474244	Extracellular matrix organization	278	179	1.22	3.87	6.1e-05	0.0072	1.63	1.26	2.11
R-HSA-3000157	Laminin interactions	28	25	1.69	3.86	4.8e-05	0.0072	7.43	2.27	38.4
R-HSA-174417	Telomere C-strand (Lagging Strand) Synthesis	24	22	1.73	3.8	5.6e-05	0.0072	9.8	2.41	86.2
R-HSA-69190	DNA strand elongation	24	22	1.73	3.8	5.6e-05	0.0072	9.8	2.41	86.2
R-HSA-196849	Metabolism of water-soluble vitamins and cofactors	123	86	1.32	3.79	8.6e-05	0.0093	2.08	1.4	3.16
R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation	35	29	1.56	3.55	0.00022	0.02	4.31	1.76	12.7
R-HSA-3000171	Non-integrin membrane-ECM interactions	38	31	1.54	3.54	0.00023	0.02	3.95	1.7	10.6
R-HSA-8948216	Collagen chain trimerization	44	35	1.5	3.54	0.00023	0.02	3.47	1.63	8.22
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	61	46	1.42	3.52	0.00025	0.02	2.74	1.5	5.29
R-HSA-1296072	Voltage gated Potassium channels	43	34	1.49	3.44	0.00035	0.026	3.37	1.58	8
R-HSA-6806834	Signaling by MET	79	57	1.36	3.43	0.00036	0.026	2.32	1.39	3.98
R-HSA-76002	Platelet activation, signaling and aggregation	271	171	1.19	3.39	4e-04	0.027	1.54	1.19	1.99
R-HSA-8874081	MET activates PTK2 signaling	30	25	1.57	3.34	0.00051	0.031	4.46	1.67	14.9
R-HSA-69186	Lagging Strand Synthesis	20	18	1.7	3.32	5e-04	0.031	8.02	1.92	71.1
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	39	31	1.5	3.33	0.00055	0.032	3.46	1.55	8.71
R-HSA-425366	Transport of bile salts and organic acids, metal ions and amine compounds	80	57	1.35	3.29	0.00062	0.035	2.21	1.34	3.77
R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	26	22	1.6	3.24	0.00075	0.039	4.9	1.66	19.6
R-HSA-186797	Signaling by PDGF	58	43	1.4	3.24	0.00075	0.039	2.56	1.39	4.96
R-HSA-191859	snRNP Assembly	52	39	1.42	3.19	9e-04	0.043	2.68	1.4	5.47
R-HSA-194441	Metabolism of non-coding RNA	52	39	1.42	3.19	9e-04	0.043	2.68	1.4	5.47
R-HSA-2214320	Anchoring fibril formation	15	14	1.76	3.13	0.001	0.047	12.5	1.89	526
R-HSA-1483255	PI Metabolism	78	55	1.33	3.12	0.0011	0.05	2.14	1.29	3.65
R-HSA-15869	Metabolism of nucleotides	101	69	1.29	3.11	0.0012	0.05	1.93	1.25	3.04
