query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0419	121	174	8	0.046	0.066	GO:0016874	MF	107	ligase activity	1	VARS,ACSF3,POLG2,SLC27A2,ACSS2,GSS,SLC27A1,MARS
2	1	TRUE	0.039	658	181	16	0.088	0.024	MI:hsa-miR-604	mi	110	MI:hsa-miR-604	1	TPRA1,DDX23,PRKCSH,FGFR4,BDKRB2,ACIN1,COL2A1,APOA5,PRKRIP1,RPUSD1,S1PR4,TADA3,CCDC28A,ZFP773,ZFP777,KISS1
3	1	TRUE	0.0485	637	181	15	0.083	0.024	MI:mmu-miR-331-3p	mi	72	MI:mmu-miR-331-3p	1	ITFG2,POR,DGAT1,MRGBP,GGT7,ANAPC5,SLC6A13,SLC6A12,POLD3,CCDC22,PLPPR3,USP5,OSBPL7,TMEM39B,ZFP777
4	1	TRUE	0.039	644	181	16	0.088	0.025	MI:mmu-miR-423-5p	mi	41	MI:mmu-miR-423-5p	1	GRAMD1A,FXYD5,FUZ,TNIP1,DRG2,DGAT1,CTSW,NMUR1,LRRN2,HSPH1,PLPPR3,USP5,FLYWCH1,OS9,SNX32,GPR179
5	1	TRUE	0.0149	738	181	19	0.105	0.026	MI:mmu-miR-34c	mi	109	MI:mmu-miR-34c	1	GRAMD1A,ITFG2,TM9SF1,PRPF6,DDX39B,BDKRB2,TGFB3,LYPD2,CTSW,CALY,DTYMK,ATAD3A,FLCN,ATP13A2,PRSS40,FBXW17,KCNA10,GM5455,SNX32
6	1	TRUE	0.0149	657	181	18	0.099	0.027	MI:hsa-miR-766	mi	82	MI:hsa-miR-766	1	CD320,FGF22,MGRN1,DGAT1,ADAM15,MMP23,ANAPC5,SLC6A13,ATP2A1,CCDC22,FLCN,THOC5,HID1,USP5,GLTPD2,TMEM39B,CNOT10,GM19680
7	1	TRUE	0.0266	604	181	16	0.088	0.026	MI:mmu-miR-770-3p	mi	20	MI:mmu-miR-770-3p	1	MMP14,HPN,DDX23,PRKCSH,CHTF18,DGAT1,SLC6A13,GULO,PLPPR3,TRPM8,SLC45A1,OS9,GLTPD2,IVL,DEFB42,A230072I06RIK
8	1	TRUE	0.00434	694	181	20	0.11	0.029	MI:hsa-miR-608	mi	29	MI:hsa-miR-608	1	MMP14,HPN,TPRA1,DDX23,PRKCSH,COL5A3,POR,DDX39B,LYPD2,CALY,SLC6A12,EIF3C,KRT17,GPR162,OS9,RRP9,NANOS3,SNX32,TMEM91,BC048679
9	1	TRUE	0.0451	616	181	15	0.083	0.024	MI:hsa-miR-596	mi	24	MI:hsa-miR-596	1	HPN,ARHGEF40,GPR108,DRG2,BDKRB2,AIFM3,VPS18,TKFC,PIGU,USP5,SLC45A1,TUBB2B,TADA3,HHIPL2,TGIF2
10	1	TRUE	0.0451	620	181	15	0.083	0.024	MI:rno-miR-349	mi	93	MI:rno-miR-349	1	SLC34A3,FXYD5,DRG2,DDB1,ADAM15,HSPH1,DCTN1,PLPPR3,PIGU,OSBPL7,FLYWCH1,OS9,TADA3,MS4A15,KISS1
11	1	TRUE	0.0451	754	181	17	0.094	0.023	MI:mmu-miR-34b-5p	mi	6	MI:mmu-miR-34b-5p	1	ITFG2,TM9SF1,PRPF6,ARHGEF40,DDX39B,TGFB3,LYPD2,DDB1,CTSW,CALY,DTYMK,FLCN,ATP13A2,FBXW17,KCNA10,GM5455,SNX32
12	1	TRUE	0.00197	628	181	20	0.11	0.032	MI:hsa-miR-647	mi	116	MI:hsa-miR-647	1	GRAMD1A,CD320,DDX23,RNF215,FXYD5,FUZ,ADAMTS1,0610009O20RIK,CTSW,GGT7,ATAD3A,SLC6A13,VPS18,ATP13A2,LMX1B,ZDHHC1,OS9,GP5,TADA3,ZFP777
13	1	TRUE	0.0266	669	181	17	0.094	0.025	MI:mmu-miR-699	mi	1	MI:mmu-miR-699	1	GRAMD1A,ITFG2,RASA4,CHTF18,DDX39B,BDKRB2,TGFB3,DDB1,CTSW,CALY,DTYMK,ATAD3A,GM5134,ATP13A2,FLYWCH1,KCNA10,GM5455
14	1	TRUE	0.0485	565	181	14	0.077	0.025	MI:mmu-miR-24-1*	mi	22	MI:mmu-miR-24-1*	1	TPRA1,ARHGEF40,TEX14,FUZ,BDKRB2,MGRN1,HSP90AB1,LMX1B,GP5,TGIF2,HDAC10,FBP1,SLC22A14,ZFP777
15	1	TRUE	0.0149	559	181	16	0.088	0.029	MI:mmu-miR-384-3p	mi	89	MI:mmu-miR-384-3p	1	PRKCSH,TEX14,DALRD3,GUCY1B2,DGAT1,PRAMEL7,SLC6A12,DCTN1,FLCN,FOXH1,PIGU,COL16A1,GLTPD2,SNX32,GM10479,VMN2R31
16	1	TRUE	0.039	663	181	16	0.088	0.024	MI:mmu-miR-484	mi	37	MI:mmu-miR-484	1	RNF215,POR,DRG2,BDKRB2,DGAT1,SCRIB,0610009O20RIK,ACSS2,ADAM15,SLC6A13,SLC6A12,SLC27A1,DCTN1,PLPPR3,HHIPL2,ZFP777
17	1	TRUE	0.039	527	181	14	0.077	0.027	MI:mmu-miR-135a*	mi	10	MI:mmu-miR-135a*	1	TM9SF1,POR,MAP1S,DRG2,GUCY1B2,CTSW,GSS,ATAD3A,ANAPC5,OS9,SNX32,SNRPA,PRR23A2,ZFP773
18	1	TRUE	0.039	719	181	17	0.094	0.024	MI:mmu-miR-705	mi	56	MI:mmu-miR-705	1	GRAMD1A,HPN,CHTF18,MAP1S,BDKRB2,MAPRE2,CTSW,CALY,GGT7,ATAD3A,SLC6A13,SLC27A1,FOXH1,ATP13A2,GPR162,ARHGEF1,SNX32
19	1	TRUE	0.0485	701	181	16	0.088	0.023	MI:mmu-miR-323-5p	mi	26	MI:mmu-miR-323-5p	1	GPR108,SLC34A3,TGFB3,DDB1,SLC6A12,EIF3C,CCDC22,ATP13A2,USP5,LMX1B,FLYWCH1,TADA3,IVL,NANOS3,SNX32,TMEM91
20	1	TRUE	0.039	664	181	16	0.088	0.024	MI:mmu-miR-31	mi	104	MI:mmu-miR-31	1	TPRA1,ARHGEF40,RASA4,GPR108,TNIP1,ACIN1,DPP7,ANAPC5,KCNU1,SLC27A1,TKFC,PRSS40,IVL,NANOS3,SNX32,ZFP777
21	1	TRUE	0.0485	642	181	15	0.083	0.023	MI:mml-miR-000	mi	34	mml miRBase microRNAs	1	TPRA1,RNF215,ARHGEF40,TEX14,FUZ,BDKRB2,MGRN1,HSP90AB1,GBA,LMX1B,TGIF2,HDAC10,FBP1,SLC22A14,ZFP777
22	1	TRUE	0.0485	642	181	15	0.083	0.023	MI:mml-miR-189	mi	34	MI:mml-miR-189	2	TPRA1,RNF215,ARHGEF40,TEX14,FUZ,BDKRB2,MGRN1,HSP90AB1,GBA,LMX1B,TGIF2,HDAC10,FBP1,SLC22A14,ZFP777
23	1	TRUE	0.0271	10573	186	118	0.634	0.011	TF:M07602_1	tf	57	Factor: CP2; motif: NNNNCCAGNCNN; match class: 1	1	MYF5,MMP14,GRAMD1A,HPN,PRPF6,FLII,TPRA1,DDX23,PRKCSH,RNF215,COL5A3,ARHGEF40,RASA4,FGFR4,SLC34A3,VARS,FXYD5,GLIS2,ACSF3,NEK8,DALRD3,CHTF18,MAP1S,L3HYPDH,HSP90B1,FGF22,TNIP1,PES1,DRG2,TGFB3,ACIN1,COL2A1,MGRN1,MROH1,SCRIB,LYPD2,AIFM3,ADAMTS1,HSP90AB1,MSH2,MAPRE2,DDB1,CTSW,LTBP3,GPS1,DTYMK,LRRN2,DPP7,NOP56,MRGBP,GSS,GBA,EBNA1BP2,ATAD3A,MIB2,MMP23,NELFA,DHX37,HSPH1,SLC6A13,SLC6A12,MFAP5,GDPD3,EIF3C,PROSC,KCNU1,SLC27A1,APOA5,FLCN,GM5134,GTPBP6,RBM4B,FOXH1,VPS18,TKFC,HID1,KRT17,PLPPR3,TRPM8,ATP13A2,XKR8,SPATS2L,GPR162,USP5,FCHSD1,OSBPL7,ZFP750,PRKRIP1,DNAJC11,SLC45A1,MARS,OS9,COL16A1,ARHGEF1,RPUSD1,ABHD14B,CILP,KCNA10,TUBB2B,NPY4R,TADA3,IVL,SALL2,TMEM39B,DEFB42,RND1,NANOS3,BC048679,TGIF2,HDAC10,PRR23A2,ZFP773,MS4A15,SLC22A14,EME2,7420461P10RIK,SPATA31D1B,KISS1
24	1	TRUE	0.0288	7895	186	93	0.5	0.012	TF:M07267_0	tf	76	Factor: SF-1; motif: TGRCCTTGR; match class: 0	1	MMP14,ITFG2,CD320,TM9SF1,DDX23,PRKCSH,RNF215,SLC34A3,VARS,ACSF3,NEK8,CHTF18,MAP1S,DDX39B,TNIP1,DRG2,POLG2,TGFB3,MTBP,MGRN1,AIFM3,HSP90AB1,MSH2,TMEM8,0610009O20RIK,DDB1,CTSW,CALY,ASL,PRAMEL7,DTYMK,LRRN2,MRGBP,ACSS2,GBA,EBNA1BP2,MIB2,NELFA,ANAPC5,DHX37,SLC6A12,MFAP5,POLD3,ATP2A1,EIF3C,PROSC,PLAT,SLC27A1,DCTN1,APOA5,HYOU1,FLCN,GM5134,VPS18,TKFC,GULO,HID1,PLPPR3,TRPM8,PRSS40,XKR8,FBXW17,FCHSD1,OSBPL7,PRKRIP1,DNAJC11,SLC45A1,OS9,COL16A1,ARHGEF1,RPUSD1,RRP9,CILP,ASB4,KCNA10,LKAAEAR1,GLTPD2,NPY4R,TMEM39B,DEFB42,NANOS3,CNOT10,SNX32,TMEM91,TGIF2,PRR23A2,ZFP773,FBP1,ZFP777,CPA2,MOB3B,7420461P10RIK,KISS1
