query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00753	12601	120	99	0.825	0.008	GO:0005623	CC	129	cell	1	SMARCB1,JUP,PPARD,CCDC97,CLPTM1,IMPDH1,MAP3K11,PIAS4,DDX39,CDK9,DNAJC7,PIPOX,CACNG2,TXNRD1,PLD2,MAP3K14,ADCK1,ECD,PPIF,BAP1,HR,DMTN,DCAF11,ASIC1,SLC29A1,PPIL1,ABCG1,ZFP521,IMPA2,MRPL16,SNX15,MUS81,CAPN1,MYADML2,FBXL15,SBDS,FAM20C,NDUFS1,PKN3,CRAT,PSD4,RALY,DHX35,CASQ2,AHCYL1,SLC50A1,HMGCL,MUTYH,DDOST,AK2,CCDC28B,SLC9A1,ABCF2,DFFA,SNRNP35,C130060K24RIK,SH2B1,PYCARD,TCEAL6,ADPRHL1,SLC25A15,KIRREL3,SLC37A4,SGPP2,PIK3C3,ALG3,INPP5J,TLE6,ALDH1B1,RNF113A1,ZBTB42,FCRLA,MTG2,NAIF1,ALG1,RABGGTA,RNF167,MSLNL,ENTPD3,ADPRHL2,FBXO40,CCDC88B,IBA57,FFAR2,SPATS2,ISOC2B,CBX7,CPSF3,HIST1H4C,SLC38A10,ZFP467,ELL,TUT1,H2-KE6,MYH7B,TMEM240,LRRC32,POU3F2,NUP62
2	1	TRUE	0.00753	12601	120	99	0.825	0.008	GO:0044464	CC	129	cell part	1	SMARCB1,JUP,PPARD,CCDC97,CLPTM1,IMPDH1,MAP3K11,PIAS4,DDX39,CDK9,DNAJC7,PIPOX,CACNG2,TXNRD1,PLD2,MAP3K14,ADCK1,ECD,PPIF,BAP1,HR,DMTN,DCAF11,ASIC1,SLC29A1,PPIL1,ABCG1,ZFP521,IMPA2,MRPL16,SNX15,MUS81,CAPN1,MYADML2,FBXL15,SBDS,FAM20C,NDUFS1,PKN3,CRAT,PSD4,RALY,DHX35,CASQ2,AHCYL1,SLC50A1,HMGCL,MUTYH,DDOST,AK2,CCDC28B,SLC9A1,ABCF2,DFFA,SNRNP35,C130060K24RIK,SH2B1,PYCARD,TCEAL6,ADPRHL1,SLC25A15,KIRREL3,SLC37A4,SGPP2,PIK3C3,ALG3,INPP5J,TLE6,ALDH1B1,RNF113A1,ZBTB42,FCRLA,MTG2,NAIF1,ALG1,RABGGTA,RNF167,MSLNL,ENTPD3,ADPRHL2,FBXO40,CCDC88B,IBA57,FFAR2,SPATS2,ISOC2B,CBX7,CPSF3,HIST1H4C,SLC38A10,ZFP467,ELL,TUT1,H2-KE6,MYH7B,TMEM240,LRRC32,POU3F2,NUP62
3	1	TRUE	0.0123	10776	120	88	0.733	0.008	GO:0005622	CC	129	intracellular	2	SMARCB1,JUP,PPARD,CCDC97,IMPDH1,MAP3K11,PIAS4,DDX39,CDK9,DNAJC7,PIPOX,TXNRD1,PLD2,MAP3K14,ADCK1,ECD,PPIF,BAP1,HR,DMTN,DCAF11,ASIC1,PPIL1,ABCG1,ZFP521,IMPA2,MRPL16,SNX15,MUS81,CAPN1,MYADML2,FBXL15,SBDS,FAM20C,NDUFS1,PKN3,CRAT,RALY,DHX35,CASQ2,AHCYL1,SLC50A1,HMGCL,MUTYH,DDOST,AK2,CCDC28B,SLC9A1,ABCF2,DFFA,SNRNP35,SH2B1,PYCARD,TCEAL6,ADPRHL1,SLC25A15,SLC37A4,SGPP2,PIK3C3,ALG3,INPP5J,TLE6,ALDH1B1,RNF113A1,ZBTB42,FCRLA,MTG2,NAIF1,ALG1,RABGGTA,RNF167,ADPRHL2,FBXO40,CCDC88B,IBA57,SPATS2,ISOC2B,CBX7,CPSF3,HIST1H4C,SLC38A10,ZFP467,ELL,TUT1,H2-KE6,MYH7B,POU3F2,NUP62
4	1	TRUE	0.032	10674	120	86	0.717	0.008	GO:0044424	CC	129	intracellular part	3	SMARCB1,JUP,PPARD,CCDC97,IMPDH1,MAP3K11,PIAS4,DDX39,CDK9,DNAJC7,PIPOX,TXNRD1,PLD2,MAP3K14,ADCK1,ECD,PPIF,BAP1,HR,DMTN,DCAF11,ASIC1,PPIL1,ABCG1,ZFP521,IMPA2,MRPL16,SNX15,MUS81,CAPN1,MYADML2,FBXL15,SBDS,FAM20C,NDUFS1,CRAT,RALY,DHX35,CASQ2,AHCYL1,SLC50A1,HMGCL,MUTYH,DDOST,AK2,CCDC28B,SLC9A1,ABCF2,DFFA,SNRNP35,SH2B1,PYCARD,TCEAL6,SLC25A15,SLC37A4,SGPP2,PIK3C3,ALG3,INPP5J,TLE6,ALDH1B1,RNF113A1,ZBTB42,FCRLA,MTG2,NAIF1,ALG1,RABGGTA,RNF167,ADPRHL2,FBXO40,CCDC88B,IBA57,SPATS2,ISOC2B,CBX7,CPSF3,HIST1H4C,SLC38A10,ZFP467,ELL,TUT1,H2-KE6,MYH7B,POU3F2,NUP62
5	1	TRUE	0.0102	7972	120	72	0.6	0.009	GO:0043231	CC	73	intracellular membrane-bounded organelle	1	SMARCB1,JUP,PPARD,CCDC97,IMPDH1,PIAS4,DDX39,CDK9,DNAJC7,PIPOX,TXNRD1,PLD2,MAP3K14,ADCK1,ECD,PPIF,BAP1,HR,DMTN,DCAF11,ASIC1,PPIL1,ABCG1,ZFP521,MRPL16,SNX15,MUS81,CAPN1,SBDS,FAM20C,NDUFS1,CRAT,RALY,DHX35,CASQ2,AHCYL1,SLC50A1,HMGCL,MUTYH,DDOST,AK2,SLC9A1,ABCF2,DFFA,SNRNP35,PYCARD,TCEAL6,SLC25A15,SLC37A4,SGPP2,PIK3C3,ALG3,TLE6,ALDH1B1,RNF113A1,ZBTB42,MTG2,NAIF1,ALG1,ADPRHL2,IBA57,ISOC2B,CBX7,CPSF3,HIST1H4C,SLC38A10,ZFP467,ELL,TUT1,H2-KE6,POU3F2,NUP62
6	1	TRUE	0.0452	3	7	1	0.143	0.333	CORUM:1408	cor	25	Ets2-Smarca4-Smarcb1-Smarce1 complex	1	SMARCB1
7	1	TRUE	0.0481	4	7	1	0.143	0.25	CORUM:578	cor	197	PYR complex	1	SMARCB1
8	1	TRUE	0.0452	3	7	1	0.143	0.333	CORUM:2608	cor	170	Brd4-P-TEFb complex	1	CDK9
9	1	TRUE	0.0452	3	7	1	0.143	0.333	CORUM:5292	cor	163	Ets2-Smarca4-Smarcb1-Smarce1 complex	1	SMARCB1
10	1	TRUE	0.0481	4	7	1	0.143	0.25	CORUM:5185	cor	14	SWI/SNF chromatin-remodeling complex (Mecp2, Smarc)	1	SMARCB1
11	1	TRUE	0.0452	3	7	1	0.143	0.333	CORUM:6812	cor	174	Arrb1-Becn1-Pik3c3 complex, induced by (OGD) oxygen-glucose deprivation	1	PIK3C3
12	1	TRUE	0.0452	2	7	1	0.143	0.5	CORUM:5174	cor	177	Smarcb1/Ini1-Smarca2-Mecp2 complex	1	SMARCB1
13	1	TRUE	0.0452	2	7	1	0.143	0.5	CORUM:3230	cor	150	Heterodimer complex (Cdk9, Il6st)	1	CDK9
14	1	TRUE	0.0452	3	7	1	0.143	0.333	CORUM:6663	cor	130	Ezrin-Nherf1-Irbit-NHE3 complex	1	AHCYL1
15	1	TRUE	0.0452	2	7	1	0.143	0.5	CORUM:3883	cor	210	Abcg5-Abcg1 complex	1	ABCG1
16	1	TRUE	0.0163	600	121	14	0.116	0.023	MI:hsa-miR-661	mi	63	MI:hsa-miR-661	1	SMARCB1,JUP,UBTF,DCAF11,EHBP1L1,FAM20C,PKN3,RALY,SLC50A1,MTG2,MSLNL,FAM222A,ISOC2B,H2-KE6
17	1	TRUE	0.0213	577	121	13	0.107	0.023	MI:mmu-miR-718	mi	213	MI:mmu-miR-718	1	CLPTM1,PIAS4,CDK9,CACNG2,SLC29A1,FBXL15,PKN3,DHX35,AK2,ALG3,MSLNL,ADPRHL2,ISOC2B
