query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0485	228	1546	31	0.02	0.136	GO:0043087	BP	128	regulation of GTPase activity	1	DVL3,RGS6,SEMA4D,GSK3B,TBC1D5,MLST8,FGD1,SRGAP2,DAB2IP,RGP1,MTOR,RASGRF1,ARHGAP44,ARHGAP27,ANKRD27,DENND1A,TBC1D9B,GRHL3,TBC1D2B,TBC1D13,RAPGEF1,SGSM1,SIPA1L1,EFNA5,NTF3,TBC1D22A,TBC1D30,ARHGAP24,ARHGAP35,BCAS3,RAPGEF2
2	1	TRUE	0.0348	7	1546	4	0.003	0.571	GO:0098532	BP	273	histone H3-K27 trimethylation	1	CHD5,EZH1,BEND3,HIST1H1E
3	1	TRUE	0.0485	4	1546	3	0.002	0.75	GO:0030046	BP	27	parallel actin filament bundle assembly	1	SPIRE1,FMN2,ESPN
4	1	TRUE	0.0241	53	1546	12	0.008	0.226	GO:0007218	BP	38	neuropeptide signaling pathway	1	AGRP,PYY,GLRA4,GLP1R,PTGDR2,KISS1R,UTS2R,PRLHR,PROKR1,OPRD1,RAPGEF2,SORT1
5	1	TRUE	0.00356	7	1546	5	0.003	0.714	GO:0007210	BP	177	serotonin receptor signaling pathway	1	HTR1A,HTR2B,HTR2A,HTR5A,HTR1B
6	1	TRUE	0.0193	6	1546	4	0.003	0.667	GO:0098664	BP	177	G-protein coupled serotonin receptor signaling pathway	1	HTR1A,HTR2B,HTR5A,HTR1B
7	1	TRUE	0.0485	4	1546	3	0.002	0.75	GO:0007198	BP	177	adenylate cyclase-inhibiting serotonin receptor signaling pathway	1	HTR1A,HTR5A,HTR1B
8	1	TRUE	0.049	126	1546	20	0.013	0.159	GO:0009743	BP	56	response to carbohydrate	1	HNF1B,ERN1,SLC30A8,ADCY5,LRP5,SESN2,ATG7,TRPM4,IRS2,KAT7,ZFP236,SIN3A,PRKCE,GPR68,EFNA5,SARM1,KCNB1,RAB11FIP5,BRSK2,PTPRN2
9	1	TRUE	0.0485	117	1546	19	0.012	0.162	GO:0034284	BP	56	response to monosaccharide	2	HNF1B,ERN1,SLC30A8,ADCY5,LRP5,SESN2,ATG7,TRPM4,IRS2,ZFP236,SIN3A,PRKCE,GPR68,EFNA5,SARM1,KCNB1,RAB11FIP5,BRSK2,PTPRN2
10	1	TRUE	0.0426	115	1546	19	0.012	0.165	GO:0009746	BP	56	response to hexose	3	HNF1B,ERN1,SLC30A8,ADCY5,LRP5,SESN2,ATG7,TRPM4,IRS2,ZFP236,SIN3A,PRKCE,GPR68,EFNA5,SARM1,KCNB1,RAB11FIP5,BRSK2,PTPRN2
11	1	TRUE	0.0367	113	1546	19	0.012	0.168	GO:0009749	BP	56	response to glucose	4	HNF1B,ERN1,SLC30A8,ADCY5,LRP5,SESN2,ATG7,TRPM4,IRS2,ZFP236,SIN3A,PRKCE,GPR68,EFNA5,SARM1,KCNB1,RAB11FIP5,BRSK2,PTPRN2
12	1	TRUE	0.012	55	1546	13	0.008	0.236	GO:0007215	BP	241	glutamate receptor signaling pathway	1	GRIK3,GRID2IP,CACNG2,DAPK1,MAPK8IP2,GNAQ,EPHB2,NLGN3,RASGRF1,DAGLA,ATP1A3,NETO1,KCNB1
13	1	TRUE	1.02e-08	527	1546	86	0.056	0.163	GO:0007610	BP	1	behavior	1	ITGA3,STAT3,AGRP,NCOA2,BBS1,CDH23,PAX5,EPS8,TNR,PYY,SLC12A5,NR2E1,EIF4EBP2,MEIS1,ADCY3,TSHR,UNC79,AMPH,SHC3,AGTPBP1,PDE8B,RNF180,HTR1A,THRB,MAPK8IP2,ADCY5,SLC11A2,GLP1R,SPIRE1,GNAQ,APBA1,HTR2B,ASTN1,DNM1,CHRNA4,CHRNB2,DAB1,EPHB2,ESPN,CCKAR,SLC10A4,MMP17,AUTS2,ATP2B2,ATG7,SRPX2,NLGN3,SLITRK5,CACNA1A,TBR1,TANC1,PCDH17,POMK,ADGRL3,SOBP,RCAN2,SDK1,GPR176,ATP1A3,GRID1,ITPR3,LRRN4,KCNJ10,PRKCE,PRLHR,EIF4G1,GIGYF2,NPY4R,PROKR1,TIFAB,DSCAM,NETO1,OPRD1,CACNA1C,NAV2,ALK,SEZ6L,EN1,LRRTM1,HIPK2,BTBD9,SORCS3,SPTBN2,SLITRK1,SLC8A3,GCNT4
14	1	TRUE	0.0022	216	1546	35	0.023	0.162	GO:0007626	BP	1	locomotory behavior	2	NCOA2,CDH23,EPS8,TNR,MEIS1,TSHR,AGTPBP1,ADCY5,APBA1,ASTN1,DNM1,CHRNA4,CHRNB2,DAB1,ESPN,ATP2B2,ATG7,CACNA1A,ADGRL3,SOBP,RCAN2,ATP1A3,KCNJ10,PRKCE,GIGYF2,DSCAM,OPRD1,CACNA1C,NAV2,ALK,SEZ6L,EN1,LRRTM1,HIPK2,BTBD9
15	1	TRUE	1.84e-05	1309	1546	154	0.1	0.118	GO:0040011	BP	1	locomotion	1	CDH4,ACVR1B,MYO18A,ITGA3,IL17RA,STAT3,BBS1,HYAL1,TTLL5,AMOTL1,EPS8,TNR,MMP9,MYO1C,NR2E1,PTPRK,ARID5B,ASCL1,SRGAP1,DOCK2,STK10,FLT4,OGDH,PIK3CG,ADCY3,MMP28,ITGB3,SPNS3,MYH10,NTN1,TSHR,NUMB,VASH1,SEMA4D,SYK,FGF10,LCP1,MYO10,TYMP,GSK3B,ROPN1,MAPK8IP3,CDH2,TRIM26,LDLRAD4,LRP5,GBF1,RNF165,UNC5A,KLF7,NRP2,HTR2B,SRGAP2,ATP2B4,LHX4,VANGL2,ASTN1,MARK1,PLXNA2,DAB2IP,LHX3,FRMD5,FERMT1,SFRP2,DAB1,EDN2,EPHB2,CSF3R,WASF2,MTOR,DPYSL5,CCKAR,APBB2,PLXNA4,ADD2,PLXNA1,RET,PTPRO,ATP2B2,SRPX2,ADAM9,ADGRG1,CDH13,PLET1,TGFBR2,PIK3CB,KANK1,CHRM1,CSPG4,PTPRM,PTGDR2,PLA2G3,TBR1,IQCG,FGF1,POMK,ADGRL3,TRPM4,SEMA7A,IRS2,LMTK2,CFAP157,ARPIN,ITGA9,CAMK1D,ABHD2,DUSP10,RCAN2,NHSL1,PIK3CD,PTGER4,DAG1,MAGI2,SAA4,ELMO1,TNFRSF18,TEKT3,ISL1,MKL1,LGR6,ONECUT1,DISC1,LY6K,PRKCE,FAM83H,ENO4,EFNA5,NTF3,CFAP46,DSCAM,SYNPO2,FLRT3,B3GNT2,DOCK8,SEMA5B,NUP188,PHACTR1,TNS1,SLIT3,ARHGAP24,LGALS8,FGF18,ARHGAP35,DOCK1,BCAS3,PRCP,RAPGEF2,STK24,ANO6,ANK3,PEAK1,TMEM102,POU3F2,GM45234
16	1	TRUE	0.00558	437	1546	57	0.037	0.13	GO:0042330	BP	1	taxis	2	CDH4,IL17RA,DOCK2,PIK3CG,MMP28,ITGB3,MYH10,NTN1,SEMA4D,SYK,FGF10,TYMP,MAPK8IP3,GBF1,RNF165,UNC5A,KLF7,NRP2,LHX4,VANGL2,PLXNA2,LHX3,EDN2,EPHB2,CSF3R,DPYSL5,APBB2,PLXNA4,PLXNA1,PTPRO,CDH13,PIK3CB,PTPRM,PTGDR2,TBR1,FGF1,TRPM4,SEMA7A,LMTK2,ITGA9,CAMK1D,PIK3CD,DAG1,SAA4,ISL1,EFNA5,NTF3,DSCAM,FLRT3,B3GNT2,SEMA5B,SLIT3,FGF18,ARHGAP35,ANO6,ANK3,TMEM102
