query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0476	6	77	2	0.026	0.333	GO:1901678	BP	254	iron coordination entity transport	1	SLC22A17,ABCB6
2	1	TRUE	0.0248	4	77	2	0.026	0.5	GO:0032782	BP	282	bile acid secretion	1	SLC9A3R1,STARD10
3	1	TRUE	0.0103	42	77	4	0.052	0.095	GO:0021575	BP	116	hindbrain morphogenesis	1	FAIM2,LDB1,CDK5,WHRN
4	1	TRUE	0.016	51	77	4	0.052	0.078	GO:0021695	BP	116	cerebellar cortex development	1	FAIM2,LDB1,CDK5,WHRN
5	1	TRUE	0.0476	31	77	3	0.039	0.097	GO:0021680	BP	116	cerebellar Purkinje cell layer development	2	FAIM2,LDB1,WHRN
6	1	TRUE	0.00957	39	77	4	0.052	0.103	GO:0021587	BP	116	cerebellum morphogenesis	1	FAIM2,LDB1,CDK5,WHRN
7	1	TRUE	0.00852	32	77	4	0.052	0.125	GO:0021696	BP	116	cerebellar cortex morphogenesis	2	FAIM2,LDB1,CDK5,WHRN
8	1	TRUE	0.00516	24	77	4	0.052	0.167	GO:0021697	BP	116	cerebellar cortex formation	3	FAIM2,LDB1,CDK5,WHRN
9	1	TRUE	0.0124	16	77	3	0.039	0.188	GO:0021692	BP	116	cerebellar Purkinje cell layer morphogenesis	1	FAIM2,LDB1,WHRN
10	1	TRUE	0.00957	13	77	3	0.039	0.231	GO:0021694	BP	116	cerebellar Purkinje cell layer formation	2	FAIM2,LDB1,WHRN
