query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0153	6	142	2	0.014	0.333	GO:1900262	BP	42	regulation of DNA-directed DNA polymerase activity	1	RFC4,RFC3
2	1	TRUE	0.0153	6	142	2	0.014	0.333	GO:1900264	BP	42	positive regulation of DNA-directed DNA polymerase activity	1	RFC4,RFC3
3	1	TRUE	0.0215	288	142	8	0.056	0.028	GO:0018205	BP	72	peptidyl-lysine modification	1	PWP1,TADA2A,ACTL6A,BRD7,SETD6,CHEK1,LIPT1,GNL3
4	1	TRUE	0.038	556	142	11	0.077	0.02	GO:0006974	BP	234	cellular response to DNA damage stimulus	1	TFAP4,RFC4,CDC5L,XPA,GTF2H3,MCM7,CHEK1,PLSCR1,RFC3,KIN,RAD9B
5	1	TRUE	0.0432	11	142	2	0.014	0.182	GO:0043922	BP	111	negative regulation by host of viral transcription	1	TFAP4,HDAC1
6	1	TRUE	0.013	54	142	4	0.028	0.074	GO:0051784	BP	50	negative regulation of nuclear division	1	FBXO5,PTTG1,CHEK1,NME6
7	1	TRUE	0.0451	2942	142	34	0.239	0.012	GO:0006996	BP	30	organelle organization	1	PWP1,SYCE2,TADA2A,FBXO5,POC1B,PTTG1,SMN1,HAUS4,MIS18A,KIF18A,RAE1,ACTL6A,XPA,NASP,HP1BP3,HDAC1,MCM7,SSBP1,HAUS7,BRD7,SETD6,CHEK1,NME6,AIFM1,SS18,HAUS1,GNL3,SNIP1,PABPC1L,RPL10-PS3,FXN,TBPL1,ATG4A,GM5093
8	1	TRUE	0.00245	894	142	18	0.127	0.02	GO:0051276	BP	30	chromosome organization	2	PWP1,SYCE2,TADA2A,PTTG1,MIS18A,KIF18A,RAE1,ACTL6A,XPA,NASP,HP1BP3,HDAC1,MCM7,BRD7,SETD6,CHEK1,GNL3,PABPC1L
9	1	TRUE	0.000667	112	142	7	0.049	0.062	GO:0006338	BP	5	chromatin remodeling	1	TADA2A,MIS18A,ACTL6A,NASP,HDAC1,CHEK1,PABPC1L
10	1	TRUE	0.00487	40	142	4	0.028	0.1	GO:0043044	BP	5	ATP-dependent chromatin remodeling	2	MIS18A,ACTL6A,NASP,HDAC1
11	1	TRUE	0.0317	9	142	2	0.014	0.222	GO:0048096	BP	5	chromatin-mediated maintenance of transcription	1	CHEK1,PABPC1L
12	1	TRUE	0.0317	177	142	6	0.042	0.034	GO:0010948	BP	80	negative regulation of cell cycle process	1	TFAP4,FBXO5,PTTG1,BRD7,CHEK1,NME6
13	1	TRUE	0.0451	410	142	9	0.063	0.022	GO:0000226	BP	91	microtubule cytoskeleton organization	1	FBXO5,SMN1,HAUS4,KIF18A,RAE1,HAUS7,CHEK1,SS18,HAUS1
14	1	TRUE	0.0468	136	142	5	0.035	0.037	GO:0007051	BP	91	spindle organization	1	FBXO5,HAUS4,RAE1,HAUS7,HAUS1
15	1	TRUE	0.00407	4896	142	55	0.387	0.011	GO:0071840	BP	48	cellular component organization or biogenesis	1	RRP15,PWP1,SYCE2,TFAP4,SNF8,TADA2A,FBXO5,POC1B,PTTG1,RIOK1,SMN1,NUFIP1,BIN3,HAUS4,LSG1,MIS18A,ELP2,DDX31,CLP1,KIF18A,NOP56,RAE1,ACTL6A,XPA,NASP,EBNA1BP2,HP1BP3,HDAC1,GNL2,MCM7,SSBP1,HAUS7,BRD7,SETD6,MPHOSPH6,CHEK1,PLSCR1,NME6,AIFM1,SS18,SART1,EXOSC2,NUP88,HAUS1,INPP5F,GNL3,SNIP1,UTP18,PABPC1L,RPL10-PS3,FXN,MRPS9,TBPL1,ATG4A,GM5093
