query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0326	692	148	13	0.088	0.019	GO:0000122	BP	274	negative regulation of transcription from RNA polymerase II promoter	1	MNT,NFIX,CIC,ARID1A,DNMT3A,SUFU,HDAC4,NOTCH1,LRP8,NOTCH3,WFS1,BCOR,ZFP668
2	1	TRUE	0.00573	3	148	2	0.014	0.667	GO:0003162	BP	121	atrioventricular node development	1	NOTCH1,MAML1
3	1	TRUE	0.0497	13	148	2	0.014	0.154	GO:0097320	BP	110	plasma membrane tubulation	1	SNX33,MICALL1
4	1	TRUE	0.0223	28	148	3	0.02	0.107	GO:2000058	BP	295	regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	1	SUFU,TRIM67,PTK2B
5	1	TRUE	0.0449	12	148	2	0.014	0.167	GO:2000060	BP	295	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	1	TRIM67,PTK2B
6	1	TRUE	0.0307	9	148	2	0.014	0.222	GO:0072017	BP	330	distal tubule development	1	NOTCH1,JAG1
7	1	TRUE	0.0497	13	148	2	0.014	0.154	GO:0002115	BP	30	store-operated calcium entry	1	STIM1,ORAI2
8	1	TRUE	0.0392	11	148	2	0.014	0.182	GO:0060600	BP	173	dichotomous subdivision of an epithelial terminal unit	1	PLXNA1,PLXND1
9	1	TRUE	0.0136	5	148	2	0.014	0.4	GO:0060666	BP	173	dichotomous subdivision of terminal units involved in salivary gland branching	1	PLXNA1,PLXND1
10	1	TRUE	0.0347	242	148	7	0.047	0.029	GO:0051146	BP	39	striated muscle cell differentiation	1	DYRK1B,ARID1A,KDM6B,HDAC4,NOTCH1,STIM1,MAML1
11	1	TRUE	0.0217	103	148	5	0.034	0.049	GO:0014902	BP	39	myotube differentiation	2	DYRK1B,HDAC4,NOTCH1,STIM1,MAML1
12	1	TRUE	0.0497	13	148	2	0.014	0.154	GO:0010832	BP	39	negative regulation of myotube differentiation	1	HDAC4,NOTCH1
13	1	TRUE	0.0347	10	148	2	0.014	0.2	GO:0072044	BP	256	collecting duct development	1	DLG5,NOTCH1
14	1	TRUE	0.0497	13	148	2	0.014	0.154	GO:1905314	BP	195	semi-lunar valve development	1	NOTCH1,JAG1
15	1	TRUE	0.0307	9	148	2	0.014	0.222	GO:0003177	BP	195	pulmonary valve development	2	NOTCH1,JAG1
16	1	TRUE	0.0307	9	148	2	0.014	0.222	GO:0003184	BP	195	pulmonary valve morphogenesis	3	NOTCH1,JAG1
17	1	TRUE	0.0148	5169	148	57	0.385	0.011	GO:0023052	BP	14	signaling	1	MNT,DVL3,STAT3,ARID1A,LRRK1,GATSL2,RGS9,CCDC88C,DLG5,NISCH,IFNAR1,BRD4,SUFU,PPM1F,HDAC4,LRSAM1,NOTCH1,LRP4,JAG1,DCLK2,LRP8,MFN2,ADCYAP1R1,PLXND1,FAM53B,NLGN3,ADGRA2,CSPG4,ARHGAP44,TRIM67,LARP1,DUSP8,NOTCH3,SV2A,SHANK1,WFS1,PREX1,RAPGEF1,HIP1,TBC1D16,ATP1A3,SARM1,MAML1,RAB11FIP5,PLXNB1,NDST1,ADAM12,SLIT3,PTPRN2,SEZ6L,PTK2B,TAOK2,MAML3,BCL9L,SYNGAP1,ARID1B,PCDHGB4
18	1	TRUE	0.0201	9583	148	91	0.615	0.009	GO:0065007	BP	14	biological regulation	1	MNT,CDH4,MYO18A,NFIX,DYRK1B,DVL3,STAT3,CIC,ARID1A,BCR,SLC41A1,LRRK1,TTBK1,GATSL2,KDM6B,RGS9,DNMT3A,CCDC88C,VASH1,DLG5,NISCH,EXTL3,IFNAR1,GTF2IRD1,BRD4,WIZ,SUFU,PPM1F,HDAC4,LRSAM1,NOTCH1,LRP4,JAG1,SNPH,DCLK2,UBAP2,RGP1,LRP8,MFN2,ADCYAP1R1,PLXNA1,PLXND1,FAM53B,STIM1,NLGN3,ADGRA2,TNPO2,SNX33,CSPG4,TTC28,ARHGAP44,TNKS1BP1,TET3,MYRF,TBC1D9B,TRIM67,LARP1,DUSP8,NOTCH3,SGSM2,SV2A,SHANK1,GPATCH2,WFS1,PREX1,RAPGEF1,HIP1,TBC1D16,BCOR,ATP1A3,KIRREL,EIF4G1,ZFP668,ARHGAP23,SARM1,MAML1,RAB11FIP5,DIS3L2,PLXNB1,NDST1,ADAM12,SLIT3,PTPRN2,SEZ6L,PTK2B,TAOK2,MAML3,RAI1,BCL9L,FKBP15,SYNGAP1
19	1	TRUE	0.00223	1861	148	30	0.203	0.016	GO:0065009	BP	14	regulation of molecular function	2	DVL3,STAT3,BRD4,SUFU,PPM1F,HDAC4,NOTCH1,RGP1,LRP8,PLXND1,STIM1,NLGN3,CSPG4,ARHGAP44,TBC1D9B,DUSP8,SGSM2,SHANK1,GPATCH2,WFS1,PREX1,RAPGEF1,HIP1,TBC1D16,EIF4G1,ARHGAP23,PLXNB1,PTK2B,TAOK2,FKBP15
20	1	TRUE	0.000688	1101	148	23	0.155	0.021	GO:0044093	BP	14	positive regulation of molecular function	3	DVL3,STAT3,BRD4,PPM1F,HDAC4,RGP1,LRP8,PLXND1,STIM1,NLGN3,CSPG4,TBC1D9B,SGSM2,WFS1,PREX1,RAPGEF1,HIP1,TBC1D16,EIF4G1,ARHGAP23,PLXNB1,PTK2B,TAOK2
