query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0462	1	135	1	0.007	1	GO:0043378	BP	165	positive regulation of CD8-positive, alpha-beta T cell differentiation	1	NCKAP1L
2	1	TRUE	0.0462	1	135	1	0.007	1	GO:0097045	BP	30	phosphatidylserine exposure on blood platelet	1	ANO6
3	1	TRUE	0.0328	45	135	3	0.022	0.067	GO:0046847	BP	138	filopodium assembly	1	TGFBR1,ITGA6,FAM65B
4	1	TRUE	0.0462	1	135	1	0.007	1	GO:1904780	BP	6	negative regulation of protein localization to centrosome	1	GSK3B
5	1	TRUE	0.028	141	135	5	0.037	0.035	GO:1904589	BP	79	regulation of protein import	1	TGFBR1,EGFR,GLI3,GSK3B,WWTR1
6	1	TRUE	0.0478	248	135	6	0.044	0.024	GO:0051170	BP	79	nuclear import	1	KPNB1,TGFBR1,EGFR,GLI3,GSK3B,WWTR1
7	1	TRUE	0.0462	243	135	6	0.044	0.025	GO:0006606	BP	79	protein import into nucleus	2	KPNB1,TGFBR1,EGFR,GLI3,GSK3B,WWTR1
8	1	TRUE	0.0472	175	135	5	0.037	0.029	GO:0046822	BP	79	regulation of nucleocytoplasmic transport	1	TGFBR1,EGFR,GLI3,GSK3B,WWTR1
9	1	TRUE	0.0381	97	135	4	0.03	0.041	GO:0046824	BP	79	positive regulation of nucleocytoplasmic transport	1	TGFBR1,EGFR,GLI3,GSK3B
10	1	TRUE	0.0269	139	135	5	0.037	0.036	GO:0042306	BP	79	regulation of protein import into nucleus	1	TGFBR1,EGFR,GLI3,GSK3B,WWTR1
11	1	TRUE	0.0355	14	135	2	0.015	0.143	GO:0060390	BP	79	regulation of SMAD protein import into nucleus	2	TGFBR1,WWTR1
12	1	TRUE	0.0355	14	135	2	0.015	0.143	GO:0015800	BP	119	acidic amino acid transport	1	SLC1A1,SLC7A11
13	1	TRUE	0.0273	41	135	3	0.022	0.073	GO:0006835	BP	119	dicarboxylic acid transport	1	SLC1A1,SLC7A11,NTRK2
14	1	TRUE	0.0355	14	135	2	0.015	0.143	GO:0015813	BP	119	L-glutamate transport	1	SLC1A1,SLC7A11
15	1	TRUE	0.0213	10	135	2	0.015	0.2	GO:1902475	BP	119	L-alpha-amino acid transmembrane transport	1	SLC1A1,SLC7A11
16	1	TRUE	0.00693	5	135	2	0.015	0.4	GO:0089711	BP	119	L-glutamate transmembrane transport	2	SLC1A1,SLC7A11
17	1	TRUE	0.0462	1	135	1	0.007	1	GO:0060875	BP	31	lateral semicircular canal development	1	GLI3
18	1	TRUE	0.0462	1	135	1	0.007	1	GO:1903904	BP	186	negative regulation of establishment of T cell polarity	1	FAM65B
19	1	TRUE	0.0462	1	135	1	0.007	1	GO:0003172	BP	52	sinoatrial valve development	1	MEF2C
20	1	TRUE	0.0462	1	135	1	0.007	1	GO:0003185	BP	52	sinoatrial valve morphogenesis	1	MEF2C
21	1	TRUE	0.0388	15	135	2	0.015	0.133	GO:0007263	BP	9	nitric oxide mediated signal transduction	1	KCNC2,NDNF
22	1	TRUE	0.0462	1	135	1	0.007	1	GO:0070593	BP	164	dendrite self-avoidance	1	DSCAM
23	1	TRUE	0.0462	1	135	1	0.007	1	GO:0090222	BP	115	centrosome-templated microtubule nucleation	1	NIN
24	1	TRUE	0.0213	10	135	2	0.015	0.2	GO:0097091	BP	118	synaptic vesicle clustering	1	CDH2,PCDH17
25	1	TRUE	0.0122	7	135	2	0.015	0.286	GO:2000807	BP	118	regulation of synaptic vesicle clustering	2	CDH2,PCDH17
26	1	TRUE	0.0429	16	135	2	0.015	0.125	GO:0002691	BP	76	regulation of cellular extravasation	1	ABR,FAM65B
27	1	TRUE	0.0388	226	135	6	0.044	0.027	GO:0060070	BP	20	canonical Wnt signaling pathway	1	GLI3,GSK3B,CDH2,WWTR1,CDK14,PPP2R3A
28	1	TRUE	0.0462	173	135	5	0.037	0.029	GO:0060828	BP	20	regulation of canonical Wnt signaling pathway	1	GLI3,CDH2,WWTR1,CDK14,PPP2R3A
29	1	TRUE	0.0372	96	135	4	0.03	0.042	GO:0090090	BP	20	negative regulation of canonical Wnt signaling pathway	2	GLI3,CDH2,WWTR1,PPP2R3A
