name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0008762	embryonic lethality	1763	20	2.39	4.48	5.4e-05	0.009	3.58	1.87	6.78
MP:0000350	abnormal cell proliferation	966	13	2.84	4.17	0.00037	0.031	3.64	1.74	7.2
MP:0001672	abnormal embryo development	1018	13	2.69	3.95	0.00062	0.034	3.43	1.64	6.78
MP:0011702	abnormal fibroblast proliferation	167	5	6.31	4.78	0.0011	0.045	7.17	2.18	18.6
MP:0011186	abnormal visceral endoderm morphology	61	3	10.4	5.07	0.003	0.049	11.6	2.23	37.9
MP:0006254	thin cerebral cortex	114	4	7.4	4.75	0.002	0.049	8.29	2.12	23.5
MP:0011704	decreased fibroblast proliferation	127	4	6.64	4.42	0.003	0.049	7.4	1.89	20.9
MP:0003077	abnormal cell cycle	301	6	4.2	3.9	0.0028	0.049	4.78	1.64	11.5
MP:0000352	decreased cell proliferation	515	8	3.28	3.67	0.0026	0.049	3.82	1.53	8.42
MP:0004196	abnormal prenatal growth/weight/body size	1147	13	2.39	3.47	0.0019	0.049	3	1.43	5.91
