query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0402	26	52	2	0.038	0.077	GO:0036474	BP	13	cell death in response to hydrogen peroxide	1	PSAP,PINK1
2	1	TRUE	0.0427	30	52	2	0.038	0.067	GO:1901031	BP	13	regulation of response to reactive oxygen species	1	PSAP,PINK1
3	1	TRUE	0.0283	20	52	2	0.038	0.1	GO:1901032	BP	13	negative regulation of response to reactive oxygen species	2	PSAP,PINK1
4	1	TRUE	0.0388	24	52	2	0.038	0.083	GO:1903205	BP	13	regulation of hydrogen peroxide-induced cell death	2	PSAP,PINK1
5	1	TRUE	0.0283	20	52	2	0.038	0.1	GO:1903206	BP	13	negative regulation of hydrogen peroxide-induced cell death	3	PSAP,PINK1
6	1	TRUE	0.0473	32	52	2	0.038	0.062	GO:0043627	BP	88	response to estrogen	1	WBP2,CITED4
7	1	TRUE	0.0402	1	52	1	0.019	1	GO:1903850	BP	12	regulation of cristae formation	1	PINK1
8	1	TRUE	0.0402	1	52	1	0.019	1	GO:1903852	BP	12	positive regulation of cristae formation	1	PINK1
9	1	TRUE	0.0402	1	52	1	0.019	1	GO:1905572	BP	68	ganglioside GM1 transport to membrane	1	PSAP
10	1	TRUE	0.0362	23	52	2	0.038	0.087	GO:0072595	BP	39	maintenance of protein localization in organelle	1	PINK1,OS9
11	1	TRUE	0.0402	1576	52	11	0.212	0.007	GO:0009056	BP	8	catabolic process	1	ACADVL,ALAD,PINK1,AZIN2,PKM,PFKM,GPI1,OS9,NUDT18,BSCL2,CTSF
12	1	TRUE	0.0141	380	52	6	0.115	0.016	GO:0055114	BP	8	oxidation-reduction process	1	ACADVL,PINK1,COQ9,PFKM,DCXR,COQ10A
13	1	TRUE	0.0402	1311	52	10	0.192	0.008	GO:1901575	BP	8	organic substance catabolic process	1	ACADVL,ALAD,AZIN2,PKM,PFKM,GPI1,OS9,NUDT18,BSCL2,CTSF
14	1	TRUE	0.0439	1388	52	10	0.192	0.007	GO:0044281	BP	8	small molecule metabolic process	1	ACADVL,PINK1,AZIN2,COQ9,PKM,PFKM,GPI1,DCXR,COQ10A,NUDT18
15	1	TRUE	0.0104	485	52	7	0.135	0.014	GO:0055086	BP	8	nucleobase-containing small molecule metabolic process	2	PINK1,COQ9,PKM,PFKM,GPI1,DCXR,NUDT18
16	1	TRUE	0.00969	211	52	5	0.096	0.024	GO:0009895	BP	8	negative regulation of catabolic process	1	ALAD,PINK1,AZIN2,OS9,BSCL2
17	1	TRUE	0.00622	268	52	6	0.115	0.022	GO:0006091	BP	8	generation of precursor metabolites and energy	1	PINK1,COQ9,PKM,PFKM,GPI1,COQ10A
18	1	TRUE	0.0402	205	52	4	0.077	0.02	GO:0015980	BP	8	energy derivation by oxidation of organic compounds	2	PINK1,COQ9,PFKM,COQ10A
19	1	TRUE	0.0402	350	52	5	0.096	0.014	GO:0005975	BP	8	carbohydrate metabolic process	1	ST6GALNAC6,PKM,PFKM,GPI1,DCXR
20	1	TRUE	0.0362	89	52	3	0.058	0.034	GO:0016052	BP	8	carbohydrate catabolic process	2	PKM,PFKM,GPI1
21	1	TRUE	0.00676	100	52	4	0.077	0.04	GO:0072524	BP	8	pyridine-containing compound metabolic process	1	PKM,PFKM,GPI1,DCXR
22	1	TRUE	0.0402	27	52	2	0.038	0.074	GO:0042181	BP	8	ketone biosynthetic process	1	COQ9,COQ10A
23	1	TRUE	0.00166	265	52	7	0.135	0.026	GO:0051186	BP	8	cofactor metabolic process	1	ALAD,COQ9,PKM,PFKM,GPI1,DCXR,COQ10A
24	1	TRUE	0.00369	214	52	6	0.115	0.028	GO:0006732	BP	8	coenzyme metabolic process	2	COQ9,PKM,PFKM,GPI1,DCXR,COQ10A
25	1	TRUE	0.000276	107	52	6	0.115	0.056	GO:0006733	BP	8	oxidoreduction coenzyme metabolic process	3	COQ9,PKM,PFKM,GPI1,DCXR,COQ10A
26	1	TRUE	0.0402	102	52	3	0.058	0.029	GO:0051188	BP	8	cofactor biosynthetic process	2	ALAD,COQ9,COQ10A
27	1	TRUE	0.0283	20	52	2	0.038	0.1	GO:1901661	BP	8	quinone metabolic process	2	COQ9,COQ10A
28	1	TRUE	0.0121	11	52	2	0.038	0.182	GO:1901663	BP	8	quinone biosynthetic process	3	COQ9,COQ10A
