query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00568	1111	386	45	0.117	0.041	GO:0006952	BP	8	defense response	1	IL17RA,DEFB2,SPACA7,EPPIN,FFAR3,AHSG,PROC,SCGB1A1,LYPD1,IFI202B,ITGB6,FGA,PLA2G1B,REG3G,CD209D,TAGAP,FANCD2,CD207,UBD,HRH4,GRAP2,DEFB36,TICAM1,DEFB15,SPINK5,DEFB35,TRIM31,CXCL2,TRP53,REG3B,WDFY1,4933415F23RIK,GM13304,IGHV3-6,IGHV6-3,CCL21C,HIST1H2BL,IGHV1-69,IGHV1-26,GM13271,IGHV1-9,IGHV5-4,IGHV9-3,IGHV1-63,IGHV1-23
2	1	TRUE	0.0428	565	386	26	0.067	0.046	GO:0045087	BP	8	innate immune response	1	IFI202B,PLA2G1B,REG3G,UBD,GRAP2,DEFB36,TICAM1,DEFB15,DEFB35,TRIM31,TRP53,WDFY1,4933415F23RIK,GM13304,IGHV3-6,IGHV6-3,CCL21C,HIST1H2BL,IGHV1-69,IGHV1-26,GM13271,IGHV1-9,IGHV5-4,IGHV9-3,IGHV1-63,IGHV1-23
3	1	TRUE	0.0428	527	386	25	0.065	0.047	GO:0009617	BP	8	response to bacterium	1	DEFB2,SPACA7,EPPIN,FGA,PLA2G1B,REG3G,CD209D,SCARB1,DEFB36,TICAM1,DEFB15,SPINK5,DEFB35,CXCL2,REG3B,IGHV3-6,IGHV6-3,HIST1H2BL,IGHV1-69,IGHV1-26,IGHV1-9,IGHV5-4,IGHV9-3,IGHV1-63,IGHV1-23
4	1	TRUE	0.00568	488	386	26	0.067	0.053	GO:0098542	BP	8	defense response to other organism	1	IL17RA,DEFB2,SPACA7,EPPIN,FGA,PLA2G1B,REG3G,CD209D,TAGAP,CD207,DEFB36,TICAM1,DEFB15,SPINK5,DEFB35,REG3B,IGHV3-6,IGHV6-3,HIST1H2BL,IGHV1-69,IGHV1-26,IGHV1-9,IGHV5-4,IGHV9-3,IGHV1-63,IGHV1-23
5	1	TRUE	0.00271	331	386	22	0.057	0.066	GO:0042742	BP	8	defense response to bacterium	2	DEFB2,SPACA7,EPPIN,FGA,PLA2G1B,REG3G,CD209D,DEFB36,DEFB15,SPINK5,DEFB35,REG3B,IGHV3-6,IGHV6-3,HIST1H2BL,IGHV1-69,IGHV1-26,IGHV1-9,IGHV5-4,IGHV9-3,IGHV1-63,IGHV1-23
6	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:3019	cor	23	Cohesin complex, incomplete (Smc4, Crest/Ss18I1)	1	SS18L1
7	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:3023	cor	6	Cohesin complex, incomplete (Smc1b, Sycp1, Crest/Ss18I1)	1	SS18L1
8	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:6478	cor	12	Dnm1l-Mief1 complex	1	MIEF1
9	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:3018	cor	30	Cohesin complex, incomplete (Sycp2, Crest/Ss18I1)	1	SS18L1
10	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:1390	cor	26	Rb1-Runx2 complex	1	RUNX2
11	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:398	cor	15	Egasyn-glucuronidase complex	1	CES1E
12	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:5814	cor	25	Tp53-BAK1 complex	1	TRP53
13	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:2684	cor	2	p53-Bcl-xL complex, DNA-damage induced	1	TRP53
14	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:3022	cor	19	Cohesin complex, incomplete (Sycp1, Crest/Ss18I1, Rec8)	1	SS18L1
15	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:690	cor	28	Cd2ap-Synpo complex	1	SYNPO
16	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:2360	cor	29	Itgav-Itgb3-Gsn complex	1	ITGB3
17	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:3021	cor	1	Cohesin complex, incomplete (Smc1b, Crest/Ss18I1)	1	SS18L1
18	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:500	cor	20	Ryk-Wnt3a complex	1	WNT3A
19	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:2591	cor	13	SIRT1-HNF4-alpha-PGC-1-alpha complex, in response to fasting	1	HNF4A
20	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:6694	cor	17	Cxcr2-Nherf1-PLC-beta-2 complex	1	PLCB2
21	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:718	cor	24	TRPV5-S100A10-annexin 2 complex	1	TRPV5
22	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:6305	cor	16	Hoxa9-Meis1-Pbx3 complex	1	HOXA9
23	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:1048	cor	14	Hnf4-Pc4 complex	1	HNF4A
24	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:2682	cor	9	Bcl-xL-p53-PUMA complex, DNA damage induced	1	TRP53
25	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:3024	cor	10	Cohesin complex, incomplete (Smc3, Sycp1, Crest/Ss18I1)	1	SS18L1
26	1	TRUE	0.049	3	13	1	0.077	0.333	CORUM:3014	cor	3	Cohesin complex, incomplete (Stag3, Scp1, Ss181)	1	SS18L1
27	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:3017	cor	31	Cohesin complex, incomplete (Stag3, Crest/Ss18I1)	1	SS18L1
28	1	TRUE	0.049	2	13	1	0.077	0.5	CORUM:3020	cor	18	Cohesin complex, incomplete (Rec8, Crest/Ss18I1)	1	SS18L1
29	1	TRUE	0.00382	87	137	9	0.066	0.103	KEGG:00140	keg	22	Steroid hormone biosynthesis	1	AKR1C18,CYP11B2,HSD17B6,UGT2B34,SRD5A2,CYP2B23,CYP2C50,CYP2D40,CYP2D10
