query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.048	4747	253	80	0.316	0.017	GO:0032502	BP	5	developmental process	1	CDKN1B,RNF168,TAOK1,SUZ12,TROVE2,SMURF2,OSBPL8,SPAG9,HIF1A,RASA1,ZMYM2,RB1,NIPBL,SMCHD1,ROCK1,PTPN2,KIF20B,TNKS2,SMC5,UBE3A,PIAS2,USP33,STAG2,RB1CC1,RDH10,CREB1,AGFG1,CDC73,AHCTF1,RABGAP1L,KIF5C,ATF2,SP3,ITCH,KDM4C,ZDHHC21,N4BP2L2,KBTBD8,CHL1,ATRX,ACSL4,RBM41,PCM1,DDX6,IREB2,TRIP4,PIAS1,FNDC3A,G2E3,UBA6,HOOK3,THOC2,PRKCI,INPP4B,RBPJ,ARID4B,MORC3,NEGR1,GORAB,SUCO,RFX3,ZFP281,SETD2,VPS13A,CLTC,SOCS4,BDNF,NRIP1,PREX2,ACVR2A,NUP107,TCF4,IPMK,PRPF40A,BRWD3,MED14,PGAP1,RC3H2,ZFX,SYNJ2BP
2	1	TRUE	0.00315	143	253	9	0.036	0.063	GO:0098727	BP	5	maintenance of cell number	2	NIPBL,STAG2,CDC73,KDM4C,PCM1,DDX6,HOOK3,RBPJ,MED14
3	1	TRUE	0.00266	139	253	9	0.036	0.065	GO:0019827	BP	5	stem cell population maintenance	3	NIPBL,STAG2,CDC73,KDM4C,PCM1,DDX6,HOOK3,RBPJ,MED14
4	1	TRUE	0.0469	7	253	2	0.008	0.286	GO:0022027	BP	69	interkinetic nuclear migration	1	PCM1,HOOK3
5	1	TRUE	0.00878	4896	253	87	0.344	0.018	GO:0071840	BP	6	cellular component organization or biogenesis	1	CDKN1B,BICD1,PKN2,CTCF,RNF168,TAOK1,SUZ12,TROVE2,PPP1R12A,USP15,TBC1D15,OSBPL8,CNOT6,PUM2,CDC27,SPAG9,HIF1A,ATXN3,NUP153,RASA1,ZMYM2,SKA3,RB1,NIPBL,NUP155,FGD4,CHD1,ROCK1,IWS1,NAPG,KIF20B,TNKS2,SMC5,USP33,STAG2,RB1CC1,CREB1,WDR12,AGFG1,CDC73,AHCTF1,RABGAP1L,KIF5C,ATF2,DHX36,NMD3,KDM4C,SMARCAD1,CHL1,CUL4B,ATRX,ACSL4,PCM1,DDX6,PDS5B,CNOT6L,RSF1,UBA6,HOOK3,THOC2,PRKCI,ASCC3,ARID4B,NEGR1,GORAB,IKZF5,RFX3,WAPL,CAMSAP2,SDHAF3,SETD2,CLTC,BDNF,PREX2,SPTY2D1,BDP1,RLF,NUP107,ATAD2B,TCF4,USP47,PRPF40A,KLHL24,TMED5,BRWD3,SCYL2,SYNJ2BP
6	1	TRUE	0.00878	4756	253	85	0.336	0.018	GO:0016043	BP	6	cellular component organization	2	CDKN1B,BICD1,PKN2,CTCF,RNF168,TAOK1,SUZ12,TROVE2,PPP1R12A,USP15,TBC1D15,OSBPL8,CNOT6,PUM2,CDC27,SPAG9,HIF1A,ATXN3,NUP153,RASA1,ZMYM2,SKA3,RB1,NIPBL,NUP155,FGD4,CHD1,ROCK1,IWS1,NAPG,KIF20B,TNKS2,SMC5,USP33,STAG2,RB1CC1,CREB1,AGFG1,CDC73,AHCTF1,RABGAP1L,KIF5C,ATF2,DHX36,KDM4C,SMARCAD1,CHL1,CUL4B,ATRX,ACSL4,PCM1,DDX6,PDS5B,CNOT6L,RSF1,UBA6,HOOK3,THOC2,PRKCI,ASCC3,ARID4B,NEGR1,GORAB,IKZF5,RFX3,WAPL,CAMSAP2,SDHAF3,SETD2,CLTC,BDNF,PREX2,SPTY2D1,BDP1,RLF,NUP107,ATAD2B,TCF4,USP47,PRPF40A,KLHL24,TMED5,BRWD3,SCYL2,SYNJ2BP
7	1	TRUE	9.89e-05	2942	253	66	0.261	0.022	GO:0006996	BP	6	organelle organization	3	CDKN1B,BICD1,CTCF,RNF168,TAOK1,SUZ12,TROVE2,PPP1R12A,USP15,TBC1D15,OSBPL8,CNOT6,PUM2,CDC27,HIF1A,ATXN3,NUP153,RASA1,ZMYM2,SKA3,RB1,NIPBL,NUP155,CHD1,ROCK1,IWS1,TNKS2,SMC5,USP33,STAG2,RB1CC1,CREB1,AGFG1,CDC73,AHCTF1,RABGAP1L,ATF2,DHX36,KDM4C,SMARCAD1,CUL4B,ATRX,PCM1,DDX6,PDS5B,CNOT6L,RSF1,HOOK3,PRKCI,ASCC3,ARID4B,GORAB,RFX3,WAPL,CAMSAP2,SDHAF3,SETD2,CLTC,SPTY2D1,RLF,NUP107,ATAD2B,PRPF40A,KLHL24,TMED5,BRWD3
8	1	TRUE	0.0424	109	253	6	0.024	0.055	GO:0006997	BP	6	nucleus organization	4	OSBPL8,NUP153,NUP155,AGFG1,AHCTF1,NUP107
9	1	TRUE	0.0169	15	253	3	0.012	0.2	GO:0006999	BP	6	nuclear pore organization	5	NUP153,AHCTF1,NUP107
10	1	TRUE	0.000183	894	253	29	0.115	0.032	GO:0051276	BP	6	chromosome organization	4	CTCF,RNF168,SUZ12,USP15,CDC27,RB1,NIPBL,NUP155,CHD1,IWS1,TNKS2,SMC5,STAG2,CDC73,DHX36,KDM4C,SMARCAD1,CUL4B,ATRX,PDS5B,RSF1,ASCC3,ARID4B,WAPL,SETD2,SPTY2D1,RLF,NUP107,ATAD2B
11	1	TRUE	0.0367	6	253	2	0.008	0.333	GO:0000972	BP	6	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	5	NUP155,NUP107
