name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:17	musculoskeletal system disease	1239	180	1.44	5.75	2.3e-08	1e-05	1.7	1.41	2.04
DOID:0050161	lower respiratory tract disease	656	108	1.63	5.72	6.1e-08	1e-05	1.9	1.5	2.38
DOID:1579	respiratory system disease	691	112	1.61	5.65	8e-08	1e-05	1.86	1.48	2.33
DOID:65	connective tissue disease	1050	156	1.48	5.59	6.4e-08	1e-05	1.72	1.41	2.08
DOID:0014667	disease of metabolism	1280	183	1.42	5.56	5.9e-08	1e-05	1.66	1.38	2
DOID:0080001	bone disease	833	129	1.54	5.53	1.1e-07	1.2e-05	1.78	1.44	2.19
DOID:77	gastrointestinal system disease	1039	153	1.46	5.4	1.6e-07	1.5e-05	1.69	1.39	2.06
DOID:850	lung disease	435	77	1.76	5.46	3.3e-07	2.5e-05	2.03	1.55	2.65
DOID:0060158	acquired metabolic disease	1078	156	1.44	5.22	3.7e-07	2.5e-05	1.66	1.36	2.01
DOID:0050117	disease by infectious agent	1330	185	1.38	5.17	3.9e-07	2.5e-05	1.6	1.33	1.92
DOID:9351	diabetes mellitus	818	124	1.51	5.15	6.9e-07	4.1e-05	1.72	1.39	2.13
DOID:3342	bone inflammation disease	686	107	1.55	5.07	1.2e-06	5.4e-05	1.77	1.4	2.21
DOID:0050013	carbohydrate metabolism disease	858	128	1.48	5.04	1.1e-06	5.4e-05	1.69	1.36	2.09
DOID:4194	glucose metabolism disease	858	128	1.48	5.04	1.1e-06	5.4e-05	1.69	1.36	2.09
DOID:0060056	hypersensitivity reaction disease	828	123	1.48	4.87	2.3e-06	9.9e-05	1.68	1.35	2.07
DOID:848	arthritis	649	101	1.55	4.88	2.7e-06	0.00011	1.75	1.38	2.21
DOID:7148	rheumatoid arthritis	498	81	1.62	4.77	5.5e-06	0.00021	1.83	1.4	2.36
