query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0226	4	112	2	0.018	0.5	GO:1902774	BP	74	late endosome to lysosome transport	1	VPS35,VPS41
2	1	TRUE	0.0392	500	112	10	0.089	0.02	GO:0055080	BP	7	cation homeostasis	1	PDK4,ESR1,SLC22A17,ADCYAP1,ITGAV,SLC9A9,HCRTR2,SCN7A,ATP13A2,GPR17
3	1	TRUE	0.039	116	112	5	0.045	0.043	GO:0051056	BP	32	regulation of small GTPase mediated signal transduction	1	ARAP3,RASGRF1,FRMD7,ARHGAP18,GPR17
4	1	TRUE	0.0367	6	112	2	0.018	0.333	GO:0060526	BP	49	prostate glandular acinus morphogenesis	1	ESR1,SFRP1
5	1	TRUE	0.0367	6	112	2	0.018	0.333	GO:0060527	BP	49	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	2	ESR1,SFRP1
6	1	TRUE	0.024	4896	112	45	0.402	0.009	GO:0071840	BP	35	cellular component organization or biogenesis	1	EGFL6,IPO4,SULF2,NF2,SNAP47,EVI5L,ESR1,P4HA1,NKD2,CAMK2G,TBC1D5,ADCYAP1,ARAP3,NRP1,SGK3,PPM1F,ITGAV,PEX5L,DFFA,RERG,ACAN,MCF2,SRPX2,SFRP1,VPS35,KIFC3,RASGRF1,PTPRF,FAM20B,DYSF,GPC1,DHCR24,FRMD7,ATP13A2,APLN,TNFRSF23,ARHGAP18,SH3KBP1,VPS41,PID1,ATMIN,MRGPRE,REEP1,STK24,BVES
7	1	TRUE	0.018	4756	112	45	0.402	0.009	GO:0016043	BP	35	cellular component organization	2	EGFL6,IPO4,SULF2,NF2,SNAP47,EVI5L,ESR1,P4HA1,NKD2,CAMK2G,TBC1D5,ADCYAP1,ARAP3,NRP1,SGK3,PPM1F,ITGAV,PEX5L,DFFA,RERG,ACAN,MCF2,SRPX2,SFRP1,VPS35,KIFC3,RASGRF1,PTPRF,FAM20B,DYSF,GPC1,DHCR24,FRMD7,ATP13A2,APLN,TNFRSF23,ARHGAP18,SH3KBP1,VPS41,PID1,ATMIN,MRGPRE,REEP1,STK24,BVES
8	1	TRUE	0.00106	1876	112	28	0.25	0.015	GO:0051128	BP	35	regulation of cellular component organization	3	NF2,EVI5L,ESR1,TBC1D5,ARAP3,NRP1,SGK3,PPM1F,ITGAV,DFFA,RERG,SRPX2,SFRP1,VPS35,PTPRF,FAM20B,FRMD7,ATP13A2,APLN,TNFRSF23,ARHGAP18,SH3KBP1,VPS41,PID1,ATMIN,MRGPRE,STK24,BVES
9	1	TRUE	0.00135	4443	112	47	0.42	0.011	GO:0051179	BP	19	localization	1	IPO4,SULF2,NF2,AP1B1,SNAP47,EVI5L,ESR1,NKD2,CAMK2G,SLC22A17,TNFRSF21,TBC1D5,ADCYAP1,ARAP3,NRP1,SGK3,PPM1F,RASSF5,ITGAV,PEX5L,KCNC4,DISP1,SLC9A9,SRPX2,SFRP1,VPS35,RASGRF1,PTPRF,FAM20B,CPLX1,DYSF,DHCR24,ATP13A2,APLN,OSBPL5,ARHGAP18,ITGA9,SH3KBP1,VPS41,KCNS3,PID1,NIPA1,MAFA,MRGPRE,REEP1,STK24,BVES
10	1	TRUE	0.018	3336	112	35	0.312	0.01	GO:0051234	BP	19	establishment of localization	2	IPO4,SULF2,AP1B1,SNAP47,EVI5L,NKD2,CAMK2G,SLC22A17,TNFRSF21,TBC1D5,ADCYAP1,NRP1,SGK3,ITGAV,PEX5L,KCNC4,DISP1,SLC9A9,SFRP1,VPS35,RASGRF1,FAM20B,CPLX1,DYSF,ATP13A2,APLN,OSBPL5,VPS41,KCNS3,PID1,NIPA1,MAFA,MRGPRE,REEP1,BVES
