name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0000920	abnormal myelination	200	35	3.15	7.46	9.6e-10	2.5e-06	3.8	2.53	5.57
MP:0005405	axon degeneration	98	22	4.04	7.35	1.3e-08	1.7e-05	5.1	2.99	8.37
MP:0005403	abnormal nerve conduction	73	18	4.44	7.16	5.9e-08	4.8e-05	5.73	3.14	10
MP:0000921	demyelination	101	21	3.75	6.73	1.1e-07	4.8e-05	4.61	2.69	7.61
MP:0005404	abnormal axon morphology	219	33	2.71	6.23	1.3e-07	4.8e-05	3.16	2.09	4.65
MP:0003634	abnormal glial cell morphology	409	50	2.2	6.03	8.6e-08	4.8e-05	2.52	1.81	3.45
MP:0000952	abnormal CNS glial cell morphology	320	42	2.36	6.02	1.4e-07	4.8e-05	2.71	1.89	3.81
MP:0002752	abnormal somatic nervous system morphology	933	89	1.72	5.61	1.5e-07	4.8e-05	1.96	1.53	2.5
MP:0001056	abnormal cranial nerve morphology	233	34	2.63	6.11	1.8e-07	5.3e-05	3.04	2.03	4.45
MP:0000953	abnormal oligodendrocyte morphology	58	15	4.66	6.78	3.9e-07	1e-04	6.08	3.12	11.3
MP:0002229	neurodegeneration	486	54	2	5.5	6e-07	0.00014	2.26	1.64	3.05
MP:0002182	abnormal astrocyte morphology	186	28	2.71	5.72	1.2e-06	0.00026	3.13	2	4.76
MP:0003871	abnormal myelin sheath morphology	82	17	3.74	6.03	1.9e-06	0.00039	4.57	2.49	7.96
MP:0001106	abnormal Schwann cell morphology	51	13	4.59	6.24	2.8e-06	0.00052	5.94	2.89	11.5
MP:0001105	abnormal PNS glial cell morphology	52	13	4.5	6.14	3.5e-06	0.00061	5.79	2.82	11.2
MP:0002272	abnormal nervous system electrophysiology	339	40	2.13	5.12	4.4e-06	0.00072	2.38	1.65	3.37
MP:0004144	hypotonia	27	9	6.01	6.31	8.9e-06	0.0014	8.64	3.4	20.4
MP:0000745	tremors	313	37	2.13	4.93	9.7e-06	0.0014	2.38	1.62	3.41
MP:0005076	abnormal cell differentiation	712	67	1.7	4.68	1e-05	0.0014	1.88	1.42	2.47
MP:0000909	abnormal facial motor nucleus morphology	16	7	7.88	6.68	1.1e-05	0.0015	13.4	4.22	40.6
MP:0002932	abnormal joint morphology	307	36	2.11	4.81	1.5e-05	0.0019	2.36	1.6	3.39
MP:0002882	abnormal neuron morphology	1515	120	1.43	4.41	1.6e-05	0.0019	1.6	1.29	1.99
MP:0001077	abnormal spinal nerve morphology	126	20	2.86	5.1	1.8e-05	0.002	3.3	1.92	5.41
