name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0009357	abnormal seizure response to inducing agent	190	20	4.96	8.12	3.1e-09	4.2e-06	5.92	3.45	9.71
MP:0002064	seizures	383	28	3.44	7.19	8.3e-09	5.7e-06	4.07	2.59	6.2
MP:0003633	abnormal nervous system physiology	1903	74	1.83	5.99	1.9e-08	8.8e-06	2.39	1.75	3.22
MP:0002915	abnormal synaptic depression	129	15	5.48	7.54	8.4e-08	2.3e-05	6.48	3.44	11.4
MP:0002882	abnormal neuron morphology	1515	62	1.93	5.81	7.9e-08	2.3e-05	2.41	1.75	3.3
MP:0004811	abnormal neuron physiology	667	36	2.54	6.09	1.5e-07	3.4e-05	2.99	2.01	4.36
MP:0001898	abnormal long term depression	95	12	5.95	7.14	7e-07	0.00013	7.03	3.43	13.2
MP:0000947	convulsive seizures	175	16	4.31	6.5	8.7e-07	0.00013	4.96	2.71	8.52
MP:0002206	abnormal CNS synaptic transmission	653	34	2.45	5.67	8.2e-07	0.00013	2.85	1.89	4.19
MP:0004753	abnormal miniature excitatory postsynaptic currents	104	12	5.43	6.7	1.9e-06	0.00026	6.34	3.1	11.9
MP:0003997	tonic-clonic seizures	78	10	6.04	6.58	5.3e-06	6e-04	7.08	3.2	14.1
MP:0003635	abnormal synaptic transmission	740	35	2.23	5.13	5e-06	6e-04	2.57	1.71	3.75
MP:0008540	abnormal cerebral hemisphere morphology	609	30	2.32	4.96	1.2e-05	0.0012	2.64	1.71	3.95
MP:0000787	abnormal telencephalon morphology	808	36	2.1	4.81	1.4e-05	0.0012	2.41	1.62	3.5
MP:0002152	abnormal brain morphology	1633	59	1.7	4.6	1.2e-05	0.0012	2.04	1.47	2.8
MP:0002917	decreased synaptic depression	17	5	13.9	7.81	2.1e-05	0.0018	19.7	5.37	60.8
MP:0001650	abnormal seizure response to electrical stimulation	29	6	9.75	6.95	2.7e-05	0.0021	12.4	4.07	31.7
MP:0009964	abnormal cerebellum lobule morphology	114	11	4.54	5.61	2.9e-05	0.0021	5.15	2.45	9.82
MP:0000783	abnormal forebrain morphology	1011	41	1.91	4.52	3e-05	0.0021	2.2	1.51	3.14
MP:0009358	environmentally induced seizures	45	7	7.33	6.27	4e-05	0.0027	8.76	3.26	20.2
MP:0004166	abnormal limbic system morphology	393	21	2.52	4.53	8.8e-05	0.0057	2.79	1.67	4.47
MP:0001899	absent long term depression	38	6	7.44	5.86	0.00013	0.0077	8.88	3	21.9
MP:0000830	abnormal diencephalon morphology	289	17	2.77	4.5	0.00014	0.0077	3.06	1.72	5.13
