name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0008762	embryonic lethality	1763	514	1.29	7.39	3.1e-13	1.3e-09	1.55	1.38	1.74
MP:0000358	abnormal cell morphology	1156	344	1.32	6.28	6.1e-10	1.1e-06	1.55	1.34	1.78
MP:0005380	embryo phenotype	1722	485	1.25	6.2	7.5e-10	1.1e-06	1.45	1.29	1.64
MP:0004196	abnormal prenatal growth/weight/body size	1147	337	1.3	5.93	4.8e-09	5.1e-06	1.51	1.31	1.74
MP:0014134	abnormal embryo morphology	1333	378	1.26	5.5	4.5e-08	3.9e-05	1.44	1.26	1.64
MP:0011098	embryonic lethality during organogenesis, complete penetrance	751	229	1.35	5.44	8.4e-08	6e-05	1.57	1.33	1.85
MP:0010866	abnormal prenatal body size	862	256	1.32	5.29	1.7e-07	0.00011	1.52	1.29	1.77
MP:0006207	embryonic lethality during organogenesis	942	274	1.29	5.08	4.6e-07	0.00023	1.47	1.26	1.71
MP:0001672	abnormal embryo development	1018	293	1.28	5.06	4.9e-07	0.00023	1.45	1.25	1.68
MP:0001929	abnormal gametogenesis	748	223	1.32	4.97	8.6e-07	0.00037	1.52	1.28	1.79
MP:0003702	abnormal chromosome morphology	73	35	2.13	5.22	1.5e-06	0.00052	3.2	1.96	5.22
MP:0013293	embryonic lethality prior to tooth bud stage	788	232	1.31	4.85	1.5e-06	0.00052	1.49	1.26	1.75
MP:0000282	abnormal interatrial septum morphology	104	45	1.92	5.09	1.8e-06	0.00061	2.66	1.76	4
MP:0002088	abnormal embryonic growth/weight/body size	966	276	1.27	4.74	2.2e-06	0.00067	1.43	1.23	1.67
MP:0003111	abnormal cell nucleus morphology	172	65	1.68	4.83	3.7e-06	0.0011	2.12	1.53	2.93
MP:0010094	abnormal chromosome stability	114	47	1.83	4.81	5.5e-06	0.0015	2.44	1.64	3.61
MP:0002208	abnormal germ cell morphology	622	186	1.33	4.55	6.1e-06	0.0015	1.51	1.26	1.81
MP:0008866	chromosomal instability	112	46	1.82	4.72	7.8e-06	0.0017	2.43	1.62	3.6
