name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0011710	Bundle branch block	63	15	3.51	5.42	1.2e-05	0.013	4.51	2.31	8.36
HP:0002929	Leydig cell insensitivity to gonadotropin	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0003164	Hypothalamic gonadotropin-releasing hormone deficiency	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0030339	Decreased circulating gonadotropin level	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0030346	Abnormal circulating follicle-stimulating hormone level	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0003295	Impaired FSH and LH secretion	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0030341	Decreased circulating follicle stimulating hormone level	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0030344	Decreased circulating luteinizing hormone level	24	8	4.92	5.19	0.00011	0.013	7.07	2.59	17.7
HP:0008197	Absence of pubertal development	25	8	4.72	5.03	0.00016	0.013	6.65	2.46	16.5
HP:0012285	Abnormal hypothalamus physiology	25	8	4.72	5.03	0.00016	0.013	6.65	2.46	16.5
HP:0030345	Abnormal circulating luteinizing hormone level	25	8	4.72	5.03	0.00016	0.013	6.65	2.46	16.5
HP:0003782	Eunuchoid habitus	25	8	4.72	5.03	0.00016	0.013	6.65	2.46	16.5
HP:0012504	Abnormal size of pituitary gland	25	8	4.72	5.03	0.00016	0.013	6.65	2.46	16.5
HP:0012506	Small pituitary gland	25	8	4.72	5.03	0.00016	0.013	6.65	2.46	16.5
HP:0010311	Aplasia/Hypoplasia of the breasts	37	10	3.99	4.92	0.00012	0.013	5.27	2.25	11.4
HP:0011712	Right bundle branch block	57	13	3.36	4.85	7.7e-05	0.013	4.24	2.06	8.15
HP:0011713	Left bundle branch block	45	11	3.61	4.74	0.00014	0.013	4.61	2.08	9.47
HP:0008669	Abnormal spermatogenesis	59	13	3.25	4.7	0.00011	0.013	4.05	1.98	7.76
HP:0000029	Testicular atrophy	46	11	3.53	4.65	0.00018	0.013	4.48	2.02	9.17
HP:0001279	Syncope	76	15	2.91	4.54	0.00013	0.013	3.54	1.84	6.43
HP:0000982	Palmoplantar keratoderma	127	21	2.44	4.45	9.2e-05	0.013	2.89	1.68	4.76
HP:0000789	Infertility	103	18	2.58	4.38	0.00014	0.013	3.07	1.7	5.26
HP:0004408	Abnormality of the sense of smell	152	23	2.23	4.19	0.00017	0.013	2.61	1.56	4.19
HP:0100783	Breast aplasia	33	9	4.02	4.7	0.00024	0.017	5.31	2.15	12
HP:0002225	Sparse pubic hair	27	8	4.37	4.74	0.00028	0.02	5.95	2.23	14.4
HP:0100133	Abnormality of the pubic hair	28	8	4.21	4.6	0.00038	0.024	5.65	2.13	13.6
HP:0000027	Azoospermia	50	11	3.24	4.31	0.00039	0.024	4.01	1.83	8.13
HP:0004756	Ventricular tachycardia	75	14	2.75	4.14	4e-04	0.024	3.29	1.67	6.06
HP:0000025	Functional abnormality of male internal genitalia	121	19	2.32	3.97	4e-04	0.024	2.7	1.53	4.53
HP:0000144	Decreased fertility	141	21	2.2	3.91	0.00042	0.024	2.54	1.49	4.16
HP:0030260	Microphallus	37	9	3.59	4.27	6e-04	0.032	4.55	1.87	10.1
HP:0000458	Anosmia	87	15	2.54	3.93	6e-04	0.032	2.99	1.56	5.37
HP:0100257	Ectrodactyly	79	14	2.61	3.91	0.00069	0.036	3.08	1.57	5.66
HP:0012874	Abnormal male reproductive system physiology	128	19	2.19	3.7	0.00083	0.042	2.52	1.43	4.22
HP:0001962	Palpitations	90	15	2.46	3.78	0.00087	0.043	2.87	1.5	5.14
HP:0000044	Hypogonadotrophic hypogonadism	47	10	3.14	3.98	0.00094	0.044	3.83	1.68	7.99
HP:0000122	Unilateral renal agenesis	47	10	3.14	3.98	0.00094	0.044	3.83	1.68	7.99
HP:0004749	Atrial flutter	73	13	2.63	3.79	0.001	0.046	3.09	1.53	5.8
HP:0030338	Abnormal circulating gonadotropin level	40	9	3.32	3.98	0.0011	0.049	4.11	1.7	8.97
