name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa04141	Protein processing in endoplasmic reticulum	165	126	1.5	6.66	7.5e-12	2e-09	3.22	2.22	4.75
path:hsa04144	Endocytosis	260	182	1.38	6.33	1.1e-10	1.4e-08	2.33	1.77	3.1
path:hsa03018	RNA degradation	77	61	1.56	5.02	2.1e-07	1.9e-05	3.75	2.13	6.98
path:hsa04140	Autophagy - animal	128	92	1.42	4.82	7.5e-07	5.1e-05	2.52	1.69	3.83
path:hsa03015	mRNA surveillance pathway	91	68	1.47	4.6	2.2e-06	1e-04	2.91	1.78	4.9
path:hsa03460	Fanconi anemia pathway	54	44	1.6	4.53	2.6e-06	1e-04	4.31	2.13	9.62
path:hsa04330	Notch signaling pathway	48	40	1.64	4.53	2.5e-06	1e-04	4.89	2.26	12.1
path:hsa04110	Cell cycle	124	88	1.4	4.54	3.1e-06	0.00011	2.41	1.61	3.66
path:hsa00230	Purine metabolism	173	117	1.33	4.49	4e-06	0.00012	2.06	1.48	2.9
path:hsa04360	Axon guidance	175	118	1.33	4.47	4.6e-06	0.00012	2.04	1.47	2.87
path:hsa05200	Pathways in cancer	395	241	1.2	4.2	1.6e-05	0.00039	1.56	1.26	1.93
path:hsa04150	mTOR signaling pathway	150	101	1.33	4.1	2.4e-05	0.00055	2.03	1.42	2.93
path:hsa01521	EGFR tyrosine kinase inhibitor resistance	79	58	1.45	4.05	3e-05	0.00064	2.71	1.61	4.71
path:hsa05231	Choline metabolism in cancer	99	70	1.39	4	3.9e-05	0.00067	2.37	1.51	3.8
path:hsa04137	Mitophagy - animal	65	49	1.48	3.99	3.9e-05	0.00067	3	1.67	5.66
path:hsa05211	Renal cell carcinoma	65	49	1.48	3.99	3.9e-05	0.00067	3	1.67	5.66
path:hsa04010	MAPK signaling pathway	255	160	1.24	3.9	5.7e-05	0.00092	1.66	1.28	2.18
path:hsa03440	Homologous recombination	41	33	1.59	3.82	7.9e-05	0.0012	4.03	1.82	10.1
path:hsa04068	FoxO signaling pathway	131	88	1.32	3.79	9.1e-05	0.0013	2.01	1.38	2.98
path:hsa04910	Insulin signaling pathway	138	92	1.31	3.78	9.9e-05	0.0013	1.97	1.36	2.87
path:hsa04012	ErbB signaling pathway	86	61	1.4	3.76	1e-04	0.0014	2.39	1.47	3.99
path:hsa04071	Sphingolipid signaling pathway	118	80	1.34	3.73	0.00012	0.0015	2.07	1.38	3.14
path:hsa04146	Peroxisome	83	59	1.4	3.73	0.00012	0.0015	2.41	1.47	4.06
path:hsa04810	Regulation of actin cytoskeleton	212	134	1.25	3.68	0.00014	0.0016	1.69	1.27	2.28
path:hsa00310	Lysine degradation	59	44	1.47	3.67	0.00015	0.0016	2.87	1.56	5.56
path:hsa03013	RNA transport	171	110	1.27	3.59	2e-04	0.0021	1.77	1.28	2.48
path:hsa04919	Thyroid hormone signaling pathway	116	78	1.32	3.58	0.00022	0.0022	2.01	1.35	3.06
path:hsa00240	Pyrimidine metabolism	101	69	1.35	3.55	0.00024	0.0023	2.11	1.37	3.33
path:hsa05210	Colorectal cancer	60	44	1.44	3.51	0.00029	0.0027	2.69	1.48	5.11
path:hsa04130	SNARE interactions in vesicular transport	34	27	1.56	3.35	0.00055	0.0048	3.76	1.6	10.2
path:hsa00900	Terpenoid backbone biosynthesis	22	19	1.7	3.34	0.00054	0.0048	6.17	1.81	32.6
path:hsa04015	Rap1 signaling pathway	210	130	1.22	3.28	0.00063	0.0054	1.6	1.2	2.15
path:hsa04152	AMPK signaling pathway	120	78	1.28	3.15	0.001	0.0085	1.82	1.23	2.72
path:hsa04340	Hedgehog signaling pathway	46	34	1.46	3.15	0.0011	0.0085	2.77	1.39	5.88
path:hsa05212	Pancreatic cancer	64	45	1.38	3.14	0.0011	0.0085	2.31	1.32	4.2
path:hsa05214	Glioma	64	45	1.38	3.14	0.0011	0.0085	2.31	1.32	4.2
path:hsa04072	Phospholipase D signaling pathway	145	92	1.25	3.09	0.0013	0.009	1.7	1.2	2.44
path:hsa04921	Oxytocin signaling pathway	152	96	1.24	3.09	0.0012	0.009	1.68	1.19	2.39
path:hsa00280	Valine, leucine and isoleucine degradation	48	35	1.44	3.08	0.0014	0.01	2.63	1.35	5.42
path:hsa04510	Focal adhesion	199	122	1.21	3.02	0.0015	0.011	1.56	1.16	2.11
path:hsa04390	Hippo signaling pathway	153	96	1.24	3	0.0017	0.011	1.65	1.17	2.34
path:hsa05213	Endometrial cancer	50	36	1.42	3.01	0.0018	0.012	2.51	1.32	5.05
path:hsa05131	Shigellosis	65	45	1.36	2.99	0.0019	0.012	2.2	1.27	3.94
path:hsa04211	Longevity regulating pathway	89	59	1.31	2.95	0.0021	0.013	1.92	1.22	3.1
path:hsa04520	Adherens junction	72	49	1.34	2.95	0.0021	0.013	2.08	1.24	3.59
path:hsa04720	Long-term potentiation	67	46	1.35	2.94	0.0022	0.013	2.14	1.25	3.78
path:hsa04320	Dorso-ventral axis formation	28	22	1.55	2.95	0.0023	0.014	3.57	1.4	10.8
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	20	1.58	2.93	0.0025	0.014	3.9	1.42	13.3
path:hsa05100	Bacterial invasion of epithelial cells	76	51	1.32	2.87	0.0028	0.015	1.99	1.21	3.37
path:hsa04070	Phosphatidylinositol signaling system	97	63	1.28	2.81	0.0032	0.017	1.81	1.17	2.84
path:hsa04066	HIF-1 signaling pathway	99	64	1.27	2.78	0.0035	0.019	1.79	1.16	2.79
path:hsa05215	Prostate cancer	87	57	1.29	2.77	0.0037	0.019	1.86	1.17	3
path:hsa00640	Propanoate metabolism	32	24	1.48	2.75	0.0044	0.022	2.92	1.27	7.54
path:hsa04136	Autophagy - other	32	24	1.48	2.75	0.0044	0.022	2.92	1.27	7.54
path:hsa04014	Ras signaling pathway	227	135	1.17	2.67	0.0045	0.023	1.44	1.09	1.91
path:hsa00760	Nicotinate and nicotinamide metabolism	29	22	1.49	2.71	0.0051	0.024	3.06	1.26	8.49
path:hsa04931	Insulin resistance	107	68	1.25	2.67	0.0049	0.024	1.7	1.13	2.6
path:hsa04666	Fc gamma R-mediated phagocytosis	90	58	1.27	2.61	0.0058	0.027	1.77	1.13	2.83
path:hsa00510	N-Glycan biosynthesis	49	34	1.37	2.62	0.0062	0.028	2.21	1.17	4.38
path:hsa05220	Chronic myeloid leukemia	71	47	1.3	2.61	0.006	0.028	1.91	1.14	3.28
