name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa00190	Oxidative phosphorylation	133	43	3.03	8.18	6.8e-12	1.6e-09	4.2	2.82	6.16
path:hsa05012	Parkinson's disease	142	40	2.64	6.84	3.8e-09	4.5e-07	3.42	2.29	5.03
path:hsa04932	Non-alcoholic fatty liver disease (NAFLD)	149	39	2.46	6.21	5.6e-08	4.4e-06	3.09	2.07	4.53
path:hsa05010	Alzheimer's disease	171	42	2.3	5.97	1.2e-07	7.1e-06	2.84	1.94	4.09
path:hsa05016	Huntington's disease	193	45	2.19	5.78	2.2e-07	1e-05	2.65	1.84	3.77
path:hsa04260	Cardiac muscle contraction	78	23	2.77	5.42	3.5e-06	0.00014	3.59	2.09	5.98
path:hsa05169	Epstein-Barr virus infection	199	39	1.84	4.15	1e-04	0.0035	2.1	1.43	3.03
path:hsa04723	Retrograde endocannabinoid signaling	148	30	1.9	3.83	0.00035	0.01	2.18	1.4	3.31
path:hsa05220	Chronic myeloid leukemia	71	17	2.25	3.65	0.00099	0.021	2.68	1.45	4.73
path:hsa05222	Small cell lung cancer	84	19	2.12	3.58	0.0011	0.021	2.49	1.4	4.24
path:hsa04919	Thyroid hormone signaling pathway	116	24	1.94	3.53	0.00099	0.021	2.23	1.35	3.55
path:hsa04611	Platelet activation	123	25	1.91	3.51	0.001	0.021	2.18	1.34	3.44
path:hsa04923	Regulation of lipolysis in adipocytes	54	14	2.43	3.65	0.0012	0.022	2.97	1.49	5.62
path:hsa04933	AGE-RAGE signaling pathway in diabetic complications	99	21	1.99	3.43	0.0014	0.024	2.3	1.34	3.78
path:hsa05110	Vibrio cholerae infection	50	13	2.44	3.53	0.0017	0.025	2.98	1.45	5.77
path:hsa04151	PI3K-Akt signaling pathway	341	54	1.49	3.18	0.0016	0.025	1.63	1.18	2.21
path:hsa05212	Pancreatic cancer	64	15	2.2	3.33	0.0024	0.032	2.6	1.35	4.74
path:hsa04261	Adrenergic signaling in cardiomyocytes	144	27	1.76	3.18	0.0023	0.032	1.97	1.24	3.04
path:hsa05130	Pathogenic Escherichia coli infection	55	13	2.22	3.13	0.0043	0.05	2.62	1.29	5.01
path:hsa05215	Prostate cancer	87	18	1.94	3.05	0.0041	0.05	2.22	1.23	3.8
