name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0001800	abnormal humoral immune response	561	100	1.58	5.08	1.2e-06	0.004	1.79	1.41	2.25
MP:0002490	abnormal immunoglobulin level	519	91	1.56	4.66	7.7e-06	0.0083	1.74	1.36	2.21
MP:0002723	abnormal immune serum protein physiology	1067	165	1.37	4.63	5.4e-06	0.0083	1.53	1.27	1.83
MP:0008096	abnormal plasma cell number	77	22	2.54	4.83	2.5e-05	0.018	3.2	1.85	5.36
MP:0008568	abnormal interleukin secretion	492	85	1.54	4.35	2.7e-05	0.018	1.7	1.32	2.18
MP:0008555	abnormal interferon secretion	320	60	1.67	4.32	4e-05	0.018	1.87	1.38	2.51
MP:0020174	abnormal IgG level	407	72	1.57	4.2	5.2e-05	0.018	1.75	1.32	2.28
MP:0008713	abnormal cytokine level	415	73	1.56	4.18	5.6e-05	0.018	1.73	1.32	2.26
MP:0002459	abnormal B cell physiology	638	104	1.45	4.18	4.3e-05	0.018	1.6	1.27	1.99
MP:0003009	abnormal cytokine secretion	661	107	1.44	4.17	4.5e-05	0.018	1.58	1.26	1.97
MP:0008835	abnormal intercellular signaling peptide or protein level	426	74	1.54	4.09	7.6e-05	0.022	1.71	1.3	2.22
MP:0001819	abnormal immune cell physiology	1428	203	1.26	3.85	1e-04	0.028	1.38	1.17	1.63
MP:0002439	abnormal plasma cell morphology	91	23	2.25	4.25	0.00013	0.029	2.71	1.6	4.42
MP:0003945	abnormal lymphocyte physiology	1033	153	1.32	3.84	0.00012	0.029	1.44	1.18	1.73
MP:0002421	abnormal cell-mediated immunity	1439	204	1.26	3.82	0.00012	0.029	1.38	1.16	1.63
MP:0008559	abnormal interferon-gamma secretion	280	52	1.65	3.94	0.00017	0.03	1.84	1.33	2.52
MP:0002406	increased susceptibility to infection	443	75	1.5	3.88	0.00016	0.03	1.65	1.26	2.15
MP:0002452	abnormal professional antigen presenting cell physiology	967	144	1.32	3.78	0.00015	0.03	1.44	1.18	1.75
MP:0002420	abnormal adaptive immunity	1459	205	1.25	3.69	0.00019	0.032	1.36	1.15	1.61
MP:0012382	abnormal blood cell physiology	1515	211	1.24	3.6	0.00025	0.041	1.35	1.14	1.59
MP:0001805	decreased IgG level	258	48	1.65	3.79	0.00028	0.042	1.84	1.31	2.55
MP:0008751	abnormal interleukin level	286	52	1.62	3.77	0.00029	0.042	1.79	1.29	2.45
MP:0008098	decreased plasma cell number	31	11	3.15	4.28	0.00035	0.044	4.37	1.89	9.61
MP:0020175	abnormal IgG1 level	232	44	1.69	3.77	0.00032	0.044	1.88	1.32	2.65
MP:0002412	increased susceptibility to bacterial infection	261	48	1.63	3.7	0.00037	0.044	1.81	1.29	2.51
MP:0010210	abnormal circulating cytokine level	317	56	1.57	3.68	0.00036	0.044	1.73	1.26	2.34
MP:0002442	abnormal leukocyte physiology	1401	196	1.24	3.52	0.00035	0.044	1.35	1.14	1.6
