name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0001274	Agenesis of corpus callosum	215	72	1.6	4.69	6e-06	0.0093	2.01	1.47	2.72
HP:0001156	Brachydactyly syndrome	277	88	1.52	4.64	6.3e-06	0.0093	1.87	1.41	2.46
HP:0000676	Abnormality of the incisor	48	23	2.29	4.64	2.4e-05	0.015	3.56	1.92	6.59
HP:0006288	Advanced eruption of teeth	48	23	2.29	4.64	2.4e-05	0.015	3.56	1.92	6.59
HP:0004299	Hernia of the abdominal wall	326	98	1.44	4.28	2.5e-05	0.015	1.73	1.33	2.23
HP:0010866	Abdominal wall defect	328	98	1.43	4.21	3.3e-05	0.015	1.71	1.31	2.21
HP:0011927	Short digit	390	113	1.39	4.17	3.6e-05	0.015	1.64	1.29	2.09
HP:0008678	Renal hypoplasia/aplasia	264	81	1.47	4.07	6.2e-05	0.023	1.76	1.32	2.33
HP:0011064	Abnormal number of incisors	23	13	2.71	4.22	0.00018	0.027	4.99	2.01	12.8
HP:0006292	Abnormality of dental eruption	173	57	1.58	4	9.9e-05	0.027	1.93	1.37	2.71
HP:0000889	Abnormality of the clavicle	90	34	1.81	3.99	0.00015	0.027	2.36	1.48	3.72
HP:0011356	Regional abnormality of skin	280	84	1.44	3.91	0.00011	0.027	1.7	1.28	2.25
HP:0009803	Short phalanx of finger	149	50	1.61	3.89	0.00016	0.027	1.98	1.37	2.84
HP:0004298	Abnormality of the abdominal wall	379	108	1.36	3.86	0.00012	0.027	1.6	1.24	2.04
HP:0011361	Congenital abnormal hair pattern	135	46	1.63	3.84	2e-04	0.027	2.02	1.37	2.95
HP:0009767	Aplasia/Hypoplasia of the phalanges of the hand	173	56	1.55	3.81	2e-04	0.027	1.88	1.33	2.64
HP:0001273	Abnormality of the corpus callosum	503	137	1.3	3.79	0.00014	0.027	1.51	1.21	1.89
HP:0100790	Hernia	365	104	1.36	3.78	0.00016	0.027	1.59	1.24	2.04
HP:0007477	Abnormal dermatoglyphics	185	59	1.53	3.78	0.00021	0.027	1.84	1.31	2.56
HP:0005607	Abnormality of the tracheobronchial system	236	72	1.46	3.77	2e-04	0.027	1.74	1.28	2.34
HP:0003026	Short long bone	170	55	1.55	3.77	0.00023	0.027	1.88	1.32	2.64
HP:0002500	Abnormality of the cerebral white matter	538	145	1.29	3.76	0.00015	0.027	1.5	1.2	1.85
HP:0006483	Abnormal number of teeth	213	66	1.48	3.74	0.00023	0.027	1.77	1.29	2.41
HP:0011603	Congenital malformation of the great arteries	318	92	1.39	3.7	0.00022	0.027	1.62	1.24	2.11
HP:0007370	Aplasia/Hypoplasia of the corpus callosum	495	134	1.3	3.65	0.00023	0.027	1.5	1.19	1.87
HP:0000528	Anophthalmia	61	25	1.96	3.9	0.00026	0.029	2.69	1.54	4.64
HP:0002474	Expressive language delay	11	8	3.48	4.24	0.00032	0.031	10.2	2.44	59.8
HP:0009914	Cyclopia	16	10	2.99	4.1	0.00035	0.031	6.38	2.09	21.4
HP:0001592	Selective tooth agenesis	30	15	2.39	3.94	0.00036	0.031	3.84	1.74	8.48
HP:0000695	Natal tooth	39	18	2.21	3.9	0.00033	0.031	3.3	1.65	6.55
HP:0003839	Abnormality of upper limb epiphysis morphology	58	24	1.98	3.87	0.00029	0.031	2.73	1.54	4.78
HP:0005914	Aplasia/Hypoplasia involving the metacarpal bones	108	38	1.68	3.71	0.00034	0.031	2.11	1.37	3.21
HP:0000023	Inguinal hernia	172	55	1.53	3.67	0.00032	0.031	1.84	1.3	2.59
HP:0002644	Abnormality of pelvic girdle bone morphology	421	116	1.32	3.59	3e-04	0.031	1.52	1.2	1.93
HP:0000599	Abnormality of the frontal hairline	80	30	1.8	3.7	0.00042	0.032	2.33	1.42	3.76
HP:0003307	Hyperlordosis	135	45	1.6	3.63	4e-04	0.032	1.95	1.32	2.85
HP:0001163	Abnormality of the metacarpal bones	181	57	1.51	3.6	0.00039	0.032	1.8	1.28	2.52
HP:0008050	Abnormality of the palpebral fissures	566	149	1.26	3.48	4e-04	0.032	1.44	1.16	1.78
HP:0006315	Single median maxillary incisor	19	11	2.77	3.98	0.00044	0.033	5.27	1.92	15.2
HP:0010049	Short metacarpal	102	36	1.69	3.63	0.00045	0.033	2.12	1.36	3.26
HP:0002823	Abnormality of the femur	186	58	1.49	3.55	0.00046	0.033	1.78	1.27	2.47
HP:0000164	Abnormality of the teeth	682	175	1.23	3.42	0.00047	0.033	1.4	1.15	1.71
HP:0000888	Horizontal ribs	14	9	3.08	4	0.00052	0.034	6.89	2.07	26.2
HP:0010454	Acetabular spurs	14	9	3.08	4	0.00052	0.034	6.89	2.07	26.2
HP:0100710	Impulsivity	25	13	2.49	3.84	0.00055	0.034	4.16	1.74	10
HP:0000384	Preauricular skin tag	50	21	2.01	3.7	0.00054	0.034	2.79	1.5	5.11
HP:0010579	Cone-shaped epiphysis	57	23	1.93	3.65	0.00059	0.034	2.61	1.46	4.6
HP:0009553	Abnormality of the hairline	125	42	1.61	3.56	0.00052	0.034	1.97	1.31	2.92
