name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-72766	Translation	258	177	2.8	16.7	9.3e-52	1e-48	7.17	5.46	9.49
R-HSA-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	118	90	3.11	13.1	1.7e-32	9.7e-30	10.2	6.61	16.3
R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport	165	111	2.74	12.9	1.7e-31	6.3e-29	6.58	4.7	9.32
R-HSA-72689	Formation of a pool of free 40S subunits	101	80	3.23	12.8	4.7e-31	1.3e-28	12.1	7.38	20.6
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	93	75	3.29	12.6	3.8e-30	8e-28	13.2	7.8	23.5
R-HSA-611105	Respiratory electron transport	95	76	3.26	12.6	4.3e-30	8e-28	12.7	7.57	22.3
R-HSA-5663205	Infectious disease	326	173	2.17	12.2	1.9e-29	3e-27	3.67	2.92	4.62
R-HSA-72613	Eukaryotic Translation Initiation	119	86	2.95	12.2	3.6e-28	4.4e-26	8.28	5.47	12.8
R-HSA-72737	Cap-dependent Translation Initiation	119	86	2.95	12.2	3.6e-28	4.4e-26	8.28	5.47	12.8
R-HSA-192823	Viral mRNA Translation	89	71	3.26	12.2	4.8e-28	5.3e-26	12.5	7.34	22.3
R-HSA-5389840	Mitochondrial translation elongation	84	68	3.3	12.1	1.2e-27	1.3e-25	13.4	7.69	24.9
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	111	81	2.98	11.9	4.4e-27	3.9e-25	8.57	5.55	13.5
R-HSA-392499	Metabolism of proteins	1907	654	1.4	11	4.5e-27	3.9e-25	1.83	1.64	2.04
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	95	73	3.14	11.9	6.3e-27	5.1e-25	10.5	6.43	17.8
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	112	81	2.95	11.8	1.2e-26	9.1e-25	8.29	5.4	13
R-HSA-5419276	Mitochondrial translation termination	86	68	3.23	11.8	1.7e-26	1.2e-24	11.9	7	21.4
R-HSA-5368287	Mitochondrial translation	87	68	3.19	11.7	6.1e-26	4e-24	11.3	6.7	20
R-HSA-168273	Influenza Viral RNA Transcription and Replication	133	88	2.7	11.2	2e-24	1.3e-22	6.21	4.27	9.13
R-HSA-168255	Influenza Life Cycle	143	91	2.6	11	2.2e-23	1.3e-21	5.56	3.9	8
R-HSA-927802	Nonsense-Mediated Decay (NMD)	115	77	2.73	10.6	5.2e-22	2.8e-20	6.41	4.28	9.75
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	115	77	2.73	10.6	5.2e-22	2.8e-20	6.41	4.28	9.75
R-HSA-8953854	Metabolism of RNA	646	265	1.67	10.1	7.9e-22	4e-20	2.28	1.93	2.69
R-HSA-168254	Influenza Infection	154	93	2.46	10.4	1.7e-21	8.1e-20	4.84	3.46	6.82
R-HSA-72312	rRNA processing	201	108	2.19	9.73	2.7e-19	1.3e-17	3.7	2.76	4.95
R-HSA-6799198	Complex I biogenesis	55	45	3.34	9.91	4.8e-19	2.2e-17	14.1	6.99	31.4
R-HSA-1430728	Metabolism	1899	618	1.33	9.04	6.6e-19	2.9e-17	1.65	1.48	1.84
R-HSA-8868773	rRNA processing in the nucleus and cytosol	191	103	2.2	9.54	1.3e-18	5.5e-17	3.72	2.76	5.02
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	182	98	2.2	9.29	1e-17	4.2e-16	3.7	2.73	5.03
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	51	40	3.2	8.98	7.2e-16	2.8e-14	11.4	5.71	24.6
R-HSA-162906	HIV Infection	184	95	2.11	8.63	1.2e-15	4.6e-14	3.38	2.49	4.58
R-HSA-180534	Vpu mediated degradation of CD4	52	40	3.14	8.81	2.4e-15	8.1e-14	10.4	5.35	21.9
R-HSA-180585	Vif-mediated degradation of APOBEC3G	54	41	3.1	8.81	2.4e-15	8.1e-14	9.86	5.17	20.1
