name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0000411	Protruding ear	85	20	3.84	6.77	9.3e-08	0.00018	5.09	2.86	8.72
HP:0002007	Frontal bossing	323	40	2.02	4.92	6.9e-06	0.0044	2.43	1.64	3.53
HP:0011218	Abnormal shape of the frontal region	323	40	2.02	4.92	6.9e-06	0.0044	2.43	1.64	3.53
HP:0000912	Sprengel anomaly	35	10	4.66	5.56	2.9e-05	0.014	6.37	2.69	14
HP:0011800	Midface retrusion	177	25	2.31	4.55	5.2e-05	0.02	2.72	1.66	4.29
HP:0002091	Restrictive ventilatory defect	73	14	3.13	4.7	1e-04	0.032	3.82	1.93	7.07
HP:0005368	Abnormality of humoral immunity	191	25	2.14	4.13	0.00019	0.048	2.48	1.52	3.9
HP:0000520	Proptosis	204	26	2.08	4.06	0.00021	0.048	2.41	1.49	3.76
HP:0011844	Abnormal appendicular skeleton morphology	1199	98	1.33	3.64	0.00023	0.048	1.67	1.25	2.22
HP:0012369	Abnormality of malar bones	340	37	1.78	3.85	0.00027	0.05	2.05	1.37	3
HP:0040068	Abnormality of limb bone	1160	95	1.34	3.58	0.00029	0.05	1.66	1.24	2.21
