name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0005311	abnormal circulating amino acid level	239	21	3.51	6.31	5.2e-07	0.00076	4.03	2.39	6.48
MP:0005332	abnormal amino acid level	299	23	3.08	5.84	1.5e-06	0.0011	3.5	2.13	5.5
MP:0013274	abnormal vitamin or vitamin cofactor metabolism	13	5	15.4	8.31	1e-05	0.0025	24.8	6.34	87.1
MP:0013244	abnormal vitamin metabolism	13	5	15.4	8.31	1e-05	0.0025	24.8	6.34	87.1
MP:0011233	abnormal vitamin A metabolism	13	5	15.4	8.31	1e-05	0.0025	24.8	6.34	87.1
MP:0005400	abnormal vitamin level	58	9	6.21	6.37	1.2e-05	0.0025	7.41	3.16	15.5
MP:0000462	abnormal digestive system morphology	1053	49	1.86	4.75	1e-05	0.0025	2.14	1.52	2.98
MP:0003977	abnormal circulating carnitine level	14	5	14.3	7.97	1.6e-05	0.0029	22.1	5.77	74
MP:0004019	abnormal vitamin homeostasis	63	9	5.71	6.01	2.4e-05	0.0039	6.72	2.88	13.9
MP:0011232	abnormal vitamin A level	16	5	12.5	7.37	3.3e-05	0.0044	18.1	4.88	57.1
MP:0009643	abnormal urine homeostasis	461	27	2.34	4.73	3.1e-05	0.0044	2.61	1.66	3.97
MP:0005328	abnormal circulating creatinine level	162	14	3.46	5.05	5.2e-05	0.0064	3.86	2.03	6.82
MP:0011234	abnormal retinol level	10	4	16	7.6	7.1e-05	0.0075	26.4	5.44	112
MP:0005401	abnormal fat-soluble vitamin level	42	7	6.67	5.89	7.1e-05	0.0075	8.01	2.97	18.6
MP:0005367	renal/urinary system phenotype	1190	50	1.68	4.03	0.00012	0.012	1.91	1.36	2.64
MP:0006264	decreased systemic arterial systolic blood pressure	48	7	5.83	5.38	0.00017	0.015	6.83	2.56	15.6
MP:0005502	abnormal renal/urinary system physiology	708	34	1.92	4.08	0.00016	0.015	2.13	1.42	3.11
MP:0005553	increased circulating creatinine level	104	10	3.85	4.67	0.00026	0.02	4.29	1.96	8.39
MP:0002962	increased urine protein level	167	13	3.11	4.41	0.00028	0.02	3.43	1.76	6.16
MP:0005381	digestive/alimentary phenotype	1328	53	1.6	3.76	0.00028	0.02	1.8	1.29	2.48
MP:0002662	abnormal cauda epididymis morphology	14	4	11.4	6.25	0.00031	0.021	15.8	3.6	55.4
MP:0000452	abnormal mouth morphology	529	27	2.04	3.95	0.00031	0.021	2.24	1.43	3.4
MP:0000116	abnormal tooth development	78	8	4.1	4.41	7e-04	0.041	4.58	1.88	9.68
MP:0002981	increased liver weight	138	11	3.19	4.15	0.00067	0.041	3.5	1.68	6.59
MP:0006315	abnormal urine protein level	183	13	2.84	4.03	0.00067	0.041	3.1	1.59	5.55
MP:0001756	abnormal urination	162	12	2.96	4.04	0.00074	0.042	3.23	1.61	5.93
MP:0002871	albuminuria	81	8	3.95	4.27	9e-04	0.047	4.39	1.8	9.26
MP:0004258	abnormal placenta size	101	9	3.56	4.15	0.00093	0.047	3.93	1.72	7.92
MP:0002100	abnormal tooth morphology	213	14	2.63	3.85	9e-04	0.047	2.85	1.51	5.01
MP:0005253	abnormal eye physiology	483	24	1.99	3.57	0.00099	0.049	2.16	1.34	3.34
MP:0010957	abnormal aerobic respiration	32	5	6.25	4.76	0.0011	0.05	7.35	2.19	19.6
MP:0008140	podocyte foot process effacement	47	6	5.11	4.52	0.001	0.05	5.83	2	14
