query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0463	2314	113	26	0.23	0.011	GO:0051239	BP	70	regulation of multicellular organismal process	1	IL17RA,CORIN,C1QTNF1,IRF4,PTCH1,DLG1,RACGAP1,LBH,MAN2A1,DSC2,IGFBP5,FN1,PTPRD,CDH5,RORA,IGSF10,VNN1,PIK3R1,MAPK6,LMOD3,IL27,SOX6,BPI,SOCS3,NTRK2,BCL2
2	1	TRUE	0.0138	904	113	16	0.142	0.018	GO:0022610	BP	30	biological adhesion	1	C1QTNF1,UTRN,PECAM1,DLG1,DSC2,PODXL,FN1,PTPRD,CTNND1,VNN1,ITGA9,PIK3R1,IL27,LAX1,PCDH15,BCL2
3	1	TRUE	0.0138	892	113	16	0.142	0.018	GO:0007155	BP	30	cell adhesion	2	C1QTNF1,UTRN,PECAM1,DLG1,DSC2,PODXL,FN1,PTPRD,CTNND1,VNN1,ITGA9,PIK3R1,IL27,LAX1,PCDH15,BCL2
4	1	TRUE	0.0463	587	113	11	0.097	0.019	GO:0098609	BP	30	cell-cell adhesion	3	C1QTNF1,DLG1,DSC2,PODXL,PTPRD,CDH5,CTNND1,VNN1,IL27,LAX1,BCL2
5	1	TRUE	0.0387	25	113	3	0.027	0.12	GO:0014910	BP	45	regulation of smooth muscle cell migration	1	IGFBP5,SEMA6D,BCL2
6	1	TRUE	0.0474	29	113	3	0.027	0.103	GO:0048741	BP	71	skeletal muscle fiber development	1	P2RX2,LMOD3,BCL2
7	1	TRUE	0.0463	115	113	5	0.044	0.043	GO:0072006	BP	12	nephron development	1	PTCH1,DLG1,PODXL,CTNND1,BCL2
8	1	TRUE	0.0474	3725	113	36	0.319	0.01	GO:0048731	BP	69	system development	1	CORIN,LRRC8A,ADAM19,LAMA4,PECAM1,IRF4,PTCH1,DLG1,RACGAP1,LBH,MAN2A1,PODXL,IGFBP5,FN1,SEMA6D,PDGFC,PTPRD,P2RX2,LRIG1,ETV6,CDH5,RORA,CTNND1,IGSF10,VNN1,L3MBTL3,PIK3R1,MAPK6,LMOD3,IL27,GPR157,SOX6,PCDH15,SOCS3,NTRK2,BCL2
9	1	TRUE	0.0495	4628	113	42	0.372	0.009	GO:0048518	BP	13	positive regulation of biological process	1	IL17RA,GRK5,C1QTNF1,UTRN,GRB10,PECAM1,SPTLC2,IRF4,PTCH1,DLG1,ILDR1,RACGAP1,LBH,MAN2A1,TBL1X,PODXL,BACH1,IGFBP5,FN1,SEMA6D,PDGFC,PTPRD,EPB41,ETV6,CDH5,RORA,CTNND1,VNN1,TSPAN14,AKAP12,HIP1,PIK3R1,MACC1,MAPK6,LMOD3,IL27,SOX6,LAX1,SOCS3,NTRK2,BCL2,FBXO18
10	1	TRUE	0.0463	4136	113	39	0.345	0.009	GO:0048522	BP	13	positive regulation of cellular process	2	IL17RA,GRK5,C1QTNF1,GRB10,PECAM1,SPTLC2,IRF4,PTCH1,DLG1,ILDR1,RACGAP1,LBH,MAN2A1,TBL1X,PODXL,BACH1,IGFBP5,FN1,SEMA6D,PDGFC,PTPRD,ETV6,CDH5,RORA,CTNND1,VNN1,TSPAN14,AKAP12,HIP1,PIK3R1,MACC1,MAPK6,LMOD3,IL27,SOX6,SOCS3,NTRK2,BCL2,FBXO18
11	1	TRUE	0.0387	9583	113	73	0.646	0.008	GO:0065007	BP	56	biological regulation	1	IL17RA,GRK5,CORIN,AMPD3,LRRC8A,C1QTNF1,TNFAIP1,UTRN,SRGAP1,GRB10,PECAM1,SPTLC2,RGS6,GPR132,IRF4,PTCH1,DEPTOR,DLG1,ILDR1,RACGAP1,LBH,MAN2A1,DSC2,TBL1X,PODXL,BACH1,IGFBP5,FN1,RGS16,SEMA6D,PDGFC,PTPRD,EPB41,P2RX2,ETV6,ZFP275,CDH5,SESN3,RORA,FAM83B,CYSLTR2,PXK,CTNND1,DCBLD2,IGSF10,PLCH1,TBC1D2B,VNN1,DTL,TSPAN14,AKAP12,USP6NL,L3MBTL3,HIP1,PIK3R1,MACC1,MAPK6,LMOD3,IL27,GPR157,LRRC3,SOX6,LAX1,PCDH15,BPI,SOCS3,NTRK2,BCL2,FBXO18,RCAN3,CTTNBP2NL,OLFR110,OLFR898
12	1	TRUE	0.0474	29	113	3	0.027	0.103	GO:0048009	BP	26	insulin-like growth factor receptor signaling pathway	1	GRB10,IGFBP5,PIK3R1
13	1	TRUE	0.0323	5169	113	47	0.416	0.009	GO:0023052	BP	39	signaling	1	GRK5,LRRC8A,C1QTNF1,TNFAIP1,SRGAP1,GRB10,PECAM1,RGS6,IRF4,PTCH1,DEPTOR,DLG1,ILDR1,LBH,DSC2,TBL1X,IGFBP5,FN1,RGS16,PDGFC,PTPRD,P2RX2,CDH5,SESN3,RORA,FAM83B,CYSLTR2,PXK,CTNND1,PLCH1,VNN1,TSPAN14,AKAP12,HIP1,PIK3R1,IL27,GPR157,LRRC3,LAX1,PCDH15,SOCS3,NTRK2,BCL2,FBXO18,RCAN3,OLFR110,OLFR898
14	1	TRUE	0.0463	2848	113	30	0.265	0.011	GO:0048583	BP	39	regulation of response to stimulus	1	IL17RA,C1QTNF1,TNFAIP1,GRB10,PECAM1,IRF4,PTCH1,DEPTOR,DLG1,LBH,IGFBP5,FN1,PDGFC,PTPRD,SESN3,RORA,CTNND1,VNN1,TSPAN14,AKAP12,HIP1,PIK3R1,IL27,LRRC3,LAX1,SOCS3,NTRK2,BCL2,FBXO18,RCAN3
15	1	TRUE	0.0138	1197	113	19	0.168	0.016	GO:0048585	BP	39	negative regulation of response to stimulus	2	C1QTNF1,TNFAIP1,GRB10,IRF4,PTCH1,DEPTOR,DLG1,LBH,IGFBP5,PTPRD,SESN3,RORA,CTNND1,VNN1,LRRC3,LAX1,SOCS3,BCL2,FBXO18
