name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0001545	abnormal hematopoietic system physiology	1616	47	2.41	6.89	8.1e-10	8.9e-07	3.5	2.34	5.2
MP:0011182	decreased hematopoietic cell number	1508	43	2.36	6.39	1.2e-08	5.5e-06	3.28	2.18	4.88
MP:0005016	decreased lymphocyte cell number	1006	33	2.72	6.38	4.6e-08	5.5e-06	3.52	2.26	5.37
MP:0002619	abnormal lymphocyte morphology	1368	40	2.42	6.3	2.5e-08	5.5e-06	3.28	2.16	4.92
MP:0000221	decreased leukocyte cell number	1275	38	2.47	6.24	4e-08	5.5e-06	3.29	2.15	4.96
MP:0002421	abnormal cell-mediated immunity	1439	41	2.36	6.21	3.3e-08	5.5e-06	3.21	2.12	4.8
MP:0002442	abnormal leukocyte physiology	1401	40	2.37	6.13	5e-08	5.5e-06	3.19	2.1	4.77
MP:0002420	abnormal adaptive immunity	1459	41	2.33	6.11	4.9e-08	5.5e-06	3.16	2.08	4.72
MP:0012382	abnormal blood cell physiology	1515	42	2.3	6.1	4.6e-08	5.5e-06	3.13	2.08	4.68
MP:0008247	abnormal mononuclear cell morphology	1680	45	2.22	6.1	3.3e-08	5.5e-06	3.09	2.06	4.6
MP:0000217	abnormal leukocyte cell number	1718	45	2.17	5.94	6.5e-08	6.6e-06	3.01	2.01	4.47
MP:0001819	abnormal immune cell physiology	1428	40	2.32	6	8.5e-08	7.8e-06	3.11	2.05	4.67
MP:0008246	abnormal leukocyte morphology	1929	48	2.06	5.79	9.3e-08	7.9e-06	2.9	1.95	4.31
MP:0005460	abnormal leukopoiesis	737	27	3.04	6.36	1.2e-07	8.5e-06	3.78	2.34	5.94
MP:0002123	abnormal definitive hematopoiesis	946	31	2.71	6.15	1.4e-07	8.5e-06	3.45	2.19	5.31
MP:0008195	abnormal professional antigen presenting cell morphology	998	32	2.66	6.12	1.3e-07	8.5e-06	3.4	2.17	5.21
MP:0000717	abnormal lymphocyte cell number	1270	37	2.41	5.99	1.2e-07	8.5e-06	3.17	2.07	4.79
MP:0000716	abnormal immune system cell morphology	1949	48	2.04	5.71	1.3e-07	8.5e-06	2.87	1.92	4.25
MP:0011180	abnormal hematopoietic cell number	1969	48	2.02	5.63	1.8e-07	1e-05	2.83	1.9	4.19
MP:0013693	abnormal hemopoiesis	973	31	2.64	5.97	2.6e-07	1.4e-05	3.34	2.12	5.14
MP:0000218	increased leukocyte cell number	1080	33	2.53	5.92	2.5e-07	1.4e-05	3.24	2.08	4.95
MP:0008037	abnormal T cell morphology	980	31	2.62	5.93	3.1e-07	1.5e-05	3.31	2.1	5.1
MP:0002429	abnormal blood cell morphology/development	1106	33	2.47	5.77	4.4e-07	2.1e-05	3.15	2.02	4.81
MP:0012762	abnormal alpha-beta T cell morphology	753	26	2.86	5.89	6.9e-07	3.2e-05	3.51	2.16	5.54
MP:0006387	abnormal T cell number	911	29	2.64	5.75	7.3e-07	3.2e-05	3.28	2.06	5.1
MP:0011181	increased hematopoietic cell number	1247	35	2.33	5.56	7.5e-07	3.2e-05	2.98	1.93	4.53
MP:0002357	abnormal spleen white pulp morphology	348	17	4.05	6.4	8.1e-07	3.3e-05	4.78	2.64	8.17
MP:0008801	abnormal erythroid progenitor cell morphology	114	10	7.27	7.44	1e-06	4.1e-05	8.54	3.86	17
MP:0004939	abnormal B cell morphology	677	24	2.94	5.79	1.3e-06	4.8e-05	3.56	2.15	5.68
MP:0008248	abnormal mononuclear phagocyte morphology	644	23	2.96	5.7	2e-06	7.2e-05	3.56	2.13	5.72
MP:0008973	decreased erythroid progenitor cell number	72	8	9.21	7.73	2.2e-06	7.7e-05	10.9	4.41	23.6
MP:0002875	decreased erythrocyte cell number	220	13	4.9	6.46	2.2e-06	7.7e-05	5.68	2.88	10.4
MP:0001586	abnormal erythrocyte cell number	296	15	4.2	6.18	2.4e-06	8.1e-05	4.89	2.6	8.6
MP:0005017	decreased B cell number	468	19	3.36	5.8	2.8e-06	8.7e-05	3.97	2.26	6.62
MP:0002458	abnormal B cell number	609	22	2.99	5.62	2.8e-06	8.7e-05	3.57	2.12	5.79
MP:0005018	decreased T cell number	707	24	2.81	5.54	2.7e-06	8.7e-05	3.39	2.05	5.41
MP:0001601	abnormal myelopoiesis	158	11	5.77	6.68	2.9e-06	8.8e-05	6.68	3.16	12.8
