name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0002910	abnormal excitatory postsynaptic currents	139	13	6.11	7.57	1.8e-07	3.8e-05	7.2	3.64	13.2
MP:0002207	abnormal long term potentiation	237	17	4.69	7.17	1.1e-07	3.8e-05	5.51	3.06	9.38
MP:0003635	abnormal synaptic transmission	740	32	2.83	6.45	5.1e-08	3.8e-05	3.46	2.24	5.22
MP:0002206	abnormal CNS synaptic transmission	653	29	2.9	6.28	1.4e-07	3.8e-05	3.5	2.23	5.35
MP:0004753	abnormal miniature excitatory postsynaptic currents	104	11	6.91	7.56	4.8e-07	8.2e-05	8.16	3.85	15.8
MP:0004859	abnormal synaptic plasticity	67	9	8.78	7.96	7.2e-07	1e-04	10.6	4.51	22.1
MP:0002915	abnormal synaptic depression	129	11	5.57	6.52	4.2e-06	5e-04	6.41	3.04	12.3
MP:0001898	abnormal long term depression	95	9	6.19	6.34	1.4e-05	0.0015	7.12	3.08	14.6
MP:0003008	enhanced long term potentiation	64	7	7.15	6.15	5.1e-05	0.0048	8.25	3.12	18.6
MP:0001900	impaired synaptic plasticity	47	6	8.34	6.29	7.4e-05	0.0063	9.78	3.34	23.7
MP:0002917	decreased synaptic depression	17	4	15.4	7.4	0.00011	0.0082	20.3	4.76	66.8
MP:0001473	reduced long term potentiation	156	10	4.19	5.01	0.00013	0.0095	4.66	2.14	9.09
MP:0001458	abnormal object recognition memory	82	7	5.58	5.19	0.00025	0.016	6.26	2.39	13.9
MP:0002818	abnormal dentin morphology	22	4	11.9	6.37	0.00031	0.018	14.7	3.56	45.4
MP:0009453	enhanced contextual conditioning behavior	23	4	11.4	6.2	0.00037	0.018	13.9	3.39	42.6
MP:0001469	abnormal contextual conditioning behavior	144	9	4.08	4.65	0.00035	0.018	4.51	1.98	9.08
MP:0001468	abnormal temporal memory	173	10	3.78	4.6	0.00031	0.018	4.17	1.92	8.11
MP:0001475	reduced long term depression	43	5	7.6	5.41	0.00047	0.022	8.73	2.64	22.7
MP:0001362	abnormal anxiety-related response	332	14	2.76	4.06	0.00055	0.023	3.03	1.59	5.35
MP:0003633	abnormal nervous system physiology	1903	46	1.58	3.53	0.00055	0.023	1.88	1.29	2.71
MP:0004507	abnormal ischium morphology	12	3	16.3	6.63	7e-04	0.028	21.9	3.77	88.9
MP:0002553	preference for addictive substance	14	3	14	6.07	0.0011	0.035	17.9	3.17	68.7
MP:0002920	decreased paired-pulse facilitation	31	4	8.43	5.17	0.0012	0.035	9.77	2.45	28.6
MP:0002885	abnormal AMPA-mediated synaptic currents	31	4	8.43	5.17	0.0012	0.035	9.77	2.45	28.6
MP:0009749	enhanced behavioral response to addictive substance	50	5	6.53	4.89	0.00095	0.035	7.37	2.25	18.9
MP:0003930	abnormal tooth hard tissue morphology	52	5	6.28	4.76	0.0011	0.035	7.05	2.16	18.1
MP:0002918	abnormal paired-pulse facilitation	75	6	5.23	4.58	0.00098	0.035	5.8	2.02	13.6
MP:0002063	abnormal learning/memory/conditioning	664	21	2.07	3.56	0.0011	0.035	2.29	1.36	3.69
MP:0014114	abnormal cognition	665	21	2.06	3.55	0.0011	0.035	2.29	1.36	3.69
MP:0002912	abnormal excitatory postsynaptic potential	108	7	4.24	4.22	0.0013	0.037	4.64	1.78	10.2
MP:0002065	abnormal fear/anxiety-related behavior	369	14	2.48	3.61	0.0015	0.041	2.71	1.42	4.77
MP:0002062	abnormal associative learning	290	12	2.7	3.68	0.0016	0.042	2.94	1.46	5.4
MP:0009751	enhanced behavioral response to alcohol	16	3	12.3	5.62	0.0017	0.043	15.1	2.74	55.8
