query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0371	124	47	4	0.085	0.032	GO:0048167	BP	2	regulation of synaptic plasticity	1	SYT4,CPEB3,GRM5,LRRTM2
2	1	TRUE	0.0385	10	47	2	0.043	0.2	GO:0006448	BP	12	regulation of translational elongation	1	CPEB3,GRM5
3	1	TRUE	0.0408	54	47	3	0.064	0.056	GO:0044070	BP	6	regulation of anion transport	1	SYT4,TCAF1,GRM5
4	1	TRUE	0.0343	8	47	2	0.043	0.25	GO:0010359	BP	11	regulation of anion channel activity	1	TCAF1,GRM5
5	1	TRUE	0.012	871	47	10	0.213	0.011	GO:0097458	CC	8	neuron part	1	OCRL,KIF3A,RAB3C,ALCAM,SYT4,UHMK1,GAD2,CPEB3,ADAM22,GRM5
6	1	TRUE	0.012	1265	47	12	0.255	0.009	GO:0042995	CC	8	cell projection	1	OCRL,KIF3A,ALCAM,SYT4,UHMK1,GAD2,PSD3,PGR15L,BBS9,CPEB3,ADAM22,GRM5
7	1	TRUE	0.012	1252	47	12	0.255	0.01	GO:0120025	CC	8	plasma membrane bounded cell projection	2	OCRL,KIF3A,ALCAM,SYT4,UHMK1,GAD2,PSD3,PGR15L,BBS9,CPEB3,ADAM22,GRM5
8	1	TRUE	0.012	675	47	9	0.191	0.013	GO:0043005	CC	8	neuron projection	3	OCRL,KIF3A,ALCAM,SYT4,UHMK1,GAD2,CPEB3,ADAM22,GRM5
9	1	TRUE	0.0371	226	47	5	0.106	0.022	GO:0030424	CC	8	axon	4	ALCAM,SYT4,UHMK1,GAD2,ADAM22
10	1	TRUE	0.0343	341	47	6	0.128	0.018	GO:0051020	MF	1	GTPase binding	1	OCRL,KIF3A,PSD3,PAK3,XPOT,RIC8B
11	1	TRUE	0.0343	8	47	2	0.043	0.25	GO:0008179	MF	10	adenylate cyclase binding	1	AKAP5,AKAP6
12	1	TRUE	0.013	2	4	1	0.25	0.5	CORUM:975	cor	14	Ocrl-Cdc42 complex	1	OCRL
13	1	TRUE	0.013	2	4	1	0.25	0.5	CORUM:1112	cor	13	Psd3-Actn1 complex	1	PSD3
14	1	TRUE	0.0156	3	4	1	0.25	0.333	CORUM:6593	cor	3	Kinesin II complex (Kif3a-Kif3b-Kifap3)	1	KIF3A
15	1	TRUE	0.013	2	4	1	0.25	0.5	CORUM:6315	cor	7	mGluR1-mGluR5 complex	1	GRM5
16	1	TRUE	0.013	2	4	1	0.25	0.5	CORUM:6200	cor	9	Axin-TNKS2-KIF3A complex	1	KIF3A
17	1	TRUE	0.043	689	7	6	0.857	0.009	HP:0012547	hp	5	Abnormal involuntary eye movements	1	NALCN,OCRL,AHI1,TRIM44,SNX14,BBS9
18	1	TRUE	0.043	687	7	6	0.857	0.009	HP:0000639	hp	5	Nystagmus	2	NALCN,OCRL,AHI1,TRIM44,SNX14,BBS9
19	1	TRUE	0.043	155	7	4	0.571	0.026	HP:0011338	hp	4	Abnormality of mouth shape	1	NALCN,OCRL,AHI1,PAK3
20	1	TRUE	0.043	71	7	3	0.429	0.042	HP:0000194	hp	4	Open mouth	2	OCRL,AHI1,PAK3
