name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-8948216	Collagen chain trimerization	44	9	10.3	8.82	1.5e-07	2.4e-05	13.3	5.54	28.7
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	67	9	6.79	6.76	6.1e-06	0.00049	8.01	3.44	16.6
R-HSA-419037	NCAM1 interactions	21	5	12	7.19	4.5e-05	0.0022	15.9	4.49	45.9
R-HSA-1442490	Collagen degradation	52	7	6.81	5.96	6.7e-05	0.0022	7.95	2.99	18.1
R-HSA-1474290	Collagen formation	90	9	5.06	5.49	6.8e-05	0.0022	5.72	2.49	11.6
R-HSA-3000171	Non-integrin membrane-ECM interactions	38	6	7.98	6.13	9e-05	0.0024	9.55	3.23	23.5
R-HSA-375165	NCAM signaling for neurite out-growth	40	6	7.59	5.93	0.00012	0.0027	8.98	3.05	22
R-HSA-186797	Signaling by PDGF	58	7	6.1	5.54	0.00014	0.0027	7.01	2.65	15.8
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	61	7	5.8	5.34	0.00019	0.0033	6.62	2.51	14.9
R-HSA-216083	Integrin cell surface interactions	81	7	4.37	4.33	0.0011	0.017	4.82	1.85	10.6
R-HSA-8875878	MET promotes cell motility	41	5	6.17	4.71	0.0012	0.018	7.03	2.13	18.3
R-HSA-449836	Other interleukin signaling	26	4	7.78	4.92	0.0016	0.021	9.17	2.28	27.4
R-HSA-6811438	Intra-Golgi traffic	44	5	5.75	4.48	0.0017	0.021	6.49	1.98	16.7
R-HSA-8874081	MET activates PTK2 signaling	30	4	6.74	4.47	0.0027	0.031	7.76	1.95	22.7
R-HSA-6806834	Signaling by MET	79	6	3.84	3.6	0.0047	0.05	4.17	1.46	9.68
