name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-3928665	EPH-ephrin mediated repulsion of cells	50	3	13.1	5.81	0.0015	0.0086	14.7	2.82	48.6
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	100	4	8.71	5.26	0.0011	0.0086	9.79	2.5	27.8
R-HSA-112315	Transmission across Chemical Synapses	224	6	5.83	4.97	0.00052	0.0086	6.7	2.3	16.1
R-HSA-375276	Peptide ligand-binding receptors	187	5	5.82	4.52	0.0016	0.0086	6.55	2	16.9
R-HSA-112316	Neuronal System	356	7	4.28	4.28	0.0011	0.0086	4.94	1.85	11.3
R-HSA-8856828	Clathrin-mediated endocytosis	140	4	6.22	4.22	0.0038	0.0093	6.88	1.77	19.4
R-HSA-416476	G alpha (q) signalling events	207	5	5.26	4.21	0.0025	0.0093	5.89	1.8	15.1
R-HSA-422475	Axon guidance	295	6	4.43	4.06	0.0022	0.0093	5.02	1.73	12
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	320	6	4.08	3.81	0.0032	0.0093	4.61	1.59	11.1
R-HSA-388396	GPCR downstream signalling	1091	12	2.39	3.31	0.003	0.0093	2.91	1.37	5.78
R-HSA-372790	Signaling by GPCR	1118	12	2.34	3.22	0.0037	0.0093	2.83	1.33	5.62
R-HSA-2682334	EPH-Ephrin signaling	81	3	8.06	4.34	0.006	0.012	8.84	1.72	28.6
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	154	4	5.65	3.95	0.0053	0.012	6.23	1.6	17.5
R-HSA-418594	G alpha (i) signalling events	362	6	3.61	3.43	0.0059	0.012	4.05	1.39	9.7
R-HSA-1266738	Developmental Biology	659	8	2.64	2.96	0.0095	0.017	3.01	1.21	6.59
R-HSA-500792	GPCR ligand binding	419	6	3.12	3.01	0.012	0.02	3.47	1.2	8.3
