name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0000340	Sloping forehead	103	5	13.1	7.6	2.1e-05	0.0048	21.6	5.46	76.5
HP:0001883	Talipes	311	7	6.08	5.72	4.3e-05	0.0048	12.2	3.5	44.4
HP:0005656	Positional foot deformity	312	7	6.06	5.71	4.4e-05	0.0048	12.2	3.48	44.2
HP:0010993	Abnormality of the cerebral subcortex	589	9	4.13	5.07	3.8e-05	0.0048	11.3	3.14	50.5
HP:0000448	Prominent nose	79	4	13.7	6.94	0.00015	0.006	20.2	4.45	74.4
HP:0000426	Prominent nasal bridge	158	5	8.54	5.92	0.00017	0.006	13.6	3.47	47.9
HP:0001762	Talipes equinovarus	250	6	6.48	5.48	0.00014	0.006	11.4	3.14	40
HP:0007370	Aplasia/Hypoplasia of the corpus callosum	495	8	4.36	4.92	9.9e-05	0.006	9.88	2.84	38.5
HP:0001273	Abnormality of the corpus callosum	503	8	4.29	4.87	0.00011	0.006	9.69	2.78	37.8
HP:0002650	Scoliosis	657	9	3.7	4.68	9.3e-05	0.006	9.88	2.75	44.1
HP:0002500	Abnormality of the cerebral white matter	538	8	4.01	4.63	0.00018	0.006	8.95	2.57	34.9
HP:0000377	Abnormality of the pinna	540	8	4	4.62	0.00019	0.006	8.91	2.56	34.8
HP:0010674	Abnormality of the curvature of the vertebral column	714	9	3.4	4.39	0.00018	0.006	8.9	2.48	39.7
HP:0011446	Abnormality of higher mental function	1451	12	2.23	3.74	2e-04	0.006	17.2	2.53	731
HP:0000925	Abnormality of the vertebral column	935	10	2.89	4.11	0.00022	0.0063	9.26	2.38	52.5
HP:0008050	Abnormality of the palpebral fissures	566	8	3.82	4.46	0.00026	0.0067	8.42	2.42	32.8
HP:0100886	Abnormality of globe location	744	9	3.27	4.24	0.00026	0.0067	8.45	2.35	37.6
HP:0006380	Knee flexion contracture	38	3	21.3	7.68	0.00031	0.0075	29.5	5.01	121
HP:0000356	Abnormality of the outer ear	776	9	3.13	4.1	0.00036	0.0083	8	2.23	35.6
HP:0002167	Neurological speech impairment	785	9	3.1	4.06	4e-04	0.0086	7.88	2.19	35.2
HP:0000046	Scrotal hypoplasia	45	3	18	7	0.00052	0.009	24.6	4.19	100
HP:0008897	Postnatal growth retardation	198	5	6.82	5.14	0.00048	0.009	10.7	2.72	37.4
HP:0010864	Intellectual disability, severe	198	5	6.82	5.14	0.00048	0.009	10.7	2.72	37.4
HP:0000718	Aggressive behavior	200	5	6.75	5.1	0.00051	0.009	10.6	2.69	37
HP:0003121	Limb joint contracture	319	6	5.08	4.66	0.00053	0.009	8.71	2.4	30.5
HP:0200006	Slanting of the palpebral fissure	461	7	4.1	4.35	0.00054	0.009	7.81	2.24	28.3
HP:0004404	Abnormality of the nipple	117	4	9.23	5.52	0.00066	0.0099	13.3	2.94	48.5
HP:0000494	Downslanted palpebral fissures	332	6	4.88	4.53	0.00066	0.0099	8.33	2.3	29.1
HP:0012639	Abnormality of nervous system morphology	2000	13	1.76	3.14	0.00066	0.0099	Inf	2.31	Inf
HP:0005750	Contractures of the joints of the lower limbs	120	4	9	5.44	0.00073	0.01	12.9	2.87	47.1
HP:0000272	Malar flattening	336	6	4.82	4.49	0.00071	0.01	8.22	2.27	28.7
HP:0012369	Abnormality of malar bones	340	6	4.76	4.45	0.00075	0.01	8.11	2.24	28.4
HP:0002282	Heterotopia	58	3	14	6.07	0.0011	0.011	18.7	3.22	75.4
HP:0009103	Aplasia/Hypoplasia involving the pelvis	60	3	13.5	5.95	0.0012	0.011	18	3.11	72.5
HP:0011425	Fetal ultrasound soft marker	62	3	13.1	5.84	0.0013	0.011	17.4	3	70
HP:0000954	Single transverse palmar crease	128	4	8.44	5.23	0.00093	0.011	12.1	2.68	43.9
HP:0000664	Synophrys	137	4	7.88	5.01	0.0012	0.011	11.2	2.49	40.8
HP:0000482	Microcornea	138	4	7.83	4.99	0.0012	0.011	11.1	2.47	40.5
HP:0010490	Abnormality of the palmar creases	146	4	7.4	4.81	0.0015	0.011	10.5	2.33	38.1
HP:0001018	Abnormal palmar dermatoglyphics	148	4	7.3	4.77	0.0016	0.011	10.3	2.3	37.5
HP:0000769	Abnormality of the breast	234	5	5.77	4.6	0.001	0.011	8.91	2.27	31.2
HP:0006919	Abnormal aggressive, impulsive or violent behavior	249	5	5.42	4.41	0.0014	0.011	8.32	2.13	29.1
HP:0003272	Abnormality of the hip bone	353	6	4.59	4.33	0.00092	0.011	7.77	2.14	27.2
HP:0010668	Abnormality of the zygomatic bone	360	6	4.5	4.27	0.001	0.011	7.6	2.1	26.6
HP:0001257	Spasticity	491	7	3.85	4.15	8e-04	0.011	7.25	2.08	26.3
HP:0000028	Cryptorchidism	505	7	3.74	4.06	0.00096	0.011	7.02	2.01	25.4
HP:0002118	Abnormality of the cerebral ventricles	528	7	3.58	3.92	0.0013	0.011	6.66	1.91	24.1
HP:0002683	Abnormality of the calvaria	691	8	3.13	3.8	0.0011	0.011	6.59	1.89	25.7
HP:0005105	Abnormal nasal morphology	701	8	3.08	3.76	0.0012	0.011	6.47	1.86	25.2
HP:0001595	Abnormality of the hair	863	9	2.82	3.74	0.00085	0.011	6.96	1.94	31
HP:0030791	Abnormal jaw morphology	724	8	2.98	3.65	0.0015	0.011	6.21	1.79	24.2
HP:0007364	Aplasia/Hypoplasia of the cerebrum	897	9	2.71	3.62	0.0011	0.011	6.61	1.84	29.4
HP:0040195	Decreased head circumference	731	8	2.95	3.62	0.0016	0.011	6.13	1.76	23.9
HP:0000252	Microcephaly	731	8	2.95	3.62	0.0016	0.011	6.13	1.76	23.9
HP:0001760	Abnormality of the foot	911	9	2.67	3.57	0.0013	0.011	6.47	1.8	28.8
HP:0100543	Cognitive impairment	1131	10	2.39	3.45	0.0012	0.011	7.06	1.81	40
HP:0001249	Intellectual disability	1135	10	2.38	3.44	0.0012	0.011	7.02	1.8	39.8
HP:0100022	Abnormality of movement	1159	10	2.33	3.37	0.0015	0.011	6.81	1.75	38.5
HP:0002060	Abnormality of the cerebrum	1167	10	2.31	3.35	0.0016	0.011	6.74	1.73	38.2
HP:0100547	Abnormality of forebrain morphology	1170	10	2.31	3.34	0.0016	0.011	6.71	1.72	38
HP:0012443	Abnormality of brain morphology	1687	12	1.92	3.2	0.0011	0.011	13	1.93	557
HP:0002219	Facial hypertrichosis	151	4	7.15	4.71	0.0017	0.012	10.1	2.25	36.8
HP:0011362	Abnormal hair quantity	556	7	3.4	3.76	0.0017	0.012	6.26	1.79	22.6
HP:0000534	Abnormality of the eyebrow	406	6	3.99	3.91	0.0019	0.013	6.63	1.83	23.2
HP:0000159	Abnormality of the lip	748	8	2.89	3.55	0.0019	0.013	5.96	1.71	23.2
HP:0011138	Abnormality of skin adnexa morphology	968	9	2.51	3.37	0.0021	0.013	5.95	1.66	26.5
HP:0000240	Abnormality of skull size	968	9	2.51	3.37	0.0021	0.013	5.95	1.66	26.5
HP:0003508	Proportionate short stature	74	3	10.9	5.27	0.0022	0.014	14.4	2.5	57.6
HP:0001120	Abnormality of corneal size	164	4	6.59	4.47	0.0024	0.014	9.25	2.06	33.6
HP:0000470	Short neck	280	5	4.82	4.06	0.0024	0.014	7.31	1.87	25.6
HP:0011356	Regional abnormality of skin	280	5	4.82	4.06	0.0024	0.014	7.31	1.87	25.6
HP:0002644	Abnormality of pelvic girdle bone morphology	421	6	3.85	3.8	0.0024	0.014	6.36	1.76	22.2
HP:0001155	Abnormality of the hand	972	9	2.5	3.35	0.0022	0.014	5.92	1.65	26.3
HP:0002134	Abnormality of the basal ganglia	79	3	10.3	5.07	0.0027	0.015	13.5	2.34	53.7
HP:0001376	Limitation of joint mobility	286	5	4.72	4	0.0026	0.015	7.14	1.83	25
HP:0002079	Hypoplasia of the corpus callosum	287	5	4.7	3.99	0.0026	0.015	7.12	1.82	24.9
HP:0002011	Morphological abnormality of the central nervous system	1825	12	1.78	2.91	0.0026	0.015	11.1	1.65	476
HP:0006292	Abnormality of dental eruption	173	4	6.24	4.31	0.0029	0.016	8.74	1.95	31.7
HP:0002648	Abnormality of calvarial morphology	609	7	3.1	3.48	0.003	0.016	5.61	1.61	20.3
HP:0011800	Midface retrusion	177	4	6.1	4.25	0.0031	0.017	8.53	1.9	30.9
HP:0003319	Abnormality of the cervical spine	297	5	4.55	3.89	0.0031	0.017	6.85	1.75	23.9
HP:0003808	Abnormal muscle tone	1269	10	2.13	3.06	0.0033	0.017	5.92	1.52	33.6
HP:0000045	Abnormality of the scrotum	86	3	9.42	4.82	0.0034	0.018	12.3	2.14	49
HP:0000280	Coarse facial features	185	4	5.84	4.12	0.0037	0.018	8.13	1.81	29.5
HP:0007477	Abnormal dermatoglyphics	185	4	5.84	4.12	0.0037	0.018	8.13	1.81	29.5
HP:0001276	Hypertonia	626	7	3.02	3.4	0.0035	0.018	5.42	1.55	19.6
HP:0000492	Abnormality of the eyelid	823	8	2.62	3.25	0.0036	0.018	5.26	1.51	20.5
HP:0002342	Intellectual disability, moderate	90	3	9	4.69	0.0039	0.019	11.7	2.04	46.6
HP:0000069	Abnormality of the ureter	190	4	5.68	4.05	0.004	0.02	7.9	1.76	28.6
HP:0002818	Abnormality of the radius	191	4	5.65	4.03	0.0041	0.02	7.86	1.75	28.5
