name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0000977	Soft skin	45	6	10.4	7.23	1.8e-05	0.0067	13.5	4.41	34.7
HP:0002645	Wormian bones	49	6	9.55	6.87	2.9e-05	0.0067	12.2	4.02	31.2
HP:0001634	Mitral valve prolapse	52	6	9	6.62	4.1e-05	0.0067	11.4	3.76	29
HP:0003019	Abnormality of the wrist	107	8	5.83	5.78	4.8e-05	0.0067	7.34	2.88	16.6
HP:0005916	Abnormal metacarpal morphology	135	9	5.2	5.67	3.8e-05	0.0067	6.62	2.74	14.4
HP:0000015	Bladder diverticulum	19	4	16.4	7.68	7.9e-05	0.0091	22.3	5.17	74.2
HP:0008067	Abnormally lax or hyperextensible skin	118	8	5.29	5.4	9.8e-05	0.0096	6.59	2.59	14.8
HP:0003502	Mild short stature	22	4	14.2	7.07	0.00015	0.01	18.6	4.39	60.1
HP:0005262	Abnormality of the synovia	193	10	4.04	4.95	0.00012	0.01	5.12	2.22	10.8
HP:0009810	Abnormality of upper limb joint	372	14	2.94	4.5	0.00014	0.01	3.92	1.91	7.67
HP:0010647	Abnormal elasticity of skin	169	9	4.15	4.79	0.00022	0.014	5.16	2.15	11.2
HP:0006086	Thin metacarpal cortices	12	3	19.5	7.31	4e-04	0.018	27.3	4.59	114
HP:0002758	Osteoarthritis	49	5	7.96	5.59	0.00035	0.018	9.7	2.85	26.3
HP:0001384	Abnormality of the hip joint	180	9	3.9	4.55	0.00036	0.018	4.81	2.01	10.4
HP:0001163	Abnormality of the metacarpal bones	181	9	3.88	4.53	0.00037	0.018	4.78	1.99	10.3
HP:0001659	Aortic regurgitation	30	4	10.4	5.89	0.00051	0.022	12.9	3.12	39.6
HP:0001239	Wrist flexion contracture	14	3	16.7	6.71	0.00065	0.024	22.3	3.86	88.9
HP:0005356	Decreased serum complement factor I	14	3	16.7	6.71	0.00065	0.024	22.3	3.86	88.9
HP:0000973	Cutis laxa	86	6	5.44	4.75	0.00069	0.024	6.5	2.19	16.1
HP:0000095	Abnormality of the glomerulus	119	7	4.59	4.54	0.00067	0.024	5.51	2.03	12.9
HP:0001388	Joint laxity	121	7	4.51	4.48	0.00074	0.024	5.41	1.99	12.6
HP:0000309	Abnormality of the midface	492	15	2.38	3.76	0.00077	0.024	3.13	1.55	6.06
HP:0004942	Aortic aneurysm	16	3	14.6	6.22	0.00098	0.026	18.9	3.33	72.5
HP:0005112	Dilatation of the abdominal aorta	16	3	14.6	6.22	0.00098	0.026	18.9	3.33	72.5
HP:0005293	Venous insufficiency	35	4	8.91	5.36	0.00092	0.026	10.8	2.65	32.6
HP:0002829	Arthralgia	127	7	4.3	4.32	0.00099	0.026	5.13	1.89	11.9
HP:0001933	Subcutaneous hemorrhage	207	9	3.39	4.04	0.001	0.026	4.12	1.72	8.88
HP:0002761	Generalized joint laxity	17	3	13.8	6.01	0.0012	0.027	17.5	3.12	66.2
HP:0003272	Abnormality of the hip bone	353	12	2.65	3.73	0.0012	0.027	3.33	1.55	6.69
HP:0001367	Abnormal joint morphology	1006	23	1.78	3.35	0.0012	0.027	2.64	1.4	4.99
HP:0001724	Aortic dilatation	65	5	6	4.64	0.0013	0.028	7.08	2.11	18.8
HP:0000023	Inguinal hernia	172	8	3.63	4.03	0.0013	0.028	4.35	1.72	9.69
HP:0001075	Atrophic scars	18	3	13	5.82	0.0014	0.029	16.4	2.93	61
HP:0010444	Pulmonary insufficiency	18	3	13	5.82	0.0014	0.029	16.4	2.93	61
HP:0002981	Abnormality of the calf	180	8	3.47	3.87	0.0017	0.033	4.14	1.64	9.21
HP:0100491	Abnormality of lower limb joint	369	12	2.54	3.56	0.0017	0.033	3.16	1.47	6.36
HP:0040160	Generalized osteoporosis	20	3	11.7	5.47	0.0019	0.034	14.4	2.61	52.7
HP:0003179	Protrusio acetabuli	20	3	11.7	5.47	0.0019	0.034	14.4	2.61	52.7
HP:0005111	Dilatation of the ascending aorta	42	4	7.43	4.78	0.0019	0.034	8.78	2.18	26.1
HP:0011849	Abnormal bone ossification	143	7	3.82	3.92	0.002	0.034	4.51	1.67	10.5
HP:0004414	Abnormality of the pulmonary artery	145	7	3.77	3.88	0.0022	0.036	4.44	1.64	10.3
