query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0179	1556	147	25	0.17	0.016	GO:0007186	BP	36	G-protein coupled receptor signaling pathway	1	OLFR1414,OLFR266,OLFR94,OLFR1442,OLFR19,OLFR1336,OLFR95,OLFR921,OLFR315,OLFR1508,OLFR58,OLFR1029,OLFR1371,OLFR329-PS,OLFR417,OLFR878,OLFR877,TAAR3,OLFR1340,OLFR553,OLFR552,OLFR1138,OLFR441,OLFR857,OLFR859
2	1	TRUE	0.0179	1948	147	29	0.197	0.015	GO:0050877	BP	33	nervous system process	1	OLFR1414,OLFR266,OLFR94,OLFR1442,OLFR19,OLFR1336,OLFR95,OLFR921,HOXB8,OLFR315,OLFR1508,OLFR58,OLFR1029,OLFR1371,TAS2R110,OLFR329-PS,OLFR417,OLFR878,OLFR877,TAAR3,OLFR1340,OLFR553,OLFR552,OLFR1138,VMN1R31,OLFR441,OLFR857,OLFR859,VMN1R30
3	1	TRUE	0.00188	1649	147	29	0.197	0.018	GO:0007600	BP	33	sensory perception	2	OLFR1414,OLFR266,OLFR94,OLFR1442,OLFR19,OLFR1336,OLFR95,OLFR921,HOXB8,OLFR315,OLFR1508,OLFR58,OLFR1029,OLFR1371,TAS2R110,OLFR329-PS,OLFR417,OLFR878,OLFR877,TAAR3,OLFR1340,OLFR553,OLFR552,OLFR1138,VMN1R31,OLFR441,OLFR857,OLFR859,VMN1R30
4	1	TRUE	0.00028	1396	147	28	0.19	0.02	GO:0007606	BP	33	sensory perception of chemical stimulus	3	OLFR1414,OLFR266,OLFR94,OLFR1442,OLFR19,OLFR1336,OLFR95,OLFR921,OLFR315,OLFR1508,OLFR58,OLFR1029,OLFR1371,TAS2R110,OLFR329-PS,OLFR417,OLFR878,OLFR877,TAAR3,OLFR1340,OLFR553,OLFR552,OLFR1138,VMN1R31,OLFR441,OLFR857,OLFR859,VMN1R30
5	1	TRUE	0.00028	1077	147	24	0.163	0.022	GO:0007608	BP	33	sensory perception of smell	4	OLFR1414,OLFR266,OLFR94,OLFR1442,OLFR19,OLFR1336,OLFR95,OLFR921,OLFR315,OLFR1508,OLFR58,OLFR1029,OLFR1371,OLFR329-PS,OLFR417,OLFR878,OLFR877,OLFR1340,OLFR553,OLFR552,OLFR1138,OLFR441,OLFR857,OLFR859
6	1	TRUE	0.0209	42	147	4	0.027	0.095	GO:0050911	BP	33	detection of chemical stimulus involved in sensory perception of smell	1	OLFR19,OLFR58,OLFR857,OLFR859
7	1	TRUE	0.00834	94	147	6	0.041	0.064	GO:0071013	CC	26	catalytic step 2 spliceosome	1	GM13691,GM13698,GM13693,GM13697,GM13694,GM13696
8	1	TRUE	0.000124	37	147	6	0.041	0.162	GO:0005684	CC	7	U2-type spliceosomal complex	1	GM13691,GM13698,GM13693,GM13697,GM13694,GM13696
9	1	TRUE	1.59e-07	13	147	6	0.041	0.462	GO:0071012	CC	7	catalytic step 1 spliceosome	1	GM13691,GM13698,GM13693,GM13697,GM13694,GM13696
10	1	TRUE	3.95e-08	10	147	6	0.041	0.6	GO:0071006	CC	7	U2-type catalytic step 1 spliceosome	2	GM13691,GM13698,GM13693,GM13697,GM13694,GM13696
