query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:1019	cor	3	Pcdha7-Pcdhga3 complex	1	PCDHA7
2	1	TRUE	0.0266	3	7	1	0.143	0.333	CORUM:3024	cor	19	Cohesin complex, incomplete (Smc3, Sycp1, Crest/Ss18I1)	1	SS18L1
3	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:1021	cor	6	Pcdha7-Pcdhga1 complex	1	PCDHA7
4	1	TRUE	0.0266	3	7	1	0.143	0.333	CORUM:3014	cor	14	Cohesin complex, incomplete (Stag3, Scp1, Ss181)	1	SS18L1
5	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:3020	cor	1	Cohesin complex, incomplete (Rec8, Crest/Ss18I1)	1	SS18L1
6	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:1020	cor	12	Pcdha7-Pcdhgb2 complex	1	PCDHA7
7	1	TRUE	0.0266	3	7	1	0.143	0.333	CORUM:3022	cor	10	Cohesin complex, incomplete (Sycp1, Crest/Ss18I1, Rec8)	1	SS18L1
8	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:1018	cor	7	Pcdha7-Pcdhgb4 complex	1	PCDHA7
9	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:3018	cor	16	Cohesin complex, incomplete (Sycp2, Crest/Ss18I1)	1	SS18L1
10	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:6478	cor	8	Dnm1l-Mief1 complex	1	MIEF1
11	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:3021	cor	21	Cohesin complex, incomplete (Smc1b, Crest/Ss18I1)	1	SS18L1
12	1	TRUE	0.0334	4	7	1	0.143	0.25	CORUM:6454	cor	2	Zipzap/p200-Srf-p49/STRAP-Nkx2.5 complex	1	SRFBP1
13	1	TRUE	0.0394	5	7	1	0.143	0.2	CORUM:990	cor	22	Agap11-AP3 complex	1	AP3S2
14	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:3017	cor	23	Cohesin complex, incomplete (Stag3, Crest/Ss18I1)	1	SS18L1
15	1	TRUE	0.0266	3	7	1	0.143	0.333	CORUM:3023	cor	5	Cohesin complex, incomplete (Smc1b, Sycp1, Crest/Ss18I1)	1	SS18L1
16	1	TRUE	0.0266	3	7	1	0.143	0.333	CORUM:5524	cor	18	Bmi1-Mel18-Mph1-M33 polycomb repressor complex	1	CBX2
17	1	TRUE	0.0266	3	7	1	0.143	0.333	CORUM:5402	cor	4	Cdk5-Cdk5r1-Pctk1 complex	1	CDK5R1
18	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:3019	cor	17	Cohesin complex, incomplete (Smc4, Crest/Ss18I1)	1	SS18L1
19	1	TRUE	0.0266	2	7	1	0.143	0.5	CORUM:1115	cor	15	Cdk5-Cdk5r1 complex	1	CDK5R1
20	1	TRUE	0.0226	13471	99	83	0.838	0.006	TF:M01855_0	tf	9	Factor: AHR; motif: CACGCN; match class: 0	1	CTR9,SAAL1,RDH13,CYTH3,ZBTB24,TUBE1,SUPV3L1,SHMT1,TDP1,GDF10,PRSS52,ENOX1,MIEF1,DONSON,KRT7,3110002H16RIK,SRFBP1,CCNJ,CSNK1D,CBX2,ARL10,NSUN6,ZBTB43,TGM3,COG6,GMEB1,DRAXIN,RNF32,SLC4A1AP,GCC1,ANKS4B,HAS3,ARV1,NRG4,HMG20A,IGDCC3,EXD2,KCNK10,RNF225,SMUG1,PDZRN4,PCDH8,MYCN,ATG14,SS18L1,NAIF1,IQCC,RBM45,NMNAT2,EXOC3L,PXYLP1,EMX2,OLFR221,ZFP879,PARD6B,UBTD2,SLC25A51,HRK,ZFP235,NHLH2,CDK5R1,YWHAG,IQCJ,PRDM9,NUP107,2700081O15RIK,A430033K04RIK,ZFP658,MEX3B,MTFMT,AP3S2,NINL,D2HGDH,ZNHIT6,MEX3A,CCL28,CYP2T4,PIGB,TEPP,KHDC3,MOAP1,PCDHA2,PCDHA7
21	1	TRUE	0.0226	8389	99	61	0.616	0.007	TF:M05407_0	tf	13	Factor: Klf17; motif: NGGGCGG; match class: 0	1	DGCR2,CTR9,CYP27B1,CYTH3,CEP57L1,ZBTB24,TUBE1,SHMT1,TDP1,GDF10,PRSS52,ENOX1,MIEF1,DONSON,KRT7,3110002H16RIK,SRFBP1,CCNJ,CBX2,FASTKD2,NSUN6,ZBTB43,MMP24,COG6,GMEB1,DRAXIN,GCC1,HAS3,ARV1,HMG20A,IGDCC3,EXD2,KCNK10,RNF225,PDZRN4,MYCN,DCUN1D2,NAIF1,IQCC,RBM45,NMNAT2,EMX2,OLFR221,PARD6B,UBTD2,SLC25A51,HRK,NHLH2,CDK5R1,ZFP623,YWHAG,2700081O15RIK,MEX3B,MTFMT,D2HGDH,ZNHIT6,PATE2,CYP2T4,TEPP,MOAP1,PCDHA7
22	1	TRUE	0.0197	2028	99	25	0.253	0.012	TF:M04619_0	tf	11	Factor: MTF-1; motif: CCGNGTGCAV; match class: 0	1	CYP27B1,ZBTB24,CBX2,MMP24,SLC4A1AP,ANKS4B,ARV1,IGDCC3,SMUG1,PDZRN4,POLI,DCUN1D2,SS18L1,EMX2,UBTD2,SLC25A51,ZFP623,2700081O15RIK,MEX3B,MTFMT,D2HGDH,PATE2,PIGB,KHDC3,PCDHA7
23	1	TRUE	0.0407	15585	99	90	0.909	0.006	TF:M04662_1	tf	20	Factor: FOXN4; motif: NNWANNCGWMCGCGTCNNNNMT; match class: 1	1	DGCR2,CTR9,CYP27B1,SAAL1,RDH13,CYTH3,CEP57L1,TUBE1,SUPV3L1,TDP1,GDF10,ENOX1,MIEF1,DONSON,KRT7,3110002H16RIK,SRFBP1,CCNJ,CSNK1D,CBX2,ARL10,FASTKD2,NSUN6,ZBTB43,TGM3,MMP24,COG6,GPSM2,GMEB1,DRAXIN,RNF32,SLC4A1AP,GCC1,ANKS4B,HAS3,ARV1,HMG20A,IGDCC3,EXD2,KCNK10,RNF225,SMUG1,PDZRN4,PCDH8,MYCN,ATG14,POLI,DCUN1D2,SS18L1,NAIF1,IQCC,RBM45,NMNAT2,EXOC3L,PXYLP1,EMX2,ZFP879,PARD6B,UBTD2,PCDHB8,SLC25A51,HRK,ZFP30,ZFP235,NHLH2,ZFP454,CDK5R1,ZFP623,ZFP940,YWHAG,IQCJ,PRDM9,NUP107,2700081O15RIK,A430033K04RIK,MEX3B,MTFMT,AP3S2,NINL,D2HGDH,TRIM68,ZNHIT6,PATE2,MEX3A,CYP2T4,PIGB,KHDC3,MOAP1,PCDHA2,PCDHA7
