query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0355	23	223	3	0.013	0.13	GO:0030201	BP	104	heparan sulfate proteoglycan metabolic process	1	SULF2,EXTL3,NDST1
2	1	TRUE	0.00628	9	223	3	0.013	0.333	GO:0010960	BP	365	magnesium ion homeostasis	1	SLC41A1,TFAP2B,CNNM2
3	1	TRUE	0.00259	1309	223	32	0.143	0.024	GO:0040011	BP	18	locomotion	1	MYO18A,ATN1,BBS1,MAPT,DNAH1,FLT4,NTN1,CDC42BPB,DLG5,NISCH,PTK7,MAPK8IP3,LDLRAD4,SEMA4G,GBF1,DAB2IP,MTOR,SEMA4B,ADGRA2,ADGRG1,SMARCA4,FLCN,CSPG4,PTPRF,DCHS1,PML,RERE,PIK3CD,MEGF8,GLI2,ARHGAP35,GM45234
4	1	TRUE	0.0153	9583	223	133	0.596	0.014	GO:0065007	BP	18	biological regulation	1	TFE3,AXIN2,MYO18A,NUP214,SF3A1,GOLGA2,JAG2,DVL3,ATN1,RBM14,BBS1,SLC4A3,SULF2,GRID2IP,EVI5L,ADGRL1,SLC41A1,CLIP3,FAM120B,TTBK1,RXRA,MAPT,KDM6B,AOC3,NUAK1,EIF4EBP2,AP3D1,FLT4,UBE2O,NTN1,BDKRB2,KIF26A,RNF180,DLG5,NISCH,EXTL3,DROSHA,SREBF2,MGRN1,ADCY5,ETS2,PTK7,BRD4,WIZ,MAPK8IP3,LDLRAD4,TCOF1,GBF1,TFAP2B,DAB2IP,BRD3,HCN3,UBAP2,PQLC2,HES3,MTOR,NCOR2,GRIP2,FURIN,DISP1,STIM1,GABRE,ADGRA2,WWC2,ADGRG1,USP10,HYOU1,SMARCA4,PIK3R4,FLCN,CSPG4,RNF125,PTPRF,USP36,ZFP395,SIDT2,ZBTB7A,DENND1A,MIDN,DCHS1,ARHGAP33,PML,LARP1,SHANK2,NOTCH3,BCL9,IFT172,SYCP2L,SHANK1,SMURF1,SLC9A8,SDK1,SLX4,BAHCC1,PIK3CD,AMBRA1,ZMIZ2,DENND4B,STK40,ZFYVE1,ELFN2,PHLPP1,ZBTB7C,MEGF8,PRLHR,TLR9,NYAP1,WDR81,EIF4G1,FBXO10,GLI2,ELFN1,ABCA12,CBX7,MAST1,NDST1,LEXM,NFIC,FTO,ARHGAP35,UPF1,MRGPRH,GTF2I,ACVR2B,WISP3,RAI1,BCL9L,CNNM2,KNDC1,TM9SF4,TGFBRAP1,DUXBL2,GM45234
5	1	TRUE	0.0209	2707	223	48	0.215	0.018	GO:0065008	BP	18	regulation of biological quality	2	AXIN2,DVL3,BBS1,SLC4A3,GRID2IP,ADGRL1,SLC41A1,TTBK1,MAPT,EIF4EBP2,AP3D1,NTN1,BDKRB2,DLG5,SREBF2,ADCY5,WIZ,TFAP2B,DAB2IP,HCN3,PQLC2,MTOR,NCOR2,GRIP2,FURIN,STIM1,SMARCA4,FLCN,SIDT2,MIDN,PML,LARP1,SHANK2,SHANK1,SLC9A8,SLX4,PIK3CD,MEGF8,PRLHR,TLR9,EIF4G1,ABCA12,FTO,ARHGAP35,UPF1,ACVR2B,CNNM2,TM9SF4
6	1	TRUE	0.0373	7017	223	100	0.448	0.014	GO:0050896	BP	18	response to stimulus	1	TFE3,AXIN2,UBA1,JAG2,DVL3,ATN1,RBM14,BBS1,SULF2,GRID2IP,VAC14,ADGRL1,SLC41A1,FAM120B,RXRA,MAPT,KDM6B,AOC3,NUAK1,EIF4EBP2,AP3D1,FLT4,UBE2O,NTN1,BDKRB2,KIF26A,DLG5,NISCH,DROSHA,SREBF2,MGRN1,ADCY5,PTK7,BRD4,MAPK8IP3,LDLRAD4,FASN,SEMA4G,GBF1,TFAP2B,DAB2IP,MTOR,NCOR2,GRIP2,FURIN,SEMA4B,DISP1,STIM1,GABRE,ADGRA2,WWC2,ADGRG1,USP10,HYOU1,SMARCA4,PIK3R4,FLCN,CSPG4,RNF125,PTPRF,SIDT2,SEC31A,DENND1A,DCHS1,ARHGAP33,PML,LARP1,NOTCH3,BCL9,IFT172,SHANK1,SMURF1,SDK1,SLX4,PIK3CD,AMBRA1,DENND4B,STK40,ZFYVE1,PHLPP1,MEGF8,PRLHR,TLR9,NYAP1,EIF4G1,GLI2,MAST1,NDST1,FTO,ARHGAP35,UPF1,MRGPRH,GTF2I,ZBTB40,ACVR2B,WISP3,BCL9L,TM9SF4,TGFBRAP1,GM45234
7	1	TRUE	0.00112	4443	223	79	0.354	0.018	GO:0051179	BP	18	localization	1	AXIN2,MYO18A,NUP214,GOLGA2,DVL3,ATN1,BBS1,SULF2,EVI5L,SLC41A1,CLIP3,MAPT,DNAH1,AP3D1,FLT4,UBE2O,NTN1,BDKRB2,CDC42BPB,DLG5,NISCH,SREBF2,MGRN1,ADCY5,PTK7,SLC37A1,ABCA3,MAPK8IP3,LDLRAD4,PACS1,GBF1,TFAP2B,STK11IP,LAMC3,DAB2IP,HCN3,PQLC2,MTOR,SLC6A11,FURIN,DISP1,STIM1,GABRE,ADGRA2,ADGRG1,HYOU1,SMARCA4,TRAK1,PIK3R4,FLCN,CSPG4,PTPRF,USP36,SIDT2,DENND1A,MIDN,CLCN7,DCHS1,PML,OSBPL5,IFT172,SHANK1,SMURF1,SLC9A8,RERE,PIK3CD,MEGF8,TLR9,AP5B1,ABCA12,FTO,ARHGAP35,ACVR2B,CNNM2,TM9SF4,TGFBRAP1,SPTBN5,CASC3,GM45234
8	1	TRUE	0.00569	1146	223	28	0.126	0.024	GO:0051674	BP	18	localization of cell	2	MYO18A,ATN1,BBS1,MAPT,DNAH1,FLT4,NTN1,CDC42BPB,DLG5,NISCH,PTK7,LDLRAD4,GBF1,DAB2IP,MTOR,ADGRA2,ADGRG1,SMARCA4,FLCN,CSPG4,PTPRF,DCHS1,PML,RERE,PIK3CD,MEGF8,ARHGAP35,GM45234
9	1	TRUE	0.0447	3336	223	54	0.242	0.016	GO:0051234	BP	18	establishment of localization	2	AXIN2,MYO18A,NUP214,GOLGA2,BBS1,SULF2,EVI5L,SLC41A1,CLIP3,MAPT,AP3D1,UBE2O,BDKRB2,SREBF2,MGRN1,ADCY5,SLC37A1,ABCA3,MAPK8IP3,PACS1,GBF1,TFAP2B,LAMC3,DAB2IP,HCN3,PQLC2,MTOR,SLC6A11,FURIN,DISP1,STIM1,GABRE,HYOU1,TRAK1,PIK3R4,USP36,SIDT2,DENND1A,MIDN,CLCN7,PML,OSBPL5,IFT172,SHANK1,SMURF1,SLC9A8,TLR9,AP5B1,ABCA12,ACVR2B,CNNM2,TM9SF4,TGFBRAP1,SPTBN5
10	1	TRUE	0.0271	3216	223	54	0.242	0.017	GO:0006810	BP	18	transport	3	AXIN2,MYO18A,NUP214,GOLGA2,BBS1,SULF2,EVI5L,SLC41A1,CLIP3,MAPT,AP3D1,UBE2O,BDKRB2,SREBF2,MGRN1,ADCY5,SLC37A1,ABCA3,MAPK8IP3,PACS1,GBF1,TFAP2B,LAMC3,DAB2IP,HCN3,PQLC2,MTOR,SLC6A11,FURIN,DISP1,STIM1,GABRE,HYOU1,TRAK1,PIK3R4,USP36,SIDT2,DENND1A,MIDN,CLCN7,PML,OSBPL5,IFT172,SHANK1,SMURF1,SLC9A8,TLR9,AP5B1,ABCA12,ACVR2B,CNNM2,TM9SF4,TGFBRAP1,SPTBN5
